,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-10-31,2012-09-30,2012-07-31,2012-06-30,2012-04-30,2012-03-31,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
revenue,2.271,1.806,1.75,1.822,1.355,1.692,0.801,2.12,0.828,0.699,0.53,0.039,0.024,0.02,0.163,0.022,0.092,0.019,0.014,0.079,0.016,0.013,0.014,0.012,0.013,0.007,0.016,,0.0083,0.0051,,0.0227,0.0132,0.0092,0.0083,0.202,,0.2403,0.3136,0.4664,,0.0199,0.05,0.0155,,0.2785,0.3645,0.3007,,0.0609,0.1345,0.0646,,0.0227,0.0851,0.0562,,0.0198,0.0555,0.0864,,0.1201,0.2419
cost-goods-sold,1.117,0.907,0.916,1.298,0.68,0.717,0.492,0.65,0.191,0.135,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077,0.0013,,0.004,0.0021,0.0086,,0.0048,0.0143,0.0139,,0.0495,0.0328
gross-profit,1.154,0.899,0.834,0.524,0.675,0.975,0.309,1.47,0.637,0.564,0.504,0.039,0.024,0.02,0.163,0.022,0.092,0.019,0.014,0.079,0.016,0.013,0.014,0.012,0.013,0.007,0.016,,0.0083,0.0051,,0.0227,0.0132,0.0092,0.0083,0.202,,0.2403,0.3136,0.4664,,0.0199,0.05,0.0155,,0.2785,0.3645,0.3007,,0.0609,0.1268,0.0633,,0.0187,0.083,0.0476,,0.015,0.0412,0.0725,,0.0706,0.2092
research-development-expenses,6.064,6.149,6.933,6.905,7.891,6.06,6.782,6.135,6.351,5.527,4.288,5.59,7.874,8.425,7.675,7.787,6.499,7.126,5.73,5.451,5.949,4.562,3.564,3.675,2.655,2.461,1.882,,0.5642,0.2001,,0.1046,0.1099,0.0982,0.0889,0.1042,,0.1269,0.1071,0.1111,,0.1084,0.1316,0.1609,,0.2099,0.1946,0.1598,,0.1537,0.2521,0.2691,,0.2475,0.247,0.3194,,0.49,0.5681,0.5729,,0.3832,0.2335
selling-general-administrative-expenses,12.743,12.837,12.723,13.378,12.153,15.33,14.353,11.471,11.601,11.46,10.526,10.473,9.566,9.484,7.66,6.6,4.332,4.755,2.867,2.579,2.625,3.447,2.044,1.397,1.052,1.234,0.629,,0.7602,1.633,,0.9988,0.2486,0.1634,0.1983,0.4632,,0.1831,0.1903,0.2416,,0.2315,0.2455,0.2127,,0.2267,0.2194,0.2516,,0.2031,0.1598,0.2576,,0.2132,0.2556,0.2671,,0.2898,0.2436,0.2407,,0.2154,0.2481
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3335,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,19.924,19.893,20.572,21.581,20.724,22.107,21.627,18.256,18.143,17.122,14.84,16.063,17.44,17.909,15.335,13.185,11.299,12.287,8.925,8.33,8.843,8.178,5.761,5.198,3.81,3.785,2.566,,1.6851,1.8442,,1.1684,0.4234,0.3264,0.352,0.6319,,0.3741,0.3612,0.4164,,0.4054,0.4424,0.4389,,0.5043,0.4814,0.4786,,0.4292,0.4934,0.6031,,0.5432,0.5832,0.6735,,0.8639,0.9052,0.9057,,0.7146,0.6015
operating-income,-17.653,-18.087,-18.822,-19.759,-19.369,-20.415,-20.826,-16.136,-17.315,-16.423,-14.31,-16.024,-17.416,-17.889,-15.172,-13.163,-11.207,-12.268,-8.911,-8.251,-8.827,-8.165,-5.747,-5.186,-3.797,-3.778,-2.55,,-1.6768,-1.8391,,-1.1457,-0.4102,-0.3172,-0.3436,-0.4299,,-0.1338,-0.0476,0.05,,-0.3855,-0.3924,-0.4234,,-0.2257,-0.1169,-0.178,,-0.3683,-0.3589,-0.5385,,-0.5205,-0.498,-0.6173,,-0.8441,-0.8497,-0.8193,,-0.5945,-0.3595
total-non-operating-income-expense,-3.02,-2.711,-2.678,-2.653,-2.582,-2.709,0.198,0.113,0.285,0.141,0.11,0.156,0.117,0.023,0.098,0.0,0.021,0.016,0.014,0.013,0.013,0.013,0.018,0.027,,0.001,0.001,,0.0117,-1.9972,,0.0218,0.0218,0.0177,0.0204,-0.0004,,0.0098,0.0213,0.0173,,0.0243,0.0092,0.0114,,0.0168,-0.0374,-0.0461,,-0.0024,0.0186,0.0514,,0.044,0.0417,0.078,,0.0553,0.0642,0.0473,,0.0316,0.0449
pre-tax-income,-20.673,-20.798,-21.5,-22.412,-21.951,-23.124,-20.628,-16.023,-17.03,-16.282,-14.2,-15.868,-17.299,-17.866,-15.074,-13.163,-11.186,-12.252,-8.897,-8.238,-8.814,-8.152,-5.729,-5.159,-3.797,-3.777,-2.549,,-1.6651,-3.8363,,-1.1238,-0.3884,-0.2995,-0.3232,-0.4303,,-0.124,-0.0264,0.0673,,-0.3611,-0.3831,-0.412,,-0.2089,-0.1543,-0.2241,,-0.3708,-0.3402,-0.4871,,-0.4765,-0.4564,-0.5393,,-0.7889,-0.7855,-0.772,,-0.5628,-0.3147
