,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
revenue,15.4073,14.8458,15.5594,16.8543,16.6724,14.9134,14.9486,14.838,14.6269,13.2431,14.5923,13.3898,12.8148,13.4525,13.6271,14.1326,14.3785,12.9556,13.884,14.4477,13.7438,13.0334,12.9637,13.9646,13.0944,12.9842,12.3364,12.9999,12.6893,12.1248,12.0284,11.8968,11.9763,11.8023,13.2908,14.3225,14.7454,15.5067,14.98,14.7615,14.1582,13.013,12.7968,13.5377,13.534,12.1823,12.412,11.9489,11.0738,10.5482,9.4744,9.2285,7.3792,5.8693,6.1619
cost-goods-sold,15.4236,14.1126,14.5491,15.6701,14.7036,18.9304,15.6691,16.0629,13.5559,11.7448,12.2348,11.4016,11.2349,11.963,11.9321,12.0765,11.8751,10.8896,11.5716,11.8711,11.474,11.0145,11.2837,11.9047,11.4611,11.2991,11.0554,11.2976,11.0434,10.406,10.4019,10.3527,10.6001,10.7313,11.6392,11.9471,12.3452,12.7351,12.6664,12.3339,11.7515,11.1531,11.6038,13.3608,12.8934,11.2106,11.6947,11.2139,9.9539,9.4312,9.5571,8.2688,6.7858,5.4041,5.3786
gross-profit,-0.0164,0.7331,1.0104,1.1841,1.9688,-4.017,-0.7205,-1.2249,1.0711,1.4983,2.3575,1.9882,1.5799,1.4895,1.6949,2.0561,2.5034,2.066,2.3123,2.5765,2.2698,2.0189,1.68,2.0599,1.6333,1.6851,1.281,1.7022,1.6459,1.7188,1.6265,1.5441,1.3762,1.071,1.6515,2.3754,2.4002,2.7717,2.3135,2.4276,2.4067,1.8599,1.1929,0.1769,0.6406,0.9718,0.7173,0.735,1.1199,1.117,-0.0827,0.9597,0.5934,0.4651,0.7833
research-development-expenses,1.4747,2.9583,0.4973,2.7088,0.8082,1.5589,1.6664,2.1264,1.3047,1.6755,1.2149,1.2007,1.2619,2.0633,1.3144,2.0297,1.2467,0.8853,0.7996,1.6799,1.3018,0.1867,4.6152,5.7936,10.6112,10.2227,12.7545,11.7513,16.2385,10.8764,9.4055,7.8679,4.2211,3.3138,2.4026,1.7355,0.728,0.4413,0.5174,1.1419,1.9776,1.9966,1.3383,1.2724,0.9933,0.7817,0.7827,0.9443,0.7354,0.7615,0.8225,1.3963,1.6218,1.3111,0.4487
selling-general-administrative-expenses,6.451,7.7157,9.3229,7.9003,6.1591,5.6909,3.332,5.8699,4.7916,6.5412,6.1007,6.0497,5.0701,5.0144,4.9867,6.0896,3.8279,3.8356,5.3258,5.9175,4.0988,4.2142,4.0902,3.7953,3.3864,3.238,3.9168,3.6354,3.3254,2.8244,2.8987,2.6318,2.2714,2.3726,2.2466,2.46,2.4314,2.2213,2.1949,1.8361,1.9466,1.5707,1.5608,1.9759,2.1762,1.3197,1.2898,0.9444,0.7655,0.7978,0.7262,0.7489,0.5928,0.6939,0.6258
other-operating-income-expenses,,-0.43,,,,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,23.3493,25.2166,24.3692,26.2792,21.6709,27.2103,20.6674,24.0592,19.6522,19.9615,19.5504,18.652,17.5669,19.0407,18.2333,20.1958,16.9498,15.6105,17.697,19.4685,16.8746,15.4154,19.9891,21.4936,25.4587,24.7598,27.7267,26.6843,30.6073,24.1068,22.7062,20.8524,17.0926,16.4176,16.2884,16.1426,15.5046,15.3977,15.3787,15.3119,15.6757,14.7203,14.503,16.6092,16.0628,13.312,13.7672,13.1026,11.4547,10.9905,11.1059,10.414,9.0004,7.4091,6.4532
operating-income,-7.9421,-10.3708,-8.8098,-9.4249,-4.9985,-12.2969,-5.7188,-9.2212,-5.0252,-6.7184,-4.9581,-5.2622,-4.7521,-5.5882,-4.6062,-6.0632,-2.5712,-2.6549,-3.813,-5.0208,-3.1308,-2.382,-7.0254,-7.529,-12.3643,-11.7756,-15.3903,-13.6844,-17.9179,-11.982,-10.6778,-8.9556,-5.1163,-4.6153,-2.9976,-1.82,-0.7592,0.1091,-0.3988,-0.5504,-1.5175,-1.7073,-1.7062,-3.0715,-2.5288,-1.1297,-1.3552,-1.1537,-0.3809,-0.4423,-1.6315,-1.1855,-1.6212,-1.5399,-0.2913
total-non-operating-income-expense,0.087,0.0786,0.1314,0.049,0.0289,0.0661,0.1693,0.1819,-0.0318,-0.3646,0.2161,0.2079,0.1888,0.227,0.1866,0.2932,0.1567,0.1182,0.1138,-1.3628,-0.8368,-0.7884,-0.7801,-0.8031,-0.844,-0.0876,0.0106,0.0109,0.0422,0.0766,0.1108,0.0031,0.0767,0.077,0.0854,0.1568,0.0158,0.0079,0.0051,0.0006,-0.004,-0.0072,-0.0093,0.0387,0.0178,0.0197,0.145,-0.0092,-0.052,-0.0343,-0.015,0.0305,-0.0005,0.0308,0.0021
pre-tax-income,-7.8551,-10.2922,-8.6783,-9.3759,-4.9696,-12.2308,-5.5495,-9.0393,-5.057,-7.083,-4.742,-5.0543,-4.5633,-5.3611,-4.4197,-5.77,-2.4146,-2.5367,-3.6992,-6.3836,-3.9676,-3.1704,-7.8055,-8.3321,-13.2083,-11.8632,-15.3797,-13.6735,-17.8758,-11.9053,-10.5669,-8.9525,-5.0396,-4.5383,-2.9122,-1.6633,-0.7434,0.1169,-0.3937,-0.5498,-1.5214,-1.7146,-1.7154,-3.0328,-2.511,-1.11,-1.2102,-1.1628,-0.4329,-0.4766,-1.6465,-1.155,-1.6217,-1.5091,-0.2892
total-provision-income-taxes,,,,,,,,,,,,,,,0.4045,,,,,,,,,,,,,,,,,0.0,0.002,0.0,,,0.0,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-7.8551,-10.2922,-8.6783,-9.3759,-4.9696,-12.2308,-5.5495,-9.0393,-5.057,-7.083,-4.742,-5.0543,-4.5633,-5.3611,-4.8242,-5.77,-2.4146,-2.5367,-3.6992,-6.3836,-3.9676,-3.1704,-7.8055,-8.3321,-13.2083,-11.8632,-15.3797,-13.6735,-17.8758,-11.9053,-10.5669,-8.9525,-5.0415,-4.5383,-2.9122,-1.6633,-0.7434,0.1169,-0.3937,-0.5498,-1.5214,-1.7146,-1.7154,-3.0328,-2.511,-1.11,-1.2102,-1.1628,-0.4329,-0.4766,-1.6465,-1.155,-1.6217,-1.5091,-0.2892
ebitda,-7.2867,-9.6804,-8.1438,-9.2418,-4.8129,-12.1447,-5.5897,-9.0917,-4.8995,-6.5895,-4.8279,-5.0833,-4.5646,-5.3923,-4.4062,-5.8491,-2.3714,-2.4544,-3.6052,-4.2663,-2.7398,-2.0198,-6.6541,-7.0469,-12.1141,-11.524,-15.1398,-13.4257,-17.6444,-11.704,-10.4006,-8.7078,-4.8388,-4.2946,-2.6676,-1.478,-0.4198,0.4533,-0.0353,-0.1527,-1.2087,-1.4074,-1.4788,-2.8115,-2.271,-0.9351,-1.1559,-0.8053,-0.1728,-0.2437,-1.4369,-0.9711,-1.445,-1.396,-0.0688
ebit,-7.9421,-10.3708,-8.8098,-9.4249,-4.9985,-12.2969,-5.7188,-9.2212,-5.0252,-6.7184,-4.9581,-5.2622,-4.7521,-5.5882,-4.6062,-6.0632,-2.5712,-2.6549,-3.813,-5.0208,-3.1308,-2.382,-7.0254,-7.529,-12.3643,-11.7756,-15.3903,-13.6844,-17.9179,-11.982,-10.6778,-8.9556,-5.1163,-4.6153,-2.9976,-1.82,-0.7592,0.1091,-0.3988,-0.5504,-1.5175,-1.7073,-1.7062,-3.0715,-2.5288,-1.1297,-1.3552,-1.1537,-0.3809,-0.4423,-1.6315,-1.1855,-1.6212,-1.5399,-0.2913
basic-shares-outstanding,63.797,58.216,57.099,52.824,51.289,51.288,51.288,51.067,51.261,51.032,50.686,50.676,50.677,50.677,50.673,50.068,50.223,50.0697,49.667,41.405,40.406,39.965,39.813,32.882,39.328,31.1911,21.241,20.3959,20.727,20.568,19.442,17.775,17.863,17.576,17.307,17.112,17.136,17.087,17.052,14.709,14.061,13.991,13.979,13.836,13.835,13.826,13.817,11.771,11.619,11.515,11.501,11.189,11.463,11.31,10.494
shares-outstanding,63.797,58.216,57.099,52.824,51.289,51.288,51.288,51.067,51.261,51.032,50.686,50.676,50.677,50.677,50.673,50.068,50.223,50.0697,49.667,41.405,40.406,39.965,39.813,32.882,39.328,31.1911,21.241,20.3959,20.727,20.568,19.442,17.775,17.863,17.576,17.307,17.112,17.136,18.606,17.052,14.709,14.061,13.991,13.979,13.836,13.835,13.826,13.817,11.771,11.619,11.515,11.501,11.189,11.463,11.31,10.494
eps-basic-net-earnings-per-share,-0.12,-0.18,-0.15,-0.16,-0.1,-0.24,-0.11,-0.18,-0.1,-0.14,-0.09,-0.09,-0.09,-0.11,-0.1,-0.12,-0.05,-0.05,-0.07,-0.14,-0.1,-0.08,-0.2,-0.04,-0.34,-0.38,-0.72,-0.67,-0.86,-0.58,-0.54,-0.5,-0.28,-0.26,-0.17,-0.11,-0.04,0.01,-0.02,-0.02,-0.11,-0.12,-0.12,-0.22,-0.18,-0.08,-0.09,-0.1,-0.04,-0.04,-0.14,-0.11,-0.14,-0.13,-0.03
eps-earnings-per-share-diluted,-0.12,-0.18,-0.15,-0.16,-0.1,-0.24,-0.11,-0.18,-0.1,-0.14,-0.09,-0.09,-0.09,-0.11,-0.1,-0.12,-0.05,-0.05,-0.07,-0.14,-0.1,-0.08,-0.2,-0.04,-0.34,-0.38,-0.72,-0.67,-0.86,-0.58,-0.54,-0.5,-0.28,-0.26,-0.17,-0.11,-0.04,0.01,-0.02,-0.02,-0.11,-0.12,-0.12,-0.22,-0.18,-0.08,-0.09,-0.1,-0.04,-0.04,-0.14,-0.11,-0.14,-0.13,-0.03
