,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
revenue,0.323,0.32,0.248,0.801,0.582,0.819,0.263,,0.17,0.565,
cost-goods-sold,0.01,0.023,,,,,0.042,,,0.004,
gross-profit,0.313,0.297,0.248,0.801,0.582,0.819,0.221,,0.17,0.561,
research-development-expenses,15.518,19.333,13.167,12.39,10.875,8.677,8.712,,5.725,4.201,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,30.405,34.38,25.685,21.115,15.525,13.176,11.993,,7.742,5.764,
operating-income,-30.082,-34.06,-25.437,-20.314,-14.943,-12.357,-11.73,,-7.572,-5.199,
total-non-operating-income-expense,-2.754,-0.325,0.16,-0.105,0.176,-0.63,-0.177,,0.045,-0.033,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-32.836,-34.385,-25.277,-20.419,-14.767,-12.987,-11.907,,-7.527,-5.232,
ebitda,-29.489,-33.573,-25.052,-19.892,-14.782,-12.163,-11.627,,-7.52,-5.199,
ebit,-30.082,-34.06,-25.437,-20.314,-14.943,-12.357,-11.73,,-7.572,-5.199,
basic-shares-outstanding,26.943,26.889,23.561,12.046,20.714,4.231,2.17,,2.024,2.022,
shares-outstanding,26.943,26.889,23.561,12.046,20.714,4.231,2.17,,2.024,2.022,
eps-basic-net-earnings-per-share,-1.22,-1.28,-1.07,4.28,-0.71,-3.07,-5.49,,-3.72,-2.59,
eps-earnings-per-share-diluted,-1.22,-1.28,-1.07,4.28,-0.71,-3.07,-5.49,0.0,-3.72,-2.59,0.0
