,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
revenue,91.977,100.803,72.666,59.85,53.169,48.793,45.93,90.559,41.283,28.52,20.865,,,,,,,,,,,,,,,,,
cost-goods-sold,38.263,37.669,31.257,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,53.714,63.134,41.409,59.85,53.169,48.793,45.93,90.559,41.283,28.52,20.865,,,,,,,,,,,,,,,,,
research-development-expenses,74.512,85.694,82.351,87.052,70.634,71.917,61.404,68.382,58.711,43.751,60.049,33.435,31.238,30.877,20.235,14.243,15.604,6.505,6.664,4.932,6.648,5.525,6.158,3.2,3.24,2.453,1.8978,
selling-general-administrative-expenses,34.178,36.068,34.291,55.121,10.378,12.538,9.024,7.567,6.748,6.905,5.788,6.144,4.944,5.311,5.811,5.807,4.074,4.384,4.232,5.675,2.936,2.315,3.751,4.91,0.794,0.6678,0.6789,
other-operating-income-expenses,-0.929,-0.895,-0.736,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,147.882,160.326,148.635,150.008,81.012,84.455,70.428,75.949,65.459,50.656,65.837,39.579,36.182,36.188,26.046,20.05,19.678,10.889,10.896,10.607,9.584,7.84,9.909,8.11,4.034,3.1208,2.5767,
operating-income,-55.905,-59.523,-75.969,-90.158,-27.843,-35.662,-24.498,14.61,-24.176,-22.136,-44.972,-39.579,-36.182,-36.188,-26.046,-20.05,-19.678,-10.889,-10.896,-10.607,-9.584,-7.84,-9.909,-8.11,-4.034,-3.1208,-2.5767,
total-non-operating-income-expense,0.043,0.508,0.791,1.766,1.796,1.593,1.08,0.914,1.042,0.618,0.429,0.182,-0.126,0.409,0.248,0.193,0.203,0.2,0.201,0.236,0.236,0.222,0.212,0.2771,0.266,0.2904,1.9558,
pre-tax-income,-55.862,-59.015,-75.178,-88.392,-26.047,-34.069,-23.418,15.524,-23.134,-21.518,-44.543,-37.862,-36.308,-35.779,-25.798,-19.857,-19.475,-10.689,-10.695,-10.371,-9.348,-7.618,-9.697,-5.95,-3.768,-2.8304,-0.6209,
total-provision-income-taxes,-1.277,-0.845,-2.757,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-54.585,-58.17,-72.421,-60.054,-26.047,-34.069,-23.418,15.524,-23.134,-21.518,-44.543,-37.862,-36.308,-35.779,-25.798,-19.857,-19.475,-10.689,-10.695,-10.37,-9.348,-7.618,-96.597,-5.95,-6.516,-52.0954,-1.469,
ebitda,-46.281,-50.044,-66.907,-88.909,-28.003,-35.701,-24.359,14.874,-23.855,-21.82,-44.646,-39.36,-35.976,-35.999,-25.87,-19.899,-19.496,-10.722,-10.742,-10.447,-9.472,-7.803,-9.901,-8.106,-4.0299,-3.1208,-1.8248,
ebit,-55.905,-59.523,-75.969,-90.158,-27.843,-35.662,-24.498,14.61,-24.176,-22.136,-44.972,-38.044,-36.182,-36.188,-26.046,-20.05,-19.678,-10.889,-10.896,-10.607,-9.584,-7.84,-9.909,-8.11,-4.034,-3.1208,-2.5767,
basic-shares-outstanding,118.8631,118.269,117.063,58.038,57.0276,56.89,48.614,43.501,46.9386,40.82,38.759,37.717,37.8979,37.8111,36.874,26.469,28.784,26.615,20.03,15.406,19.691,19.652,2.2271,0.544,0.5467,0.5049,0.4759,
shares-outstanding,118.8631,118.269,117.063,58.038,57.0276,56.89,48.614,43.501,46.9386,40.82,38.759,37.717,37.8979,37.8111,36.874,26.469,28.784,26.615,20.03,15.406,19.691,19.652,2.2271,0.544,0.5467,0.5049,0.4759,
eps-basic-net-earnings-per-share,-0.46,-0.49,-0.62,-0.93,-0.46,-0.6,-0.48,0.48,-0.49,-0.53,-1.15,-0.99,-0.96,-0.95,-0.7,-0.68,-0.68,-0.4,-0.53,36.19,-0.47,-0.39,-43.37,-8.74,-11.92,-103.19,-3.09,
eps-earnings-per-share-diluted,-0.46,-0.49,-0.62,-0.93,-0.46,-0.6,-0.48,0.48,-0.49,-0.53,-1.15,-0.99,-0.96,-0.95,-0.7,-0.68,-0.68,-0.4,-0.53,36.19,-0.47,-0.39,-43.37,-8.74,-11.92,-103.19,-3.09,0.0
