,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
eps-earnings-per-share-diluted,-0.5,-0.41,-0.32,47.32,-10.71,-43.82,-0.1,0.0
research-development-expenses,39.995,31.774,23.403,18.504,10.87,122.486,,
selling-general-administrative-expenses,,,,,,,,
operating-expenses,55.011,45.961,36.461,33.046,22.187,135.012,2.597,
operating-income,-55.011,-45.961,-36.461,-33.046,-22.187,-135.012,-2.597,
total-non-operating-income-expense,4.309,4.559,4.825,2.42,-21.31,0.11,,
pre-tax-income,-50.702,-41.402,-31.636,-30.626,-43.497,-134.902,-2.597,
total-provision-income-taxes,0.033,-0.159,-0.05,,,,,
income-after-taxes,,,,,,,,
income-from-continuous-operations,,,,,,,,
net-income,-50.735,-41.243,-31.586,-30.509,-43.497,-134.902,-2.597,
ebitda,-54.534,-45.874,-36.989,-33.66,-21.559,-135.012,-2.597,
ebit,-55.011,-45.961,-36.461,-33.046,-22.187,-135.012,-2.597,
basic-shares-outstanding,102.187,99.847,97.316,28.9484,4.06,3.079,26.25,
shares-outstanding,102.187,99.847,97.316,28.9484,4.06,3.079,26.25,
eps-basic-net-earnings-per-share,-0.5,-0.41,-0.32,47.32,-10.71,-43.82,-0.1,
