,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,21.76,19.485,111.939,11.564,29.039,,,30.15,,12.5,3.5,27.94,7.821,66.007,7.252,21.754,3.503,1.014,1.491,5.664,0.848,0.824,2.184,1.744,3.162,3.921,1.345,,,
research-development-expenses,29.77,33.299,28.183,27.129,20.953,23.332,26.087,20.397,19.408,16.919,15.048,13.36,14.069,14.408,10.035,10.877,10.582,7.476,5.205,5.052,4.953,4.283,4.228,4.143,4.163,4.134,4.56,,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,36.036,39.057,33.695,32.646,28.388,28.29,30.649,24.824,23.58,21.01,19.859,16.468,17.076,17.451,13.985,14.316,13.815,10.0,7.969,7.014,7.135,5.877,5.951,5.454,5.005,4.927,5.306,,,
operating-income,-14.276,-19.572,78.244,-21.082,0.651,-28.29,-30.649,5.326,-23.58,-8.51,-16.359,11.472,-9.255,48.556,-6.733,7.438,-10.312,-8.986,-6.478,-1.35,-6.287,-5.053,-3.767,-3.71,-1.843,-1.006,-3.961,,,
total-non-operating-income-expense,3.702,3.588,2.701,2.885,2.499,2.421,1.156,0.954,1.101,1.065,1.054,0.803,0.58,0.358,0.335,0.324,0.27,0.118,0.034,0.001,0.009,0.009,0.016,0.007,0.008,-49.103,-0.651,,,
pre-tax-income,-10.574,-15.984,80.945,-18.197,3.15,-25.869,-29.493,6.28,-22.479,-7.445,-15.305,12.275,-8.675,48.914,-6.398,7.757,-10.037,-8.868,-6.444,-1.349,-6.278,-5.044,-3.751,-3.703,-1.835,-50.109,-4.612,,0.0,
total-provision-income-taxes,-0.35,0.05,0.9,,,,,-1.086,0.173,0.28,0.17,-0.16,-0.598,1.749,,,,,,,,,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-10.224,-16.034,80.045,-18.197,3.15,-25.869,-29.493,7.366,-22.652,-7.725,-15.475,12.435,-8.077,47.165,-6.398,7.757,-10.037,-8.868,-6.444,-1.349,-6.278,-5.044,-3.751,-3.703,-4.184,97.005,-4.612,,,
ebitda,-14.638,-19.808,78.697,-20.54,1.197,-27.497,-29.434,6.756,-22.184,-7.143,-15.281,12.827,-8.3,49.388,-6.016,8.253,-9.41,-8.538,-6.138,-1.076,-5.787,-4.766,-3.437,-3.468,-1.644,-0.838,-3.654,,,
ebit,-14.276,-19.572,78.244,-21.082,0.651,-28.29,-30.649,5.326,-23.58,-8.51,-16.359,11.472,-9.255,48.556,-6.733,7.438,-10.312,-8.986,-6.478,-1.35,-6.287,-5.053,-3.767,-3.71,-1.843,-1.006,-3.961,,,
basic-shares-outstanding,56.643,56.399,56.303,53.942,55.974,55.679,47.754,46.818,46.929,46.768,46.599,41.267,41.034,40.801,40.627,39.015,40.474,40.39,34.298,31.391,31.396,31.373,31.361,2.473,0.072,0.072,0.072,,,
shares-outstanding,56.643,56.399,58.01,53.942,58.313,55.679,47.754,46.818,46.929,46.768,46.599,42.389,41.034,41.738,40.627,39.015,40.474,40.39,34.298,31.391,31.396,31.373,31.361,15.646,0.072,12.903,0.072,,,
eps-basic-net-earnings-per-share,-0.18,-0.28,1.42,-0.29,0.06,-0.46,-0.62,0.16,-0.48,-0.17,-0.33,0.29,-0.2,1.16,-0.16,0.21,-0.25,-0.22,-0.19,-0.04,-0.2,-0.16,-0.12,-1185.84,-57.87,1341.67,-63.78,,,
eps-earnings-per-share-diluted,-0.18,-0.28,1.38,-0.28,0.05,-0.46,-0.62,0.16,-0.48,-0.17,-0.33,0.3,-0.2,1.13,-0.16,0.21,-0.25,-0.22,-0.19,-0.04,-0.2,-0.16,-0.12,121.68,-57.87,-3.88,-63.78,0.0,0.0,0.0
