,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
revenue,53.331,47.214,43.155,38.104,35.469,30.565,28.183,25.035,23.854,21.437,18.704,16.78,15.734,12.854,,9.344,,
cost-goods-sold,12.825,11.73,10.529,9.949,9.49,8.611,7.707,6.92,6.744,6.337,5.786,5.282,5.156,4.659,,3.748,,
gross-profit,40.506,35.484,32.626,28.155,25.979,21.954,20.476,18.115,17.11,15.1,12.918,11.498,10.578,8.195,,5.596,,
research-development-expenses,8.639,6.756,7.003,5.164,4.564,4.019,4.148,3.79,2.776,2.621,2.303,1.635,1.667,1.545,,1.651,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,
operating-expenses,64.653,55.191,54.704,47.852,47.148,41.207,38.805,31.018,29.775,26.182,23.052,19.446,19.431,17.725,,14.844,,
operating-income,-11.322,-7.977,-11.549,-9.748,-11.679,-10.642,-10.622,-5.983,-5.921,-4.745,-4.348,-2.666,-3.697,-4.871,,-5.5,,
total-non-operating-income-expense,-0.13,-0.03,-3.12,-0.496,-0.527,-0.475,-0.527,-0.541,-0.523,-0.558,-1.918,-1.409,-0.739,-1.255,,-0.246,,
pre-tax-income,-11.452,-8.007,-14.669,-10.244,-12.206,-11.117,-11.149,-6.524,-6.444,-5.303,-6.266,-4.075,-4.436,-6.126,,-5.746,0.0,
total-provision-income-taxes,0.015,0.012,,,0.0,,,,,,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,0.0,
net-income,-11.467,-8.019,-14.713,-10.244,-12.206,-11.117,-11.149,-6.524,-6.444,-5.303,-6.266,-4.075,-4.436,-6.126,,-5.746,,
ebitda,-6.768,-6.147,-10.861,-9.187,-11.061,-10.03,-10.065,-5.446,-5.52,-4.383,-4.459,-2.297,-3.425,-4.582,,-5.36,,
ebit,-11.322,-7.977,-11.549,-9.748,-11.679,-10.642,-10.622,-5.983,-5.921,-4.745,-4.348,-2.666,-3.697,-4.871,,-5.5,,
basic-shares-outstanding,24.725,24.474,23.886,24.059,23.747,23.48,22.627,22.812,22.363,22.152,5.286,1.454,1.435,1.413,,1.41,,
shares-outstanding,24.725,24.474,23.886,24.059,23.747,23.48,22.627,22.812,22.363,22.152,5.286,1.454,1.435,1.413,,1.41,,
eps-basic-net-earnings-per-share,-0.46,-0.33,-0.61,-0.43,-0.51,-0.47,-0.48,-0.29,-0.29,-0.24,6.28,-2.8,-3.09,-4.34,,-4.07,,
eps-earnings-per-share-diluted,-0.46,-0.33,-0.61,-0.43,-0.51,-0.47,-0.48,-0.29,-0.29,-0.24,6.28,-2.8,-3.09,-4.34,0.0,-4.07,0.0,0.0
