,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-09-30
revenue,13.6,13.557,11.492,8.407,6.541,6.166,4.313,,
cost-goods-sold,11.394,11.789,11.857,9.092,7.503,8.095,7.498,,
gross-profit,2.206,1.768,-0.365,-0.685,-0.962,-1.929,-3.185,,
research-development-expenses,9.007,8.907,7.273,6.061,5.268,4.711,4.303,,
selling-general-administrative-expenses,,,,,,,,,
operating-expenses,41.721,39.82,34.389,28.109,24.027,22.784,21.064,,
operating-income,-28.121,-26.263,-22.897,-19.702,-17.486,-16.618,-16.751,,
total-non-operating-income-expense,0.259,0.414,0.301,-0.021,-0.067,-0.212,-0.134,,
pre-tax-income,-27.862,-25.849,-22.596,8.407,-17.553,-16.83,-16.885,,
total-provision-income-taxes,0.054,0.084,0.043,0.076,0.071,0.043,0.052,,
income-after-taxes,,,,0.0,,,,,
income-from-continuous-operations,,,,0.0,,,,,
net-income,-27.916,-25.933,-22.639,-19.802,-17.624,-16.873,-16.937,,
ebitda,-26.467,-24.626,-21.347,-18.3,-15.712,-15.143,-15.372,,
ebit,-28.121,-26.263,-22.897,-19.702,-17.486,-16.618,-16.751,,
basic-shares-outstanding,30.29,27.892,19.188,3.014,2.85,2.67,2.638,,
shares-outstanding,30.29,27.892,19.188,3.014,2.85,2.67,2.638,,
eps-basic-net-earnings-per-share,-0.92,-0.93,-1.18,-6.59,-6.18,-6.32,-6.42,,
eps-earnings-per-share-diluted,-0.92,-0.93,-1.18,-6.59,-6.18,-6.32,-6.42,0.0,0.0
