,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
revenue,1.451,2.057,1.386,,,,,,,,,,,,
cost-goods-sold,0.668,0.352,0.241,,,,,,,,,,,,
gross-profit,0.783,1.705,1.145,,,,,,,,,,,,
research-development-expenses,7.07,7.108,6.959,9.238,7.027,7.368,5.657,5.88,7.018,8.071,8.039,,8.256,5.95,
selling-general-administrative-expenses,,,,,,,,,,,,,,,
operating-expenses,23.018,24.467,25.436,23.567,15.496,14.519,11.139,11.14,9.534,9.63,9.571,,9.747,9.65,
operating-income,-21.567,-22.41,-24.05,-23.567,-15.496,-14.519,-11.139,-11.14,-9.534,-9.63,-9.571,,-9.747,-9.65,
total-non-operating-income-expense,-1.609,-1.415,-1.338,-1.651,-0.107,-0.101,-0.158,-0.151,-0.641,-1.356,-0.188,,0.08,-0.203,
pre-tax-income,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,
net-income,-23.176,-23.825,-25.388,-25.218,-15.603,-14.62,-11.297,-11.291,-10.175,-10.986,-9.759,,-9.667,-9.853,
ebitda,-20.631,-21.554,-23.212,-22.939,-15.306,-14.313,-10.934,-10.95,-9.341,-9.443,-9.387,,-9.643,-9.65,
ebit,-21.567,-22.41,-24.05,-23.567,-15.496,-14.519,-11.139,-11.14,-9.534,-9.63,-9.571,,-9.747,-9.65,
basic-shares-outstanding,34.168,33.883,33.878,26.754,24.6,24.567,24.542,11.375,18.0343,1.181,1.181,,1.181,1.181,
shares-outstanding,34.168,33.883,33.878,26.754,24.6,24.567,24.542,11.375,18.0343,1.181,1.181,,1.181,1.181,
eps-basic-net-earnings-per-share,-0.68,-0.7,-0.75,-0.8,-0.63,-0.6,-0.46,14.41,-0.56,-9.3,-8.26,,-8.18,-8.34,
eps-earnings-per-share-diluted,-0.68,-0.7,-0.75,-0.8,-0.63,-0.6,-0.46,14.41,-0.56,-9.3,-8.26,0.0,-8.18,-8.34,0.0
