,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31,2005-12-31
revenue,89.577,117.417,103.221,102.318,95.829,113.786,99.832,100.329,90.95,112.094,97.312,87.502,86.506,94.973,105.284,108.912,89.631,101.75,97.515,98.155,82.381,102.0,97.144,93.634,76.641,84.9,70.547,77.779,82.748,100.533,101.816,106.423,100.451,75.223,54.747,54.246,38.068,61.789,51.94,57.321,50.575,58.803,61.301,57.637,55.857,50.939,58.758,52.038,48.646,43.994,37.34,26.347,32.771,16.3,11.326
cost-goods-sold,56.634,71.491,62.755,63.938,57.95,65.801,63.583,60.974,52.844,68.909,61.887,56.115,55.162,57.673,60.34,66.341,55.733,61.298,58.855,59.666,54.58,63.553,57.44,55.463,50.163,57.615,50.494,51.153,59.072,64.043,65.705,66.18,76.023,42.997,27.434,24.78,19.831,30.73,26.564,31.357,28.956,31.713,30.939,28.228,27.428,24.043,32.475,24.176,22.735,19.078,16.222,11.645,13.468,9.522,4.966
gross-profit,32.943,45.926,40.466,38.38,37.879,47.985,36.249,39.355,38.106,43.185,35.425,31.387,31.344,37.3,44.944,42.571,33.898,40.452,38.66,38.489,27.801,38.447,39.704,38.171,26.478,27.285,20.053,26.626,23.676,36.49,36.111,40.243,24.428,32.226,27.313,29.466,18.237,31.059,25.376,25.964,21.619,27.09,30.362,29.409,28.429,26.896,26.283,27.862,25.911,24.916,21.118,14.702,19.303,6.778,6.36
research-development-expenses,13.341,16.051,12.913,13.64,13.889,14.588,13.906,14.664,14.093,13.264,12.484,11.944,12.229,14.155,13.27,14.931,14.296,14.85,12.836,13.917,14.149,13.576,13.763,13.435,12.95,14.687,15.697,17.239,18.574,20.041,22.398,18.283,20.565,14.65,9.291,9.313,8.047,8.373,7.719,7.769,7.662,9.185,9.259,8.794,8.754,8.405,8.632,8.128,7.715,7.51,6.951,6.132,6.182,4.141,4.366
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,93.857,114.159,100.34,103.186,100.517,110.693,103.653,101.346,93.002,109.279,98.58,92.325,93.053,97.933,99.842,109.036,96.862,103.228,96.343,101.746,97.653,106.667,97.619,94.35,88.927,97.625,95.582,100.045,103.377,113.928,114.516,111.875,125.138,100.082,55.273,50.561,44.197,55.792,49.181,59.619,54.197,58.478,60.439,57.004,60.095,51.519,59.842,51.447,48.507,44.413,39.103,33.677,31.799,23.834,19.173
operating-income,-4.28,3.258,2.881,-0.868,-4.688,3.093,-3.821,-1.017,-2.052,2.815,-1.268,-4.823,-6.547,-2.96,5.442,-0.124,-7.231,-1.478,1.172,-3.591,-15.272,-4.6669,-0.475,-0.716,-12.286,-12.725,-25.035,-22.266,-20.629,-13.395,-12.7,-5.452,-24.687,-24.859,-0.526,3.685,-6.129,5.997,2.759,-2.298,-3.622,0.325,0.862,0.633,-4.238,-0.58,-1.084,0.591,0.139,-0.419,-1.763,-7.33,0.972,-7.534,-7.847
total-non-operating-income-expense,-4.439,-3.794,-3.829,-3.321,-3.983,-4.45,-4.465,-3.738,-6.571,-7.674,-2.919,-4.12,-4.005,-4.171,-3.963,-5.07,-5.091,-4.014,-3.618,-5.528,-5.461,-4.669,-3.312,-3.775,-2.46,-4.284,-5.565,-2.58,-0.704,-4.361,-0.838,-4.464,-2.858,-0.026,0.022,0.676,1.616,-0.683,-0.227,0.426,0.485,0.646,0.575,0.748,1.113,1.03,1.345,2.197,2.612,2.18,1.04,0.103,0.207,-0.04,-0.015
pre-tax-income,-8.719,-0.536,-0.948,-4.189,-8.671,-1.357,-8.286,-4.755,-8.623,-4.859,-4.187,-8.943,-10.552,-7.131,1.479,-5.194,-12.322,-5.492,-2.446,-9.119,-20.733,-9.336,-3.787,-4.491,-14.746,-17.009,-30.6,-24.846,-21.333,-17.756,-13.538,-9.916,-27.545,-24.885,-0.504,4.361,-4.513,5.314,2.532,-1.872,-3.137,0.971,1.437,1.381,-3.125,0.45,0.261,2.788,2.751,1.761,-0.723,-7.227,1.179,-7.574,-7.862
total-provision-income-taxes,0.637,0.864,0.236,0.451,0.535,-0.411,0.566,-0.036,0.759,0.396,0.842,0.426,-0.626,0.076,0.723,0.833,0.704,0.108,0.521,0.873,0.917,0.473,0.878,0.95,0.787,1.706,0.603,0.667,0.597,0.443,1.247,0.367,0.538,0.07,0.656,0.263,0.127,0.293,0.26,-0.696,0.139,-0.251,0.221,0.031,0.054,0.259,-0.323,0.445,0.486,1.259,0.062,0.064,0.059,0.116,0.074
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-9.356,-1.4,-1.184,-4.64,-9.206,-0.946,-8.852,-4.719,-9.382,-5.255,-5.029,-9.369,-9.926,-7.207,0.756,-6.027,-13.026,-5.6,-2.967,-9.992,-21.65,-9.809,-4.665,-5.441,-15.533,-18.715,-31.203,-25.513,-21.93,-18.199,-14.785,-10.283,-28.083,-24.955,-1.16,4.098,-4.64,5.021,2.272,-1.176,-3.276,1.222,1.216,1.35,-3.179,0.191,0.584,2.343,2.265,0.502,-0.785,-7.291,1.12,-7.69,-7.936
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-3.658,-2.2,-0.492,-0.096,-0.104,,,,,,,,,,,,,,,,,,,,,,,
net-income,-9.356,-1.4,-1.184,-4.64,-9.206,-0.946,-8.852,-4.719,-9.382,-5.255,-5.029,-9.369,-9.926,-7.207,0.756,-6.027,-13.026,-5.6,-2.967,-9.992,-21.65,-9.809,-4.665,-5.441,-15.533,-18.715,-31.203,-29.171,-24.13,-20.264,-14.881,-10.387,-26.51,-24.98,-1.16,4.098,-4.64,5.021,2.272,-1.176,-3.276,1.222,1.216,1.35,-3.179,0.191,0.584,2.343,2.265,0.502,-0.785,-7.291,1.958,-7.69,-7.936
ebitda,-2.086,8.032,5.188,1.561,-2.179,5.808,-1.055,1.886,0.91,9.627,3.69,0.203,-1.448,2.211,10.728,5.012,-1.999,3.826,6.702,1.982,-9.665,0.9941,5.222,5.201,-6.005,-6.378,-18.884,-15.948,-12.802,-4.952,-4.709,2.75,-16.368,-21.739,1.03,5.186,-4.74,7.555,4.431,-0.248,-1.78,1.993,2.541,2.299,-2.6,1.079,1.042,2.676,1.957,1.363,-0.093,-5.858,2.294,-6.535,-7.847
ebit,-4.28,3.258,2.881,-0.868,-4.688,3.093,-3.821,-1.017,-2.052,2.815,-1.268,-4.823,-6.547,-2.96,5.442,-0.124,-7.231,-1.478,1.172,-3.591,-15.272,-4.667,-0.475,-0.716,-12.286,-12.725,-25.035,-22.266,-20.629,-13.395,-12.7,-5.452,-24.687,-24.859,-0.526,3.685,-6.129,5.997,2.759,-2.298,-3.622,0.325,0.862,0.633,-4.238,-0.58,-1.084,0.591,0.139,-0.419,-1.763,-7.33,0.972,-7.534,-7.847
