,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
revenue,9.5833,8.4636,6.6529,5.6909,5.2854,4.627,4.0232,3.322,3.0027,2.9174,2.7122,2.2289,1.9768,1.9176,1.5555,1.4586,1.437,1.4311,,0.9752,0.825,0.9366,,0.7573,0.5798,0.488,,0.3072,0.2336,0.1913,,0.1443,0.1107,0.1238,,0.0996,0.1244,0.1515,,0.0207,0.0085,0.0137,,0.0092,0.006,0.0134,,0.0097,0.0324,0.0055,,0.0279,0.0082,0.0185,,0.0112,0.0237,0.1225
cost-goods-sold,4.9563,4.1252,3.199,2.8747,2.5493,2.1233,1.8388,1.6088,1.3962,1.5242,1.4587,1.288,1.18,1.1356,0.9737,1.0743,1.0007,0.9432,,0.7407,0.6,0.5972,,0.5903,0.5077,0.4333,,0.3688,0.3444,0.3536,,0.3447,0.3636,0.3543,,0.2565,0.3782,0.3945,,0.1324,0.1773,0.1492,,0.1662,0.135,0.1184,,0.1014,0.0827,0.0683,,0.045,0.0334,0.0393,,0.0475,0.1106,0.144
gross-profit,4.6271,4.3384,3.4539,2.8162,2.736,2.5037,2.1844,1.7133,1.6065,1.3932,1.2535,0.9408,0.7968,0.782,0.5818,0.3843,0.4363,0.4879,,0.2345,0.225,0.3394,,0.1671,0.0721,0.0546,,-0.0616,-0.1108,-0.1623,,-0.2004,-0.2528,-0.2305,,-0.157,-0.2538,-0.2431,,-0.1117,-0.1688,-0.1355,,-0.157,-0.129,-0.105,,-0.0918,-0.0503,-0.0628,,-0.0171,-0.0252,-0.0209,,-0.0363,-0.0869,-0.0215
research-development-expenses,1.6405,0.5409,0.4896,0.5988,0.4634,0.4486,0.3297,0.3803,0.3448,0.2307,0.2498,0.1031,0.2147,0.1358,0.1445,0.2278,0.1003,0.0777,,0.0991,0.0893,0.0792,,0.1185,0.1184,0.0926,,0.0944,0.1017,0.109,,0.1207,0.1247,0.1012,,0.105,0.1145,0.1221,,0.0894,0.0931,0.0877,,0.0133,0.1055,0.1108,,0.0413,0.0217,0.0286,,0.0199,0.02,0.0191,,0.0567,0.0652,0.0794
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,21.9351,10.768,8.7935,7.9108,7.4466,7.0922,5.8215,5.5932,4.9908,4.7813,4.4815,4.2308,4.1377,3.8968,4.1797,,3.2588,3.0472,,,2.2,2.1043,,,1.8666,1.748,,,1.7874,1.7318,,,2.0527,2.0838,,,1.607,1.4599,,,1.0495,0.9652,,,1.0201,0.7892,,,0.6409,0.6914,,,1.0926,0.2618,,,0.4954,0.4921
operating-income,-12.3518,-2.3044,-2.1405,-2.2199,-2.1613,-2.4652,-1.7983,-2.2712,-1.9881,-1.8639,-1.7693,-2.0019,-2.1608,-1.9793,-2.6241,1.4586,-1.8218,-1.6162,,0.9752,-1.375,-1.1677,,0.7573,-1.2867,-1.2601,,0.3072,-1.5538,-1.5405,,0.1443,-1.942,-1.9601,,0.0996,-1.4826,-1.3085,,0.0207,-1.041,-0.9515,,0.0092,-1.0141,-0.7758,,0.0097,-0.6084,-0.6859,,0.0279,-1.0844,-0.2433,,0.0112,-0.4717,-0.3696
total-non-operating-income-expense,-0.1149,-0.2145,-0.2473,-0.0342,0.0197,0.0071,-0.8836,0.0024,0.0085,0.0034,-0.0157,-2.2816,-0.0208,-1.953,-0.0861,,-0.6037,-0.3048,,,-0.0097,-1.1279,,,-13.6729,-0.0635,,,0.0027,-0.0053,,,-0.0881,-0.0922,,,-0.0272,-0.0187,,,-6.1437,0.6018,,,-0.5552,-7.4459,,,-0.0206,-0.058,,,-0.0254,-0.0263,,,-0.0212,-0.0214
pre-tax-income,-12.4667,-2.5189,-2.3878,-2.2541,-2.1416,-2.4581,-2.6819,-2.2688,-1.9797,-1.8605,-1.785,-4.2835,-2.1816,-3.9322,-2.7102,-2.7601,-2.4255,-1.9209,,-1.4078,-1.3848,-2.2957,,-1.8403,-14.9597,-1.3235,,-1.567,-1.5511,-1.5458,,-2.0796,-2.0301,-2.0523,,-1.4566,-1.5098,-1.3272,,2.4507,-7.1847,-0.3497,,-1.4541,-1.5693,-8.2217,,-1.2172,-0.6291,-0.7439,,-0.3993,-1.1098,-0.2696,,-0.2885,-0.4929,-0.3909
total-provision-income-taxes,0.0019,0.0096,0.0009,0.0058,0.0021,0.0128,-0.0008,0.0094,0.0,,-0.0042,-0.0003,-0.0029,-0.0025,,-0.0003,0.0,-0.0033,,,0.0,0.0016,,0.0,0.0,0.0,,0.0,0.0016,,,,,0.0016,,,,0.0016,,,0.0016,,,,,0.0008,,,,0.0016,,,0.0008,,,,,
