,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
revenue,37.603,32.978,33.118,30.351,22.757,23.757,18.523,17.04,16.806,14.62,7.045,,,,,,,,,,,,13.625,,,,,,,,,,,,,,
cost-goods-sold,9.346,7.662,8.525,6.96,5.537,5.199,4.378,3.702,3.398,3.102,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,28.257,25.316,24.593,23.391,17.22,18.558,14.145,13.338,13.408,11.518,5.51,,,,,,,,,,,,13.625,,,,,,,,,,,,,,
research-development-expenses,77.896,70.746,62.031,71.21,63.887,52.707,43.543,38.019,38.924,33.108,32.447,54.454,54.338,67.729,74.608,75.995,76.138,60.368,56.75,50.149,34.965,28.44,24.151,22.544,16.063,15.816,12.122,18.284,15.458,12.59,12.562,12.45,11.566,9.679,7.041,,
selling-general-administrative-expenses,41.811,48.029,47.761,49.148,42.495,44.864,39.274,38.523,35.011,36.149,29.224,12.19,9.162,9.552,9.827,8.238,8.331,7.204,6.751,5.605,5.267,5.265,5.32,5.545,4.312,3.492,3.218,2.771,2.762,2.68,2.425,2.05,1.714,1.705,1.405,,
other-operating-income-expenses,-5.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,144.032,126.437,118.317,127.318,111.919,102.77,87.195,80.244,77.333,72.359,63.206,67.214,64.0,156.646,84.951,146.908,97.252,68.336,64.225,53.89,41.12,34.966,42.108,28.494,20.375,19.308,15.59,21.055,18.22,15.52,18.987,14.5,13.28,18.384,8.446,,
operating-income,-106.429,-93.459,-85.199,-96.967,-89.162,-79.013,-68.672,-63.204,-60.527,-57.739,-56.161,-67.214,-64.0,-156.646,-84.951,-146.908,-97.252,-68.336,-64.225,-53.89,-41.12,-34.966,-28.483,-28.494,-20.375,-19.308,-15.59,-21.055,-18.22,-15.52,-18.987,-14.5,-13.28,-18.384,-8.446,,
total-non-operating-income-expense,12.004,-27.144,-1.382,-1.406,-0.689,-22.21,-9.282,10.341,-1.371,-118.928,-2.386,-2.159,-1.922,-1.727,-2.63,-1.201,-2.021,-3.177,1.183,-1.198,1.77,0.27,-0.106,-0.657,0.055,-0.033,-0.078,-0.004,-0.048,-0.172,-0.004,-0.4,-0.555,-0.115,0.118,,
pre-tax-income,-94.425,-120.603,-86.581,-98.373,-89.851,-101.223,-77.954,-52.863,-61.898,-176.667,-58.547,-69.295,-65.922,-158.373,-87.581,-148.109,-99.273,-71.513,-63.042,-55.088,-39.35,-34.696,-28.589,-29.151,-20.32,-19.341,-15.668,-21.059,-18.268,-15.692,-18.991,-14.9,-13.835,-18.499,-8.328,,
