,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31
revenue,335.466,320.647,280.371,355.543,325.311,302.835,223.881,274.219,271.646,289.507,220.859,310.35,208.702,257.378,204.69,244.538,226.544,172.821,113.141,103.841,75.126,66.062,51.926,30.08,24.112,11.131,8.693,5.959,6.521,3.841,2.523,3.526,0.273,1.335,1.793,,0.689,1.657,,
cost-goods-sold,89.949,89.163,88.142,129.615,91.077,91.337,110.288,142.551,125.517,130.15,139.116,148.481,85.161,81.126,77.233,67.573,61.25,61.826,28.853,32.68,13.644,24.81,7.619,5.255,3.207,2.394,3.769,3.143,3.81,2.855,2.067,2.075,1.249,2.104,1.839,,0.737,2.132,,
gross-profit,245.517,231.484,192.229,225.928,234.234,211.498,113.593,131.668,146.129,159.357,81.743,161.869,123.541,176.252,127.457,176.965,165.294,110.995,84.288,71.161,61.482,41.252,44.307,24.825,20.905,8.737,4.924,2.816,2.711,0.986,0.456,1.451,-0.976,-0.769,-0.046,,-0.048,-0.475,,
research-development-expenses,24.572,28.314,21.725,19.683,21.169,24.265,17.645,30.872,17.928,163.101,13.061,23.961,12.814,11.21,12.722,13.689,13.073,8.922,6.181,6.859,4.223,3.545,2.833,2.899,2.154,2.833,2.198,4.739,3.796,4.233,4.069,3.821,5.346,3.462,2.729,,5.721,4.292,,
selling-general-administrative-expenses,172.326,167.095,172.299,174.627,161.585,176.674,179.599,167.423,153.952,159.653,174.065,195.485,132.049,133.575,141.939,125.227,106.489,135.246,73.343,55.319,69.22,44.807,39.887,27.688,21.495,21.708,21.27,20.103,17.629,15.098,16.175,17.257,9.333,4.517,4.215,,5.835,7.192,,
other-operating-income-expenses,,-10.963,,15.333,10.7,,-33.647,,,-22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,286.847,295.535,282.166,308.592,263.131,292.276,341.179,340.8461,297.397,475.174,326.242,439.187,230.024,225.911,231.894,206.489,180.812,205.994,108.377,94.858,87.087,73.162,50.339,35.842,26.856,26.935,27.237,27.985,25.235,22.186,22.311,92.774,15.928,10.083,8.783,,12.293,13.616,,
operating-income,48.619,25.112,-1.795,46.951,62.18,10.559,-117.298,-66.6271,-25.751,-185.667,-105.383,-128.837,-21.322,31.467,-27.204,38.0491,45.732,-33.173,4.764,8.983,-11.961,-7.1,1.587,-5.762,-2.744,-15.804,-18.544,-22.026,-18.714,-18.345,-19.788,-89.248,-15.655,-8.748,-6.99,,-11.604,-11.959,,
total-non-operating-income-expense,-60.949,-35.107,-32.988,-30.371,-30.065,-30.689,-30.413,-31.491,-31.039,-25.636,-32.74,-29.739,-12.295,-19.239,-19.645,-49.511,-20.476,-95.693,-22.404,-43.447,10.982,-19.789,-208.942,-97.293,-2.483,-2.988,-4.508,-2.643,-2.751,-4.596,-4.102,-1.616,-1.753,-3.075,-0.863,,-0.867,18.856,,
pre-tax-income,-12.33,-9.995,-34.783,16.58,32.115,-20.13,-147.711,-98.118,-56.79,-211.303,-138.123,-158.576,-33.617,12.228,-46.849,-11.462,25.256,-128.866,-17.64,-34.464,-0.979,-26.889,-207.355,-103.055,-5.227,-18.792,-23.052,-24.669,-21.465,-22.941,-23.89,-90.864,-17.408,-11.823,-7.853,,-12.471,6.897,,
total-provision-income-taxes,-30.564,-4.875,-1.92,-49.259,-1.266,4.621,0.945,-60.61,7.181,-1.767,-47.553,-29.305,-27.747,-2.756,-1.443,-35.456,21.979,-160.68,1.913,-2.817,-3.042,0.88,-1.105,-0.154,0.265,-0.351,-0.881,-0.336,-4.512,-0.159,-0.164,-14.138,-0.177,-0.186,-0.182,,0.016,0.013,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,18.234,-5.12,-32.863,65.839,33.381,-24.751,-148.656,-37.508,-63.971,-209.536,-90.57,-129.271,-5.87,14.984,-45.406,23.994,3.277,31.814,-19.553,-31.647,2.063,-27.769,-206.25,-102.901,-5.492,-18.441,-22.171,-24.333,-16.953,-22.782,-23.726,-76.726,-17.231,-11.637,-7.671,,-12.487,6.884,,
ebitda,113.385,90.009,62.947,191.719,130.542,78.28,-49.367,31.4879,49.624,-108.93,-28.477,14.7,35.155,87.857,27.863,87.8491,94.514,4.857,25.305,27.516,-2.714,0.666,9.323,-0.969,0.453,-12.952,-15.712,-17.396,-17.206,-17.281,-18.712,-15.791,-14.627,-7.721,-5.974,,-10.414,-11.959,,
ebit,48.619,25.112,-1.795,46.9509,62.18,10.559,-117.298,-66.6271,-25.751,-185.667,-105.383,-128.837,-21.322,31.467,-27.204,38.049,45.732,-33.173,4.764,8.983,-11.961,-7.1,1.587,-5.762,-2.744,-15.804,-18.544,-22.026,-18.714,-18.345,-19.788,-89.248,-15.655,-8.748,-6.99,,-11.604,-11.959,,
basic-shares-outstanding,186.4701,185.327,172.7892,166.1554,167.0471,165.537,164.5495,163.1227,163.4472,162.9319,161.972,160.6995,161.039,160.4681,159.904,148.788,159.0356,150.772,125.651,83.751,78.393,73.385,67.138,63.658,64.646,62.872,61.94,38.871,35.973,33.716,24.116,9.015,13.256,1.496,1.494,,1.491,1.491,,
