,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,24.344,22.676,22.241,23.038,22.227,19.058,17.013,20.058,17.79,17.503,17.761,18.154,19.972,16.699,16.541,17.364,15.914,14.415,14.205,15.336,14.616,13.604,13.883,14.297,14.289,13.695,13.851,13.843,13.959,12.21,11.916,13.901,12.999,13.334,12.522,15.549,18.608,18.36,17.381,19.207,18.186,20.925,63.216,23.239,24.276,25.707,23.829,21.3,17.762,17.362,16.74,17.573,18.139,17.707,16.465,16.089,16.518,15.705
cost-goods-sold,3.364,3.093,3.523,4.089,4.104,2.913,2.891,3.318,2.914,2.562,2.628,2.839,2.777,2.926,2.366,2.588,2.174,1.955,1.902,2.279,2.037,1.696,2.004,2.004,1.99,1.945,1.959,1.962,2.251,1.615,1.59,2.036,1.302,1.849,1.563,2.605,2.388,2.475,1.957,2.167,1.988,1.838,1.515,1.767,1.773,2.154,2.782,2.189,1.217,1.092,1.086,0.958,0.891,0.869,0.681,0.762,0.743,0.73
gross-profit,20.98,19.583,18.718,18.949,18.123,16.145,14.122,16.74,14.876,14.941,15.133,15.315,17.195,13.773,14.175,14.776,13.74,12.46,12.303,13.057,12.579,11.908,11.879,12.293,12.299,11.75,11.892,11.881,11.708,10.595,10.326,11.865,11.697,11.485,10.959,12.944,16.22,15.885,15.424,17.04,16.198,19.087,61.701,21.472,22.503,23.553,21.047,19.111,16.545,16.27,15.654,16.615,17.248,16.838,15.784,15.327,15.775,14.975
research-development-expenses,13.321,13.555,11.486,12.59,9.778,10.774,7.831,9.712,7.927,8.208,5.97,5.303,4.693,4.868,3.634,8.729,3.86,,3.576,4.062,3.655,4.134,3.699,3.934,4.009,3.774,3.362,3.49,3.503,3.512,3.638,3.793,3.907,3.8,2.505,9.808,8.865,9.348,8.042,8.898,7.627,8.484,9.353,10.89,10.511,10.37,8.727,11.341,6.2,5.717,5.207,5.457,5.281,5.06,4.593,4.333,4.494,3.89
selling-general-administrative-expenses,5.939,4.876,5.949,6.506,5.977,6.44,5.188,5.308,5.232,5.076,4.862,5.016,4.483,4.853,3.648,-0.885,3.872,8.377,3.542,2.955,3.591,4.294,3.851,2.307,4.052,3.847,3.653,3.753,3.412,3.394,3.466,4.132,3.533,3.473,3.724,4.784,4.944,4.109,4.614,4.204,3.91,4.403,4.683,5.257,4.808,6.002,4.749,6.01,2.827,2.468,2.338,1.991,2.504,2.825,2.611,2.16,2.133,1.956
other-operating-income-expenses,-0.104,0.317,0.035,-1.681,-0.106,2.23,-1.118,-0.676,0.629,0.611,-0.437,-0.436,-0.555,-0.392,-0.109,,,,,,,,,,,,,,,,,,,,,-2.631,-0.191,-2.074,,,,,,,,,,,,,,,,,,,,
operating-expenses,23.327,21.811,21.529,25.479,28.477,18.533,17.646,19.643,16.047,15.826,14.493,14.071,13.375,14.459,12.602,13.098,10.057,10.483,9.171,9.902,9.283,10.124,9.554,8.721,10.051,9.566,8.974,9.205,9.166,8.521,8.694,10.968,8.742,9.122,8.401,33.638,16.388,19.312,14.613,15.234,13.525,14.725,20.549,17.914,17.092,18.526,16.258,35.113,10.244,9.277,8.631,8.406,8.676,8.754,7.885,9.742,7.37,36.853
operating-income,1.017,0.865,0.712,-2.441,-6.25,0.525,-0.633,0.415,1.743,1.677,3.268,4.083,6.597,2.24,3.939,4.266,5.857,3.932,5.034,5.434,5.333,3.48,4.329,5.576,4.238,4.129,4.877,4.638,4.793,3.689,3.222,2.933,4.257,4.212,4.121,-18.089,2.22,-0.952,2.768,3.973,4.661,6.2,42.667,5.325,7.184,7.181,7.571,-13.813,7.518,8.085,8.109,9.167,9.463,8.953,8.58,6.347,9.148,-21.148
total-non-operating-income-expense,0.189,0.235,0.422,0.411,0.955,-0.211,0.112,-0.223,-0.49,-0.116,0.759,0.017,0.263,-0.057,-0.134,-1.493,-0.004,0.599,0.05,-1.132,0.07,0.191,0.767,0.021,0.062,0.209,1.248,0.178,0.139,-0.499,0.146,0.129,0.318,0.375,0.184,-5.149,-2.038,0.284,0.297,0.227,0.794,0.417,0.585,-3.899,0.626,1.184,1.72,1.067,1.201,1.172,1.329,1.271,1.102,-3.699,0.728,0.609,0.469,0.315
pre-tax-income,1.206,1.1,1.134,-2.03,-5.295,0.314,-0.521,0.192,1.253,1.561,4.027,4.1,6.86,2.183,3.805,2.773,5.853,4.531,5.084,4.302,5.403,3.671,5.096,5.597,4.3,4.338,6.125,4.816,4.932,3.19,3.368,3.062,4.575,4.587,4.305,-23.238,0.182,-0.668,3.065,4.2,5.455,6.617,43.252,1.426,7.81,8.365,9.291,-12.746,8.719,9.257,9.438,10.438,10.565,5.254,9.308,6.956,9.617,-20.833
