,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
revenue,56.511,53.475,40.553,45.356,37.366,37.306,27.671,25.399,18.148,14.336,10.338,9.236,6.276,5.581,3.955,3.161,2.187,1.801,1.229,0.875,0.31,0.301,0.118,,
cost-goods-sold,32.12,28.006,21.254,21.141,20.441,20.447,18.076,17.049,13.274,10.49,9.329,8.173,7.242,6.476,5.987,5.506,3.952,3.866,3.199,2.37,1.689,0.963,0.611,,
gross-profit,24.391,25.469,19.299,24.215,16.925,16.859,9.595,8.35,4.874,3.846,1.009,1.063,-0.966,-0.895,-2.032,-2.345,-1.765,-2.065,-1.97,-1.495,-1.379,-0.662,-0.493,,
research-development-expenses,46.951,25.302,17.994,16.57,15.776,15.784,15.366,13.605,11.502,11.339,10.023,11.775,11.482,10.713,10.66,11.38,11.134,11.837,8.455,6.48,5.557,5.078,4.965,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,133.494,105.361,76.76,71.26,67.476,67.374,64.146,60.29,49.124,42.411,37.675,34.188,31.182,30.416,29.445,27.452,24.643,25.926,19.834,16.19,12.844,10.817,9.137,,
operating-income,-76.983,-51.886,-36.207,-25.904,-30.11,-30.068,-36.475,-34.891,-30.976,-28.075,-27.337,-24.952,-24.906,-24.835,-25.49,-24.291,-22.456,-24.125,-18.605,-15.315,-12.534,-10.516,-9.019,,
total-non-operating-income-expense,-10.424,-0.74,-1.47,-6.737,-1.613,-1.603,0.355,-0.844,-1.184,-0.916,-1.013,0.104,-0.065,-0.012,-0.1,-0.069,-0.071,-0.133,-0.032,-0.037,-0.081,-0.023,-0.014,,
pre-tax-income,-87.407,-52.626,-37.677,-32.641,-31.723,-31.671,-36.12,-35.735,-32.16,-28.991,-28.35,-24.848,-24.971,-24.847,-25.59,-24.36,-22.527,-24.258,-18.637,-15.32,-12.615,-10.539,-9.033,,
total-provision-income-taxes,-8.7,-3.95,,,0.0,,,4.758,-4.758,-0.434,-1.422,,0.0,0.0,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-78.707,-48.676,-37.677,-29.841,-31.723,-31.671,-36.12,-40.493,-27.402,-28.557,-26.928,-24.848,-24.971,-24.847,-25.59,-24.36,-22.527,-24.258,-18.637,-15.481,-12.615,-10.539,-9.033,,
ebitda,-71.718,-48.447,-32.921,-23.313,-26.088,-26.574,-33.042,-32.02,-28.408,-26.106,-25.564,-23.586,-23.161,-23.039,-23.844,-22.601,-20.817,-22.583,-17.523,-14.579,-11.927,-10.02,-8.548,,
ebit,-76.983,-51.886,-36.207,-25.904,-30.11,-30.068,-36.475,-34.891,-30.976,-28.075,-27.337,-24.952,-24.906,-24.835,-25.49,-24.291,-22.456,-24.125,-18.605,-15.315,-12.534,-10.516,-9.019,,
basic-shares-outstanding,95.577,90.863,79.369,66.747,70.153,67.807,54.382,46.512,48.222,43.227,42.318,33.176,32.315,32.155,31.965,28.213,31.853,31.81,17.063,0.924,0.886,0.823,0.749,,
shares-outstanding,95.577,90.863,79.369,66.747,70.153,67.807,54.382,46.512,48.222,43.227,42.318,33.176,32.315,32.155,31.965,28.213,31.853,31.81,17.063,0.924,0.886,0.823,0.749,,
eps-basic-net-earnings-per-share,-0.82,-0.54,-0.47,-0.36,-0.45,-0.47,-0.66,-0.78,-0.57,-0.66,-0.64,-0.68,-0.77,-0.77,-0.8,-0.62,-0.71,-0.76,-1.09,-16.75,-14.24,-12.81,-12.06,,
eps-earnings-per-share-diluted,-0.82,-0.54,-0.47,-0.36,-0.45,-0.47,-0.66,-0.78,-0.57,-0.66,-0.64,-0.68,-0.77,-0.77,-0.8,-0.62,-0.71,-0.76,-1.09,-16.75,-14.24,-12.81,-12.06,0.0,0.0
