,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31
revenue,,,,,,,,,,,,,,,,,,
gross-profit,,5.0,,,5.0,,,3.0,,7.0,,2.764,3.214,5.85,4.866,,,
research-development-expenses,29.931,27.35,20.631,15.92,17.883,10.583,11.81,7.606,6.697,7.205,7.935,5.02,3.282,2.335,4.786,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,
operating-expenses,33.745,31.657,24.772,19.663,21.887,14.415,15.757,10.151,9.087,9.555,9.988,5.95,4.289,3.487,6.005,,,
operating-income,-33.745,-26.657,-24.772,-19.663,-16.887,-14.415,-15.757,-7.151,-9.087,-2.555,-9.988,-3.186,-1.075,2.363,-1.139,,,
total-non-operating-income-expense,2.661,2.635,2.675,2.477,0.929,0.797,0.671,0.29,-0.003,-0.129,-1.447,-1.404,-0.04,-0.041,0.251,,,
pre-tax-income,-31.084,-24.022,-22.097,-17.186,-15.958,-13.618,-15.086,-6.861,-9.09,-2.684,-11.435,-4.589,-1.115,2.322,-0.888,,,
total-provision-income-taxes,-0.051,-0.06,-0.019,,,,,,,,,0.0,,,,,,
income-after-taxes,,,,,,,,,,,,0.0,,,,,,
income-from-continuous-operations,,,,,,,,,,,,0.0,,,,,,
net-income,-31.033,-23.962,-22.078,-16.994,-15.958,-13.618,-15.086,-6.861,-9.09,-2.684,-11.435,-4.589,-1.115,0.181,-0.888,,,
ebitda,-33.61,-26.533,-24.657,-19.557,-16.796,-14.351,-15.703,-7.104,-9.041,-2.504,-9.949,-3.131,-1.017,2.423,-1.082,,,
ebit,-33.745,-26.657,-24.772,-19.663,-16.887,-14.415,-15.757,-7.151,-9.087,-2.555,-9.988,-3.186,-1.075,2.363,-1.139,,,
basic-shares-outstanding,27.058,27.026,26.981,24.673,24.146,23.932,23.801,19.782,20.382,20.271,15.295,2.637,2.636,2.635,2.629,,,
shares-outstanding,27.058,27.026,26.981,24.673,24.146,23.932,23.801,19.782,20.382,20.271,15.295,2.637,2.636,3.498,2.629,,,
eps-basic-net-earnings-per-share,-1.15,-0.89,-0.82,-0.64,-0.66,-0.57,-0.63,-0.19,-0.45,-0.13,-0.75,-0.93,-0.42,0.07,-0.34,,,
eps-earnings-per-share-diluted,-1.15,-0.89,-0.82,-0.64,-0.66,-0.57,-0.63,-0.19,-0.45,-0.13,-0.75,-0.91,-0.42,0.05,-0.34,0.0,0.0,0.0
