,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
revenue,91.761,101.063,90.202,86.531,95.291,97.238,79.051,63.787,69.03,64.121,52.5,50.851,54.422,54.567,42.989,40.446,40.778,44.029,33.752,29.118,29.393,30.393,23.633,19.762,19.777,20.157,15.747,,
cost-goods-sold,48.446,50.848,45.793,42.961,46.478,48.768,41.324,33.031,35.86,32.554,26.756,26.163,29.294,28.352,21.71,20.408,21.403,23.207,17.729,15.302,14.744,15.279,11.695,9.59,10.135,9.1,7.63,,
gross-profit,43.315,50.215,44.409,43.57,48.813,48.47,37.727,30.756,33.17,31.567,25.744,24.688,25.128,26.215,21.279,20.038,19.375,20.822,16.023,13.816,14.649,15.114,11.938,10.172,9.642,11.057,8.117,,
research-development-expenses,2.636,1.468,1.669,1.742,2.096,1.775,1.416,1.369,1.375,1.26,1.309,1.216,1.35,1.379,1.168,1.226,1.116,0.975,0.863,0.665,0.798,0.879,0.635,0.58,0.674,0.64,0.503,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,83.654,88.918,85.344,81.756,84.895,83.217,70.351,58.597,60.698,55.624,46.929,44.68,49.025,46.548,39.712,36.972,37.064,38.684,31.234,27.686,25.826,26.43,22.084,19.21,18.891,17.765,15.114,,
operating-income,8.107,12.145,4.858,4.775,10.396,14.021,8.7,5.19,8.332,8.497,5.571,6.171,5.397,8.019,3.277,3.474,3.714,5.345,2.518,1.432,3.567,3.963,1.549,0.552,0.886,2.392,0.633,,
total-non-operating-income-expense,0.646,1.539,1.214,1.048,0.903,-0.375,0.987,0.604,0.485,0.669,0.308,-0.337,0.052,0.023,0.123,-0.157,-0.036,-0.031,-0.1,-0.095,-0.093,-0.187,-0.084,-0.32,-0.069,-0.355,0.128,,
pre-tax-income,8.753,13.684,6.072,5.823,11.299,13.646,9.687,5.794,8.817,9.166,5.879,5.834,5.449,8.042,3.4,3.317,3.678,5.314,2.418,1.337,3.474,3.776,1.465,0.24,0.817,2.037,0.761,,
total-provision-income-taxes,1.89,3.524,0.77,-4.222,-5.133,-0.964,-1.071,6.4,1.479,0.828,-0.053,0.574,0.203,0.55,0.879,-0.541,0.982,1.855,0.846,-0.182,1.341,1.49,0.577,-21.72,0.043,0.077,0.031,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,6.863,10.16,5.302,10.045,16.432,14.61,10.758,-0.606,7.338,8.338,5.932,5.26,5.246,7.492,2.521,3.858,2.696,3.459,1.572,0.952,2.133,2.286,-0.099,21.971,-1.077,,-0.993,,
ebitda,11.769,14.905,7.652,7.549,13.108,16.837,11.693,8.235,11.268,11.614,8.775,9.439,8.813,11.445,6.725,7.018,7.274,8.809,5.962,4.733,6.76,6.891,4.207,3.097,3.228,4.384,2.294,,
ebit,8.107,12.145,4.858,4.775,10.396,14.021,8.7,5.19,8.332,8.497,5.571,6.171,5.397,8.019,3.277,3.474,3.714,5.345,2.518,1.432,3.567,3.963,1.549,0.552,0.886,2.392,0.633,,
basic-shares-outstanding,21.84,21.816,21.7503,21.2667,21.324,21.172,21.0262,20.684,20.7538,20.6223,20.4895,20.067,20.158,19.9724,19.8277,19.399,19.429,19.31,19.168,16.183,18.286,18.202,9.438,22.53,0.277,0.274,0.272,,
shares-outstanding,22.192,22.36,22.5349,22.515,22.659,22.504,22.2952,21.898,21.9987,21.8484,21.5797,21.096,21.183,20.9974,20.8404,20.708,20.784,20.672,20.562,18.037,20.213,20.147,9.438,22.53,0.277,0.274,0.272,,
eps-basic-net-earnings-per-share,0.31,0.47,0.24,0.47,0.77,0.69,0.51,-0.02,0.35,0.4,0.29,0.25,0.26,0.38,0.13,0.2,0.14,0.18,0.08,0.09,0.12,0.13,-0.01,0.89,-3.9,,-3.65,,
eps-earnings-per-share-diluted,0.31,0.45,0.24,0.44,0.73,0.65,0.48,-0.02,0.33,0.38,0.27,0.24,0.25,0.36,0.12,0.18,0.13,0.17,0.08,0.09,0.11,0.11,-0.01,0.89,-3.9,0.0,-3.65,0.0,0.0
