,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,26.024,26.221,30.227,30.013,15.198,40.414,8.762,9.799,11.358,11.346,10.508,22.648,8.985,6.978,31.281,6.218,5.48,13.219,34.202,14.636,33.9,8.411,8.411,6.744,6.268,6.268,6.268,,6.268,6.288,
cost-goods-sold,0.393,0.303,0.334,0.702,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,25.631,25.918,29.893,29.311,14.503,40.414,8.762,9.799,11.358,11.346,10.508,22.648,8.985,6.978,31.281,6.218,5.48,13.219,34.202,14.636,33.9,8.411,8.411,6.744,6.268,6.268,6.268,,6.268,6.288,
research-development-expenses,101.672,107.389,95.585,93.809,82.561,86.73,78.224,77.216,72.917,79.816,62.732,64.678,60.643,50.804,44.038,36.933,36.028,36.423,32.443,34.862,25.526,22.576,17.407,15.279,14.803,12.958,11.462,,9.798,10.463,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,135.084,140.082,127.71,126.369,114.36,113.363,102.774,99.929,90.375,95.946,77.555,80.057,72.497,63.448,54.875,47.115,45.955,45.352,39.397,41.363,30.692,26.741,20.695,18.986,17.337,14.794,13.314,,11.378,12.411,
operating-income,-109.06,-113.861,-97.483,-96.356,-99.162,-72.949,-94.012,-90.13,-79.017,-84.6,-67.047,-57.409,-63.512,-56.47,-23.594,-40.897,-40.475,-32.133,-5.195,-26.727,3.208,-18.33,-12.284,-12.242,-11.069,-8.526,-7.046,,-5.11,-6.123,
total-non-operating-income-expense,2.887,3.99,4.405,4.562,4.498,4.204,3.187,1.845,1.88,1.518,0.881,0.923,0.678,0.517,0.396,0.276,0.218,0.236,0.238,0.085,0.048,0.034,0.036,0.029,0.013,0.005,0.008,,0.013,0.022,
pre-tax-income,-106.173,-109.871,-93.078,-91.794,-94.664,-68.745,-90.825,-88.285,-77.137,-83.082,-66.166,-56.486,-62.834,-55.953,-23.198,-40.621,-40.257,-31.897,-4.957,-26.642,3.256,-18.296,-12.248,-12.213,-11.056,-8.521,-7.038,,-5.097,-6.101,
total-provision-income-taxes,,,,,,,,,,,,,,,,,,,,0.022,-0.448,,,0.169,0.121,0.099,0.19,,-0.452,-0.588,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-106.173,-109.871,-93.078,-91.794,-94.664,-68.745,-90.825,-88.285,-77.137,-83.082,-66.166,-56.486,-62.834,-55.953,-23.198,-40.621,-40.257,-31.897,-4.957,-26.664,3.704,-18.296,-12.248,-12.382,-11.744,-10.418,-9.025,,-2.847,-7.311,
ebitda,-107.731,-112.712,-96.609,-95.742,-98.614,-72.095,-92.693,-88.512,-77.472,-83.096,-65.293,-55.448,-61.872,-54.962,-22.222,-39.644,-39.316,-31.206,-4.653,-26.239,3.661,-17.866,-11.784,-11.699,-10.602,-8.156,-6.702,,-4.726,-6.123,
ebit,-109.06,-113.861,-97.483,-96.356,-99.162,-72.949,-94.012,-90.13,-79.017,-84.6,-67.047,-57.409,-63.512,-56.47,-23.594,-40.897,-40.475,-32.133,-5.195,-26.727,3.208,-18.33,-12.284,-12.242,-11.069,-8.526,-7.046,,-5.11,-6.123,
basic-shares-outstanding,58.8035,58.7222,58.4539,57.4183,58.0334,57.7218,55.6946,46.5876,48.459,46.7458,42.2805,39.1264,38.548,37.9564,37.8641,37.4293,37.507,37.329,37.215,33.667,34.495,33.602,31.395,15.415,22.744,3.723,3.658,,3.439,3.358,
shares-outstanding,58.8035,58.7222,58.4539,57.4183,58.0334,57.7218,55.6946,46.5876,48.459,46.7458,42.2805,39.1264,38.548,37.9564,37.8641,37.4293,37.507,37.329,37.215,33.667,36.593,33.602,31.395,15.415,22.744,3.723,3.658,,3.439,3.358,
eps-basic-net-earnings-per-share,-1.81,-1.87,-1.59,-1.58,-1.63,-1.19,-1.63,-1.82,-1.59,-1.78,-1.56,-1.36,-1.63,-1.47,-0.61,-1.1,-1.07,-0.85,-0.13,-0.77,0.11,-0.54,-0.39,2.96,-0.52,-2.8,-2.47,,-0.83,-2.18,
eps-earnings-per-share-diluted,-1.81,-1.87,-1.59,-1.58,-1.63,-1.19,-1.63,-1.82,-1.59,-1.78,-1.56,-1.36,-1.63,-1.47,-0.61,-1.1,-1.07,-0.85,-0.13,-0.76,0.1,-0.54,-0.39,2.96,-0.52,-2.8,-2.47,0.0,-0.83,-2.18,0.0
