,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
revenue,77.909,74.355,66.824,66.965,65.28,63.069,62.34,52.05,55.91,52.283,49.382,44.737,53.889,51.984,61.902,52.912,44.921,45.087,47.435,,46.274,35.836,
cost-goods-sold,43.88,43.825,43.303,42.789,41.679,40.995,40.592,36.725,34.612,34.559,33.7,38.0,34.261,30.973,32.34,31.814,30.456,25.732,24.843,,20.82,19.014,
gross-profit,34.029,30.53,23.521,24.176,23.601,22.074,21.748,15.325,21.298,17.724,15.682,6.737,19.628,21.011,29.562,21.098,14.465,19.355,22.592,,25.454,16.822,
research-development-expenses,12.796,12.124,11.435,12.77,12.393,11.852,14.34,13.019,12.609,11.786,12.65,11.459,11.345,10.299,8.759,8.004,7.336,6.741,5.63,,4.372,4.122,
selling-general-administrative-expenses,56.715,47.042,43.832,41.133,38.374,37.44,37.925,48.937,34.478,34.309,37.582,37.553,34.938,33.227,30.408,30.442,27.87,28.086,23.239,,16.303,13.905,
other-operating-income-expenses,14.388,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,99.003,102.991,98.57,96.692,92.446,90.287,92.857,98.681,81.699,80.654,83.932,87.012,80.544,74.499,71.507,70.26,65.662,60.559,53.712,,41.495,37.041,
operating-income,-21.094,-28.636,-31.746,-29.727,-27.166,-27.218,-30.517,-46.631,-25.789,-28.371,-34.55,-42.275,-26.655,-22.515,-9.605,-17.348,-20.741,-15.472,-6.277,,4.779,-1.205,
total-non-operating-income-expense,-1.999,-1.885,-2.271,-2.128,-2.332,-6.493,-2.252,-0.405,-1.914,-0.631,1.117,-0.155,0.741,-0.641,0.92,-5.612,3.111,-4.209,-3.727,,-1.055,0.691,
pre-tax-income,-23.093,-30.521,-34.017,-31.855,-29.498,-33.711,-32.769,-47.036,-27.703,-29.002,-33.433,-42.43,-25.914,-23.156,-8.685,-22.96,-17.63,-19.681,-10.004,,3.724,-0.514,
total-provision-income-taxes,0.044,1.895,0.074,-0.014,0.118,0.113,0.104,0.181,0.162,0.064,0.047,0.039,0.103,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,
net-income,-23.137,-32.416,-34.091,-31.841,-29.616,-33.824,-32.873,-47.217,-27.865,-29.066,-33.48,-42.469,-26.017,-23.156,-8.685,-22.96,-17.63,-19.681,-10.004,,0.172,-0.514,
ebitda,-18.755,-26.406,-29.658,-27.728,-25.219,-25.136,-28.415,-44.551,-23.85,-26.263,-32.523,-39.976,-24.522,-20.884,-8.047,-15.888,-19.324,-14.139,-4.636,,6.141,-1.205,
ebit,-21.094,-28.636,-31.746,-29.727,-27.166,-27.218,-30.517,-46.631,-25.789,-28.371,-34.55,-42.275,-26.655,-22.515,-9.605,-17.348,-20.741,-15.472,-6.277,,4.779,-1.205,
basic-shares-outstanding,70.456,68.224,62.831,57.848,60.57,54.551,54.132,53.312,53.447,53.088,52.758,51.576,52.012,51.445,50.439,26.204,44.944,5.494,5.289,,4.866,4.722,
shares-outstanding,70.456,68.224,62.831,57.848,60.57,54.551,54.132,53.604,53.447,53.088,53.043,51.576,52.012,51.445,50.439,26.204,44.944,5.494,5.289,,36.931,4.722,
eps-basic-net-earnings-per-share,-0.33,-0.48,-0.54,-0.5,-0.49,-0.62,-0.61,-0.88,-0.52,-0.55,-0.63,-0.82,-0.5,-0.46,-0.17,3.18,-0.39,-3.58,-1.89,,0.04,-0.11,
eps-earnings-per-share-diluted,-0.33,-0.48,-0.54,-0.5,-0.49,-0.62,-0.61,-0.87,-0.52,-0.55,-0.65,-0.82,-0.5,-0.46,-0.17,3.18,-0.39,-3.58,-1.89,0.0,0.03,-0.11,0.0
