,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,58.509,58.6,54.026,54.076,43.908,43.161,40.133,41.65,40.412,41.285,35.907,33.172,29.577,28.556,23.092,20.276,19.004,17.754,14.666,14.113,12.126,11.099,8.249,
cost-goods-sold,7.703,7.87,7.111,7.118,6.011,6.16,5.786,4.63,5.718,5.522,5.18,4.811,3.886,4.359,3.121,3.594,3.319,3.281,2.794,4.9,2.246,2.339,1.944,
gross-profit,50.806,50.73,46.915,46.958,37.897,37.001,34.347,37.02,34.694,35.763,30.727,28.361,25.691,24.197,19.971,16.682,15.685,14.473,11.872,9.213,9.88,8.76,6.305,
research-development-expenses,17.278,17.069,13.93,12.957,13.202,12.611,10.906,10.525,9.805,9.633,8.942,7.399,7.807,6.955,7.062,6.295,6.173,7.339,5.24,5.31,5.093,4.422,4.383,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,70.924,64.84,55.966,52.179,50.845,47.409,43.847,41.118,39.664,45.15,35.603,32.704,28.547,26.434,22.471,22.281,20.729,23.136,15.85,19.16,14.008,13.343,12.275,
operating-income,-12.415,-6.24,-1.94,1.897,-6.937,-4.248,-3.714,0.532,0.748,-3.865,0.304,0.468,1.03,2.122,0.621,-2.005,-1.725,-5.382,-1.184,-5.047,-1.882,-2.244,-4.026,
total-non-operating-income-expense,-0.904,0.003,0.72,0.412,0.353,-1.139,1.008,0.437,0.63,0.586,0.629,-0.431,0.269,0.21,0.276,-0.252,-0.332,-27.13,-0.278,-0.242,-0.084,-0.25,-0.311,
pre-tax-income,-13.319,-6.237,-1.22,2.309,-6.584,-5.387,-2.706,0.969,1.378,-3.279,0.933,0.037,1.299,2.332,0.897,-2.257,-2.057,-32.512,-1.462,-5.25,-1.966,-2.494,-4.337,
total-provision-income-taxes,0.187,0.072,0.122,0.53,0.037,0.011,0.005,-0.037,0.053,0.022,0.055,-0.097,0.14,,,,,,,0.003,0.005,,0.002,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-13.506,-6.309,-1.342,1.779,-6.621,-5.398,-2.711,1.006,1.325,-3.301,0.878,0.134,1.159,2.332,0.897,-2.29,-2.057,-31.928,-0.966,-4.606,-1.489,-2.074,-3.957,
ebitda,-10.537,-4.467,-0.81,3.008,-5.305,-2.629,-2.107,2.038,2.258,-2.415,1.34,1.784,2.23,3.334,1.825,-0.886,-0.669,-4.299,-0.109,-3.982,-0.825,-1.192,-2.97,
ebit,-12.415,-6.24,-1.94,1.897,-6.937,-4.248,-3.714,0.532,0.748,-3.865,0.304,0.468,1.03,2.122,0.621,-2.005,-1.725,-5.382,-1.184,-5.047,-1.882,-2.244,-4.026,
basic-shares-outstanding,36.831,36.47,36.205,35.317,35.541,34.942,34.677,34.381,34.472,34.322,34.146,32.928,33.116,32.652,32.317,17.474,32.006,2.912,2.41,2.378,2.326,2.302,2.168,
shares-outstanding,36.831,36.47,36.205,35.317,35.541,34.942,34.677,34.381,37.654,34.322,37.742,36.459,37.023,36.182,35.724,17.474,32.013,2.912,2.41,2.378,2.326,2.302,2.168,
eps-basic-net-earnings-per-share,-0.37,-0.17,-0.04,0.05,-0.19,-0.15,-0.08,0.03,0.04,-0.1,0.03,0.01,0.03,0.07,0.03,9.29,-0.06,-10.96,-0.4,-1.94,-0.64,-0.9,-1.83,
eps-earnings-per-share-diluted,-0.37,-0.17,-0.04,0.05,-0.19,-0.15,-0.08,0.04,0.04,-0.1,0.02,0.0,0.03,0.06,0.03,9.3,-0.07,-10.96,-0.4,-1.94,-0.64,-0.9,-1.83,0.0
