,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,2.429,2.817,2.632,1.661,1.026,1.027,1.026,1.027,1.026,1.026,1.027,1.027,1.026,1.027,1.322,1.076,1.026,0.329,,,,,,0.0,0.209,0.29,0.472,,0.528,
research-development-expenses,23.202,21.631,17.728,14.095,13.637,16.816,11.476,9.887,8.578,7.927,7.966,6.23,6.804,6.782,6.636,5.433,5.003,4.857,4.568,3.865,4.08,3.968,4.522,3.031,3.378,3.067,2.531,,3.315,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,29.548,26.901,23.078,18.402,17.718,20.632,15.08,13.271,11.366,10.596,10.998,8.681,9.415,9.031,9.238,7.988,7.354,7.547,7.324,5.943,5.984,6.04,6.937,4.902,5.357,4.559,3.828,,4.178,
operating-income,-27.119,-24.084,-20.446,-16.741,-16.692,-19.605,-14.054,-12.244,-10.34,-9.57,-9.971,-7.654,-8.389,-8.004,-7.916,-6.912,-6.328,-7.218,-7.324,-5.943,-5.984,-6.04,-6.937,-4.902,-5.148,-4.269,-3.356,,-3.65,
total-non-operating-income-expense,0.51,0.606,0.686,0.714,-0.09,-0.049,-0.081,-0.253,-0.344,-0.075,-0.155,-0.286,-0.348,-0.404,-0.461,-0.534,-0.558,-0.561,-0.557,-0.29,-0.619,-0.027,-0.043,-0.837,-0.925,-1.265,-0.192,,-0.463,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-26.609,-23.478,-19.76,-16.027,-16.782,-19.654,-14.135,-12.497,-10.684,-9.645,-10.126,-7.94,-8.737,-8.408,-8.377,-7.446,-6.886,-7.779,-7.881,-6.233,-6.603,-6.067,-6.98,-5.739,-6.073,-5.534,-3.548,,-4.113,
ebitda,-26.61,-23.658,-19.889,-16.389,-16.45,-19.442,-13.824,-11.939,-10.084,-9.333,-9.742,-7.41,-8.097,-7.671,-7.594,-6.658,-6.096,-7.013,-7.152,-5.811,-5.866,-5.901,-6.806,-4.508,-4.914,-4.107,-3.181,,-3.65,
ebit,-27.119,-24.084,-20.446,-16.741,-16.692,-19.605,-14.054,-12.244,-10.34,-9.57,-9.971,-7.654,-8.389,-8.004,-7.916,-6.912,-6.328,-7.218,-7.324,-5.943,-5.984,-6.04,-6.937,-4.902,-5.148,-4.269,-3.356,,-3.65,
basic-shares-outstanding,66.9295,65.213,64.921,56.196,54.185,53.131,52.763,41.982,41.429,41.406,41.388,31.754,32.09,28.868,28.778,25.484,28.65,23.921,20.554,20.452,20.489,20.4678,20.347,5.896,1.263,1.24,1.213,,1.171,
shares-outstanding,66.9295,65.213,64.921,56.196,54.185,53.131,52.763,41.982,41.429,41.406,41.388,31.754,32.09,28.868,28.778,25.484,28.65,23.921,20.554,20.452,20.489,20.4678,20.347,5.896,1.263,1.24,1.213,,1.171,
eps-basic-net-earnings-per-share,-0.4,-0.36,-0.3,-0.24,-0.31,-0.37,-0.27,-0.29,-0.26,-0.23,-0.24,-0.2,-0.27,-0.29,-0.29,-0.23,-0.24,-0.33,-0.38,-0.31,-0.32,-0.3,-0.34,8.65,-4.81,-4.46,-2.92,,-3.51,
eps-earnings-per-share-diluted,-0.4,-0.36,-0.3,-0.24,-0.31,-0.37,-0.27,-0.29,-0.26,-0.23,-0.24,-0.2,-0.27,-0.29,-0.29,-0.23,-0.24,-0.33,-0.38,-0.31,-0.32,-0.3,-0.34,8.65,-4.81,-4.46,-2.92,0.0,-3.51,0.0
