,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,94.657,93.255,65.995,76.199,46.264,34.126,27.277,40.294,27.003,21.327,18.977,28.912,12.293,22.985,20.058,29.12,15.716,15.706,12.308,17.888,13.514,10.255,8.065,10.2447,7.7762,5.5277,5.4584,,,,
cost-goods-sold,43.974,43.351,32.642,34.664,24.468,19.039,15.873,22.827,15.131,13.325,12.224,18.847,13.87,14.809,13.13,15.662,10.203,10.905,9.5,11.352,9.117,6.806,7.199,9.0568,5.2433,5.1219,3.418,,,,
gross-profit,50.683,49.904,33.353,41.535,21.796,15.087,11.404,17.467,11.872,8.002,6.753,10.065,-1.577,8.176,6.928,13.458,5.513,4.801,2.808,6.536,4.397,3.449,0.866,1.1879,2.5329,0.4059,2.0404,,,,
research-development-expenses,12.038,11.204,9.389,8.797,7.999,6.456,5.975,5.751,4.914,4.866,5.13,4.344,6.154,4.142,4.169,4.134,5.093,3.873,3.863,3.921,4.508,3.699,3.663,3.3462,2.6516,2.7588,2.3225,,0.0,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,100.661,95.12,76.992,75.639,61.973,48.123,42.762,49.877,40.17,40.295,40.203,42.258,40.707,40.038,39.296,40.34,34.419,34.377,32.718,35.39,32.52,28.573,28.903,26.7078,19.9037,19.2049,12.6246,,,,
operating-income,-6.004,-1.865,-10.997,0.56,-15.709,-13.997,-15.485,-9.583,-13.167,-18.968,-21.226,-13.346,-28.414,-17.053,-19.238,-11.22,-18.703,-18.671,-20.41,-17.502,-19.006,-18.318,-20.838,-16.4631,-12.1275,-13.6772,-7.1661,,,,
total-non-operating-income-expense,3.175,0.353,-11.995,3.177,-18.536,-45.362,-17.208,-1.815,-2.868,-2.832,-2.566,-1.493,-1.4,-1.272,-1.246,-0.862,-0.882,-0.862,-0.798,-0.893,-0.893,-0.879,-1.124,-7.1502,-0.9338,-1.6237,-3.9973,,,,
pre-tax-income,-2.829,-1.512,-22.992,3.737,-34.245,-59.359,-32.693,-11.398,-16.035,-21.8,-23.792,-14.839,-29.814,-18.325,-20.484,-12.082,-19.585,-19.533,-21.208,-18.395,-19.899,-19.197,-21.962,-23.6133,-13.0613,-15.3009,-11.1635,,0.0,0.0,
total-provision-income-taxes,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
net-income,-2.901,-1.512,-22.992,3.686,-34.245,-59.359,-32.693,-11.406,-16.035,-21.8,-23.792,-14.824,-29.814,-18.325,-20.484,-12.092,-19.585,-19.533,-21.208,-18.466,-19.899,-19.197,-21.962,-23.6136,-13.061,-15.3009,-11.1635,,,,
ebitda,-4.656,-0.429,-9.653,1.784,-13.769,-12.353,-13.933,-7.454,-11.446,-17.383,-19.811,-11.9,-27.155,-15.705,-17.887,-9.976,-17.491,-17.458,-19.246,-16.218,-17.851,-17.336,-19.923,-15.7592,-11.3709,-12.7548,-6.3821,,0.6234,,
ebit,-6.004,-1.865,-10.997,0.56,-15.709,-13.997,-15.485,-9.583,-13.167,-18.968,-21.226,-13.346,-28.414,-17.053,-19.238,-11.22,-18.703,-18.671,-20.41,-17.502,-19.006,-18.318,-20.838,-16.4631,-12.1275,-13.6772,-7.1661,,,,
basic-shares-outstanding,58.801,58.219,57.771,48.129,55.615,50.948,17.993,5.677,5.19,5.004,3.189,3.057,3.063,3.0489,3.0294,2.892,3.004,2.9902,2.5522,2.3272,2.3472,2.3098,2.2936,0.2942,0.0214,0.0211,0.0208,,,,
shares-outstanding,59.196,58.219,57.771,48.129,55.615,50.948,17.993,5.677,5.19,5.004,3.189,3.057,3.063,3.0489,3.0294,2.892,3.004,2.9902,2.5522,2.3272,2.3472,2.3098,2.2936,0.2942,0.0214,0.0211,0.0208,,,,
eps-basic-net-earnings-per-share,-0.05,-0.03,-0.4,1.06,-0.62,-1.17,-1.82,2.04,-3.09,-4.36,-7.46,-4.77,-9.73,-6.0,-6.8,-3.74,-6.5,-6.5,-8.3,-7.8,-8.5,-8.3,-9.6,1657.7,-609.6,-725.0,-537.7,,,,
eps-earnings-per-share-diluted,-0.09,-0.03,-0.4,1.06,-0.62,-1.17,-1.82,2.04,-3.09,-4.36,-7.46,-4.77,-9.73,-6.0,-6.8,-3.74,-6.5,-6.5,-8.3,-7.8,-8.5,-8.3,-9.6,1657.7,-609.6,-725.0,-537.7,0.0,0.0,0.0,0.0
