,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
revenue,,,,,,,,,,,,,,,,,,,,
gross-profit,8.242,7.833,7.77,8.451,5.175,7.571,32.392,9.963,12.557,12.806,12.732,12.501,12.551,12.366,12.438,12.53,12.5,12.365,12.929,
research-development-expenses,32.279,29.554,26.114,25.308,27.144,23.429,21.407,20.443,18.326,17.901,14.603,11.772,9.3,9.075,9.306,8.34,8.55,9.688,8.578,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,
operating-expenses,46.82,41.492,36.322,33.373,34.735,34.223,28.136,26.489,24.575,24.0,19.906,16.737,13.509,13.791,12.701,13.12,12.016,13.586,11.965,
operating-income,-38.578,-33.659,-28.552,-24.922,-29.56,-26.652,4.256,-16.526,-12.018,-11.194,-7.174,-4.236,-0.958,-1.425,-0.263,-0.59,0.484,-1.221,0.964,
total-non-operating-income-expense,-1.078,-0.701,-0.6,-0.649,-1.266,-1.553,-0.174,-0.148,-0.289,-0.395,0.076,0.101,0.062,0.028,0.023,0.005,0.009,0.008,0.008,
pre-tax-income,-39.656,-34.36,-29.152,-25.571,-30.826,-28.205,4.082,-16.674,-12.307,-11.589,-7.098,-4.135,-0.896,-1.397,-0.24,-0.55,0.493,-1.213,0.972,
total-provision-income-taxes,0.038,0.02,0.002,0.011,0.009,0.006,,0.0,0.001,0.002,,0.001,0.001,-0.461,0.018,1.18,-0.14,0.482,-0.386,
income-after-taxes,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,0.0,,,,
net-income,-39.694,-34.38,-29.154,-25.582,-30.835,-28.211,4.082,-16.674,-12.308,-11.591,-7.098,-4.136,-0.897,-0.936,-0.258,-1.74,0.633,-1.695,1.358,
ebitda,-37.981,-33.089,-28.043,-24.463,-29.116,-26.396,4.416,-16.365,-11.886,-11.042,-7.044,-4.091,-0.788,-1.246,-0.075,-0.328,0.97,-0.692,1.497,
ebit,-38.578,-33.659,-28.552,-24.922,-29.56,-26.652,4.256,-16.526,-12.018,-11.194,-7.174,-4.236,-0.958,-1.425,-0.263,-0.59,0.484,-1.221,0.964,
basic-shares-outstanding,30.11,30.069,29.83,27.702,28.705,26.179,26.155,23.933,24.8454,22.366,22.3504,19.817,22.3244,18.562,15.991,15.975,15.98,15.973,15.967,
shares-outstanding,30.11,30.069,29.83,27.702,28.705,26.179,26.634,23.933,24.8454,22.366,22.3504,19.817,22.3244,18.562,15.991,15.975,16.149,15.973,16.02,
eps-basic-net-earnings-per-share,-1.32,-1.14,-0.98,-0.92,-1.07,-1.08,0.16,-0.65,-0.5,-0.52,-0.32,-0.2,-0.04,-0.05,-0.02,-0.1,0.04,-0.11,0.08,
eps-earnings-per-share-diluted,-1.32,-1.14,-0.98,-0.91,-1.07,-1.08,0.15,-0.65,-0.5,-0.52,-0.32,-0.2,-0.04,-0.05,-0.02,-0.1,0.04,-0.11,0.08,0.0
