,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,23.043,35.986,23.335,43.185,32.448,45.275,39.666,76.785,46.016,54.433,53.747,46.002,48.985,52.501,43.438,41.498,53.367,44.891,33.849,31.092,21.197,11.787,7.854,7.143,6.042,6.69,3.885,,2.925,2.726,
cost-goods-sold,14.813,17.394,15.382,14.114,15.326,18.534,15.313,15.115,15.014,16.849,15.81,14.361,14.959,17.085,15.234,14.959,16.666,18.267,14.037,12.634,6.54,0.053,0.033,,,,,,,,
gross-profit,8.23,18.592,7.953,29.071,17.122,26.741,24.353,61.67,31.002,37.584,37.937,31.641,34.026,35.416,28.204,26.539,36.701,26.624,19.812,18.458,14.657,11.734,7.821,7.143,6.042,6.69,3.885,,2.925,2.726,
research-development-expenses,31.48,34.518,33.062,280.385,44.885,42.049,37.267,38.544,36.472,34.011,34.18,28.869,29.035,28.375,25.856,26.197,21.598,20.381,79.307,17.64,14.851,14.434,12.058,12.55,10.672,13.51,11.411,,14.364,17.641,
selling-general-administrative-expenses,24.741,21.483,33.594,24.935,38.708,34.427,39.737,32.845,39.277,38.843,35.138,35.362,33.812,30.263,42.881,34.737,23.019,23.673,27.628,19.779,14.853,15.382,13.635,12.297,7.407,7.434,6.48,,5.046,6.333,
other-operating-income-expenses,-0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,71.66,73.395,82.038,379.938,98.919,95.01,92.317,103.277,90.763,89.703,85.128,78.592,77.806,75.723,83.971,75.893,61.283,62.321,120.972,50.053,36.244,29.869,25.726,24.869,18.079,20.944,17.891,,19.41,23.974,
operating-income,-48.617,-37.409,-58.703,-336.753,-66.471,-49.735,-52.651,-26.492,-44.747,-35.27,-31.381,-32.59,-28.821,-23.222,-40.533,-34.395,-7.916,-17.43,-87.123,-18.961,-15.047,-18.082,-17.872,-17.726,-12.037,-14.254,-14.006,,-16.485,-21.248,
total-non-operating-income-expense,-5.529,-2.047,-4.011,-6.962,-6.597,-18.221,1.156,-8.169,3.093,14.795,-1.529,-12.909,-1.608,-27.4,-27.068,1.33,-32.036,-23.13,113.722,36.767,-38.815,-35.136,21.427,4.708,27.028,7.735,-22.356,,-4.005,4.713,
pre-tax-income,-54.146,-39.456,-62.714,-343.715,-73.068,-67.956,-51.495,-34.661,-41.654,-20.475,-32.91,-45.499,-30.429,-50.622,-67.601,-33.065,-39.952,-40.56,26.599,17.806,-53.862,-53.218,3.555,-13.018,14.991,-6.519,-36.362,,-20.49,-16.535,
total-provision-income-taxes,-0.512,-0.525,-0.578,-1.993,-14.322,-1.127,-4.086,-0.716,-0.818,-0.813,-0.533,-0.587,-0.418,-0.591,-2.281,0.21,-0.923,0.934,0.795,-0.126,,-0.283,0.306,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-53.634,-38.766,-60.709,-340.465,-57.324,-65.382,-46.165,-27.266,-39.689,-18.664,-31.399,-44.137,-28.982,-49.064,-64.429,-32.714,-38.213,-40.663,27.097,18.831,-52.725,-52.043,4.115,-9.072,8.322,-13.905,-42.716,,-25.959,-21.897,
ebitda,-37.354,-34.95,-50.335,-324.424,-49.04,-22.054,-43.173,-11.574,-38.851,-36.334,-22.161,-11.961,-22.986,6.551,-12.234,-30.994,27.483,7.06,-198.904,-53.655,25.468,18.041,-37.575,-20.256,-37.409,-20.114,17.234,,-10.481,-21.248,
ebit,-48.617,-37.409,-58.703,-336.7531,-66.471,-49.735,-52.651,-26.492,-44.747,-35.27,-31.381,-32.59,-28.821,-23.222,-40.533,-34.395,-7.916,-17.43,-87.123,-18.961,-15.047,-18.082,-17.872,-17.726,-12.037,-14.254,-14.006,,-16.485,-21.248,
basic-shares-outstanding,154.596,153.75,152.948,129.522,129.519,129.3,127.693,119.999,120.5189,119.731,118.957,117.984,118.347,118.141,116.861,111.066,112.244,109.318,106.104,99.171,99.888,98.893,97.326,40.952,54.305,5.668,5.662,,5.576,5.485,
shares-outstanding,154.596,153.75,152.948,129.522,129.519,129.3,127.693,119.999,120.5189,119.731,118.957,117.984,118.347,118.141,116.861,111.066,112.244,109.318,108.142,99.171,99.888,98.893,99.338,40.952,56.151,5.668,5.662,,5.576,5.485,
eps-basic-net-earnings-per-share,-0.35,-0.25,-0.4,-2.62,-0.44,-0.51,-0.36,-0.23,-0.33,-0.16,-0.26,-0.37,-0.24,-0.42,-0.55,-0.31,-0.34,-0.37,0.26,0.19,-0.53,-0.53,0.04,8.44,0.15,-2.45,-7.54,,-4.66,-3.99,
eps-earnings-per-share-diluted,-0.35,-0.25,-0.4,-2.62,-0.44,-0.51,-0.36,-0.23,-0.33,-0.16,-0.26,-0.37,-0.24,-0.42,-0.55,-0.3,-0.34,-0.37,0.25,0.19,-0.53,-0.53,0.04,8.44,0.15,-2.45,-7.54,0.0,-4.66,-3.99,0.0
