,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-05-31,2010-03-31,2010-02-28,2009-12-31,2009-11-30,2009-09-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-12-31,2007-11-30,2007-09-30,2007-06-30,2007-05-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,444.184,444.46,432.049,442.346,432.43,441.464,433.722,208.7,449.442,426.091,413.475,261.6059,392.384,386.521,345.558,345.647,354.476,351.718,334.552,340.903,345.389,351.296,340.285,350.977,330.191,344.827,347.066,350.963,360.694,369.956,364.712,388.2021,363.736,356.831,335.308,316.2,242.393,191.373,,184.392,179.919,,169.344,164.91,164.91,,160.703,128.613,81.804,92.79,81.512,,72.089,97.119,45.592,96.386,69.889,70.041,143.377,65.022,63.56,62.191,60.014,42.204,34.197,30.638,29.534,26.195
cost-goods-sold,268.882,260.338,257.954,254.187,254.478,267.697,249.057,143.9629,247.523,238.6,234.823,145.048,226.225,219.837,193.66,191.844,201.128,208.094,204.762,204.5491,213.933,211.308,202.099,212.778,204.644,208.545,212.638,214.631,203.658,212.466,209.035,212.255,201.763,189.036,175.458,170.1,117.981,86.8,,80.335,78.245,,73.794,75.84,75.84,,77.422,61.851,41.433,42.795,40.362,,36.048,44.736,30.178,42.507,34.24,34.57,77.811,32.749,29.575,31.635,28.742,22.079,18.63,17.378,15.653,14.028
gross-profit,175.302,184.122,174.095,188.159,177.952,173.767,184.665,64.7371,201.919,187.491,178.652,116.5579,166.159,166.684,151.898,153.8029,153.348,143.624,129.79,136.3539,131.456,139.988,138.186,138.1989,125.547,136.282,134.428,136.332,157.036,157.49,155.677,175.947,161.973,167.795,159.85,146.1,124.412,104.573,,104.057,101.674,,95.55,89.07,89.07,,83.281,66.762,40.371,49.995,41.15,,36.041,52.383,15.414,53.879,35.649,35.471,65.566,32.273,33.985,30.556,31.272,20.125,15.567,13.26,13.881,12.167
research-development-expenses,63.873,63.414,64.31,66.096,63.032,74.491,64.79,55.534,51.057,46.459,49.232,38.464,45.142,47.891,47.037,45.995,47.702,44.367,46.727,41.538,45.962,53.016,52.305,47.87,49.4,51.822,50.659,49.994,37.802,38.24,36.122,31.306,26.032,24.764,22.004,20.9,16.697,15.314,,12.534,12.649,,10.724,11.978,11.978,,9.913,10.927,,7.958,,,,8.684,,8.146,,,32.734,,,,,,,,,
selling-general-administrative-expenses,101.152,105.542,100.245,99.992,108.125,122.913,119.937,60.454,117.352,112.037,110.845,56.788,98.778,94.802,84.153,79.354,91.043,86.749,82.029,85.038,97.034,86.663,89.946,109.273,104.506,101.588,104.232,104.35,90.412,92.291,97.317,89.739,92.152,101.532,104.148,105.9,103.358,66.224,,56.969,54.672,,55.622,52.959,52.959,,47.709,64.113,32.605,32.899,32.85,,31.393,27.102,18.869,31.395,25.977,25.425,38.304,22.374,23.921,21.947,23.122,16.808,12.068,10.025,11.458,10.357
other-operating-income-expenses,-0.248,-3.691,-0.098,-28.091,0.0,-30.075,0.0,,0.0,0.0,,,,,-4.65,-1.203,-0.022,-0.293,-0.026,-0.256,-0.188,-1.751,-0.195,-0.95,-7.371,-2.814,-0.319,,-11.101,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,441.002,439.717,429.404,468.7891,432.244,501.558,440.423,253.9559,424.069,404.987,402.212,241.24,375.51,367.947,333.662,322.529,345.607,346.127,340.247,340.2471,364.229,360.389,352.196,378.5221,373.643,373.148,375.349,377.5629,351.51,352.252,351.729,342.5731,329.369,324.754,310.837,306.7,243.612,170.826,,152.326,148.054,,142.661,143.34,143.34,,137.916,138.147,77.477,83.839,76.651,,70.88,80.702,70.553,87.522,62.974,62.571,190.257,57.699,56.072,56.627,55.145,40.257,31.134,27.839,27.547,24.821
operating-income,3.182,4.743,2.645,-26.4431,0.186,-60.094,-6.7011,-45.2559,25.373,21.104,11.263,20.366,16.874,18.574,11.896,23.118,8.869,5.591,-5.695,0.6559,-18.84,-9.093,-11.911,-27.5451,-43.452,-28.321,-28.283,-26.6,9.184,17.704,12.983,45.629,34.367,32.077,24.471,9.5,-1.219,20.547,,32.066,31.865,,26.683,21.57,21.57,,22.787,-9.534,4.327,8.951,4.861,,1.209,16.417,-24.961,8.864,6.915,7.47,-46.88,7.323,7.488,5.564,4.869,1.947,3.063,2.799,1.987,1.374
total-non-operating-income-expense,-9.672,-155.2,-8.69,-13.601,-13.964,151.916,-18.161,25.33,-43.073,-165.122,-19.656,13.642,-19.373,-21.213,-9.206,-8.298,-10.31,-7.335,-5.37,-7.293,-7.371,-7.0,-7.265,-7.237,-7.721,-9.281,3.494,-3.498,-19.563,-4.208,-3.462,-3.526,-3.321,-4.695,-7.523,-5.9,-3.287,0.344,,-0.543,-0.449,,-0.363,-0.584,-0.584,,-0.869,-0.344,-1.432,-0.066,-1.006,,-1.079,-0.057,0.098,-0.035,0.007,2.568,-2.718,0.104,-0.135,-0.291,-0.309,0.186,0.34,0.141,0.046,-0.04
pre-tax-income,-6.49,-150.457,-6.045,-40.044,-13.778,91.822,-24.862,-19.926,-17.7,-144.018,-8.393,34.008,-2.499,-2.639,2.69,14.82,-1.441,-1.744,-11.065,-6.637,-26.211,-16.093,-19.176,-34.782,-51.173,-37.602,-24.789,-30.098,-10.379,13.496,9.521,42.103,31.046,27.382,16.948,3.6,-4.506,20.891,,31.523,31.416,,26.32,20.986,20.986,,21.918,-9.878,2.895,8.885,3.855,,0.13,16.36,4.96,8.829,6.922,10.038,-19.775,7.427,7.353,5.273,4.56,2.133,3.403,2.94,2.033,1.334
total-provision-income-taxes,-0.765,-0.527,1.932,-5.449,-1.637,7.256,0.299,-4.441,-0.238,-1.007,0.172,2.905,-2.656,-0.503,0.563,-1.557,3.692,1.472,-0.981,-4.459,-0.448,1.677,1.566,-14.164,-2.233,-14.726,-13.197,-5.776,-19.754,5.515,3.708,16.12,11.909,11.506,4.335,9.8,-5.879,7.801,,12.946,12.946,,10.541,8.054,8.054,,8.668,-3.913,1.123,3.514,1.503,,0.05,6.3,0.033,3.373,2.77,4.01,-7.993,2.96,2.87,2.011,1.733,0.81,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
