,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
revenue,21.906,12.319,15.583,16.068,16.946,13.538,14.042,21.722,9.984,10.347,7.971,9.969,14.87,16.002,7.996,11.587,17.401,6.018,6.798,14.191,7.472,6.57,7.074,9.524,3.943,6.974,11.481,7.912,26.341,22.909,31.136,33.494,33.282,26.055,31.034,29.811,27.113,24.48,25.7,24.238,20.062,19.198,19.41,
cost-goods-sold,5.067,2.772,4.391,2.393,3.791,2.611,3.825,3.559,3.976,3.79,3.002,2.287,2.756,2.221,2.489,2.578,1.302,1.25,1.456,3.547,1.532,2.123,2.524,4.764,0.494,3.631,5.665,5.779,6.397,5.829,12.642,13.067,9.958,7.106,11.65,8.126,8.563,6.075,5.218,4.8,4.618,3.412,3.856,
gross-profit,16.839,9.547,11.192,13.675,13.155,10.927,10.217,18.163,6.008,6.557,4.969,7.682,12.114,13.781,5.507,9.009,16.099,4.768,5.342,10.644,5.94,4.447,4.55,4.76,3.449,3.343,5.816,2.133,19.944,17.08,18.494,20.427,23.324,18.949,19.384,21.685,18.55,18.405,20.482,19.438,15.444,15.786,15.554,
research-development-expenses,8.711,8.274,8.016,7.513,7.917,7.37,7.178,9.417,8.055,6.348,5.839,5.964,5.467,5.112,5.686,5.216,4.994,5.17,5.293,5.15,5.038,7.733,4.834,8.829,6.831,8.624,7.322,10.595,14.191,15.65,16.349,15.548,16.786,14.965,13.75,13.349,13.07,13.004,12.982,15.25,12.239,12.112,15.134,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,21.647,18.942,20.822,16.712,19.052,17.376,18.749,20.843,20.02,16.684,15.447,15.219,13.452,13.753,14.977,13.82,11.711,11.716,12.327,13.74,11.727,15.481,13.47,19.376,13.157,19.424,21.111,23.66,28.497,28.268,38.386,38.397,35.615,31.347,34.413,30.124,29.573,27.731,26.8,29.0,25.556,21.702,25.053,
operating-income,0.259,-6.623,-5.239,-0.644,-2.106,-3.838,-4.707,0.879,-10.036,-6.337,-7.476,-5.25,1.418,2.249,-6.981,-2.233,5.69,-5.698,-5.529,0.451,-4.255,-8.911,-6.396,-9.852,-9.214,-12.45,-9.63,-15.748,-2.156,-5.359,-7.25,-4.903,-2.333,-5.292,-3.379,-0.313,-2.46,-3.251,-1.1,-4.762,-5.494,-2.504,-5.643,
total-non-operating-income-expense,0.077,0.132,0.106,0.158,0.119,0.092,0.011,0.04,-0.04,0.015,0.04,-0.035,0.019,-0.036,0.018,-0.014,-0.022,-0.092,-0.021,-0.048,-0.054,-0.005,-0.109,-0.006,-0.013,-0.167,-0.058,0.036,0.016,-0.083,-0.043,-0.22,-0.335,0.087,0.066,-0.121,0.026,-0.608,-0.33,-0.47,-0.68,-0.313,-0.396,
pre-tax-income,0.336,-6.491,-5.133,-0.486,-1.987,-3.746,-4.696,0.919,-10.076,-6.322,-7.436,-5.285,1.437,2.213,-6.963,-2.247,5.668,-5.79,-5.55,0.403,-4.309,-8.916,-6.505,-9.858,-9.227,-12.617,-9.688,-15.712,-2.14,-5.442,-7.293,-5.123,-2.668,-5.205,-3.313,-0.434,-2.434,-3.859,-1.43,-5.21,-6.174,-2.817,-6.039,
total-provision-income-taxes,-0.007,0.016,0.003,-0.025,0.001,-0.011,-0.002,-0.051,0.15,-0.042,0.024,-0.025,,-0.026,0.011,-0.194,0.274,-0.43,0.012,0.058,0.253,-0.437,-0.13,-0.045,0.035,-0.012,-0.065,-0.173,0.169,0.077,0.197,0.174,0.074,-0.165,0.158,0.06,0.298,0.087,-0.061,-0.02,-0.016,0.041,0.054,
