,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
revenue,,,,,,,,,,,,,,,,,,
gross-profit,211.928,0.318,0.328,0.115,0.563,1.088,1.358,32.325,2.387,3.582,2.703,2.344,1.549,0.795,0.476,,,
research-development-expenses,57.246,39.533,33.822,28.801,39.82,25.633,19.519,20.03,17.845,17.12,14.805,15.572,12.052,8.602,6.012,,3.749,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,
operating-expenses,72.765,55.301,48.751,45.343,49.995,38.374,28.355,31.353,25.957,24.888,23.447,27.654,16.159,17.353,12.128,,6.202,
operating-income,139.163,-54.983,-48.423,-45.228,-49.432,-37.286,-26.997,0.972,-23.57,-21.306,-20.744,-25.31,-14.61,-16.558,-11.652,,-6.202,
total-non-operating-income-expense,-0.466,1.369,0.1,-2.128,-1.142,-0.998,-1.217,-0.412,-0.43,-0.666,-0.452,42.808,-0.076,-0.606,3.286,,0.001,
pre-tax-income,138.697,-53.614,-48.323,-47.356,-50.574,-38.284,-28.214,0.56,-24.0,-21.972,-21.196,17.498,-14.686,-17.164,-8.366,,-6.201,
total-provision-income-taxes,0.274,0.085,0.085,0.234,0.137,0.096,0.086,0.42,0.707,0.343,0.279,0.4,0.008,,0.076,,0.153,
income-after-taxes,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,
net-income,138.423,-53.699,-48.408,-47.59,-50.711,-38.38,-28.3,0.14,-24.707,-22.315,-21.475,17.099,-14.68,-17.157,-8.439,,-6.353,
ebitda,140.446,-53.785,-47.611,-44.283,-48.549,-36.421,-26.171,1.778,-22.778,-20.6,-20.024,-24.898,-14.374,-16.387,-11.546,,-6.202,
ebit,139.163,-54.983,-48.423,-45.228,-49.432,-37.286,-26.997,0.972,-23.57,-21.306,-20.744,-25.31,-14.61,-16.558,-11.652,,-6.202,
basic-shares-outstanding,54.829,53.188,52.093,47.964,47.392,46.842,45.877,40.057,40.089,39.8959,39.726,12.2575,5.2923,5.4489,5.528,,5.528,
shares-outstanding,57.599,53.188,52.093,47.964,47.392,46.842,45.877,40.057,40.089,39.8959,39.726,12.2575,5.2923,5.4489,5.528,,5.528,
eps-basic-net-earnings-per-share,2.52,-1.01,-0.93,-0.93,-1.07,-0.82,-0.62,0.01,-0.62,-0.56,-0.54,5.56,-2.77,-3.15,-1.53,,-1.15,
eps-earnings-per-share-diluted,2.4,-1.01,-0.93,-0.93,-1.07,-0.82,-0.62,0.01,-0.62,-0.56,-0.54,5.56,-2.77,-3.15,-1.53,0.0,-1.15,0.0
