,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31
revenue,64.948,57.123,,43.552,,
cost-goods-sold,19.446,,,17.3,,
gross-profit,45.502,57.123,,26.252,,
research-development-expenses,3.864,,,2.048,,
selling-general-administrative-expenses,48.957,,,37.735,,
other-operating-income-expenses,,,,-3.494,,
operating-expenses,72.267,,,60.577,,
operating-income,-7.319,57.123,,-17.025,,
total-non-operating-income-expense,-2.307,,,-2.958,,
pre-tax-income,-9.626,57.123,,-19.983,,
total-provision-income-taxes,0.023,,,0.027,,
income-after-taxes,,,,,,
income-from-continuous-operations,,0.0,,,,
net-income,-9.649,-15.666,,-20.01,,
ebitda,-7.319,57.123,,-17.025,,
ebit,-7.319,57.123,,-17.025,,
basic-shares-outstanding,90.647,90.604,,66.362,,
shares-outstanding,90.647,90.604,,66.362,,
eps-basic-net-earnings-per-share,-0.11,-0.17,,-0.3,,
eps-earnings-per-share-diluted,-0.11,-0.17,0.0,-0.3,0.0,0.0
