,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31
revenue,301.2,295.0,275.9,262.9,250.4,207.9,147.3,140.3,123.2,99.4,86.9,106.2,125.5,8.7,352.2,68.302,15.842,22.085,10.971,47.456,90.745,58.975,12.964,83.861,18.342,374.408,28.157,-641.309,223.134,236.687,253.742,260.082,218.893,183.587,163.714,170.029,158.424,151.905,125.937,137.531,134.512,125.682,
cost-goods-sold,241.9,246.1,237.2,222.7,219.3,189.9,138.7,127.2,111.8,96.4,80.9,62.1,47.4,45.1,45.1,38.716,45.326,42.762,42.196,43.893,45.37,47.949,44.932,41.749,47.544,49.926,47.533,-388.712,176.971,191.374,209.033,194.48,169.898,136.53,129.541,131.702,126.272,118.014,102.289,109.159,105.885,102.964,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,28.3,25.8,22.5,28.8,29.6,22.5,17.0,14.7,15.1,12.2,14.3,15.7,16.2,24.6,17.6,15.274,21.395,20.969,17.362,16.274,16.785,19.458,17.366,16.657,22.562,18.675,22.057,11.996,17.835,20.631,17.288,19.903,15.482,12.618,14.24,11.883,11.911,10.309,7.567,,8.071,6.492,
other-operating-income-expenses,-7.4,-10.7,-8.8,-7.5,-7.3,-13.2,-2.4,-2.1,-1.4,-1.0,-0.2,-0.8,-0.5,-8.7,-10.8,-3.45,-3.964,-0.611,-1.275,-18.859,-13.846,-18.76,-35.301,-15.497,-9.182,-8.253,-1.031,69.272,-21.919,-25.99,-25.077,-23.502,-21.285,-21.21,-19.532,-17.212,-15.76,-16.148,-14.909,-13.709,-13.572,-13.307,
operating-expenses,277.6,282.6,268.5,259.0001,256.2,225.6,158.1,144.0,128.3,109.6,95.4,78.6,64.1,78.4,73.5,57.44,70.685,64.342,60.833,79.026,76.001,86.167,97.599,73.903,79.288,76.854,70.621,-445.988,216.725,237.995,251.398,237.885,206.665,170.358,163.313,160.797,153.943,144.471,124.765,,127.528,122.763,
operating-income,23.6,12.4,7.4,3.8999,-5.8,-17.7,-10.8,-3.7,-5.1,-10.2,-8.5,27.6,61.4,-69.7,278.7,10.862,-54.843,-42.257,-49.862,-31.57,14.744,-27.192,-84.635,9.958,-60.946,297.554,-42.464,-195.321,6.409,-1.308,2.344,22.197,12.228,13.229,0.401,9.232,4.481,7.434,1.172,137.531,6.984,2.919,
total-non-operating-income-expense,-5.0,-28.7,-10.2,-10.7,-10.0,-5.8,0.2,0.1,,,0.1,0.1,0.1,,0.1,0.053,0.073,0.069,0.005,0.05,0.1,0.052,0.1,0.165,0.047,0.057,0.061,0.141,-0.001,,0.001,0.002,0.005,0.006,0.009,0.005,0.014,0.002,0.008,,-0.095,0.039,
pre-tax-income,18.6,-16.3,-2.8,-6.8,-15.8,-23.5,-10.6,-3.6,-5.1,-10.2,-8.4,27.6,61.5,-69.7,278.8,11.015,-54.77,-42.188,-49.857,-31.52,14.844,-27.14,-84.535,10.123,-60.899,297.611,-42.403,-195.18,6.408,-1.308,2.345,22.199,12.233,13.235,0.41,9.237,4.495,7.436,1.18,7.892,6.889,2.958,
total-provision-income-taxes,9.4,-11.1,-3.0,-1.1,-2.4,-20.6,12.7,36.6,-1.5,-3.5,-0.1,14.5,24.1,-28.9,111.4,5.512,-21.8,-15.9,-19.412,-13.869,5.291,-10.341,-29.812,3.737,-23.328,109.878,-15.938,-71.77,3.653,-0.73,0.852,9.018,4.963,4.682,0.25,3.709,1.637,3.517,0.866,2.786,2.619,-2.893,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,2.0,-5.2,0.2,-0.9,-18.2,-2.9,-23.3,-40.2,-3.6,-6.7,-8.3,13.1,37.4,-40.8,167.4,5.403,-32.97,-26.288,-30.445,-17.651,9.553,-16.799,-54.723,6.386,-37.571,187.733,-26.465,-123.41,2.755,-0.578,1.493,13.181,7.27,8.553,0.16,5.528,2.858,3.919,0.314,2.318,-3.774,5.851,
ebitda,37.9,25.9,20.9,15.6999,8.9,-8.8,-5.9,1.1,-0.6,-6.4,-5.3,30.5,64.1,-67.4,281.0,12.806,-52.105,-40.156,-48.145,-29.802,16.147,-25.721,-83.23,11.55,-59.237,299.325,-40.713,-197.3631,9.728,1.314,4.8,20.783,14.39,15.346,2.398,10.99,6.318,8.743,2.425,138.612,7.941,2.919,
ebit,23.6,12.4,7.4,3.9,-5.8,-17.7,-10.8,-3.7,-5.1,-10.2,-8.5,27.6,61.4,-69.7,278.7,10.862,-54.843,-42.257,-49.862,-31.57,14.744,-27.192,-84.635,9.958,-60.946,297.554,-42.464,-195.321,6.409,-1.308,2.344,22.197,12.228,13.229,0.401,9.232,4.481,7.434,1.172,,6.984,2.919,
basic-shares-outstanding,112.23,110.956,109.803,108.175,109.09,108.158,105.832,102.062,102.225,102.467,101.364,100.16,100.935,99.414,98.29,96.807,97.23,95.941,95.889,95.761,95.776,95.753,95.723,95.688,95.69,95.679,95.676,98.602,99.397,99.354,98.924,98.222,97.793,96.569,95.162,91.759,91.062,61.661,36.944,36.866,36.822,36.685,
shares-outstanding,165.622,110.956,109.803,108.175,109.09,108.158,105.832,102.062,102.225,102.467,101.364,100.16,102.176,99.414,99.233,96.807,97.23,95.941,95.889,95.761,97.25,95.753,95.723,96.846,95.69,97.029,95.676,98.602,100.845,99.354,102.582,101.752,101.869,101.065,99.179,97.681,97.464,92.734,44.372,44.21,36.822,44.141,
eps-basic-net-earnings-per-share,0.02,-0.09,-0.04,-0.1,-0.17,-0.07,-0.26,-0.44,-0.08,-0.11,-0.12,0.07,0.18,-0.45,0.85,0.06,-0.34,-0.27,-0.32,-0.18,0.1,-0.18,-0.57,0.07,-0.39,1.96,-0.28,-1.25,0.03,-0.01,0.02,0.13,0.07,0.09,0.0,0.06,0.03,0.06,0.0,0.06,-0.11,0.07,
