,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,,,,,,,,,,,,
gross-profit,1.75,1.75,1.75,1.562,4.291,1.25,1.25,1.253,0.163,,,
research-development-expenses,17.241,24.999,15.554,11.436,12.859,13.699,11.652,12.158,21.435,7.834,5.804,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,24.999,30.91,20.523,15.046,16.436,17.149,14.581,14.614,23.297,9.664,7.3,
operating-income,-23.249,-29.16,-18.773,-13.484,-12.145,-15.899,-13.331,-13.361,-23.134,-9.664,-7.3,
total-non-operating-income-expense,0.897,1.07,1.103,1.189,1.333,2.366,0.377,0.139,0.012,0.114,0.1,
pre-tax-income,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-22.352,-28.09,-17.67,-12.295,-10.812,-13.533,-12.954,-13.212,-23.122,-9.55,-7.2,
ebitda,-22.996,-29.11,-18.567,-13.272,-12.188,-14.984,-12.503,-12.677,-22.32,-9.036,-6.814,
ebit,-23.249,-29.16,-18.773,-13.484,-12.145,-15.899,-13.331,-13.361,-23.134,-9.664,-7.3,
basic-shares-outstanding,43.939,43.798,43.5086,34.618,42.838,42.534,9.4884,1.828,1.949,1.693,1.452,
shares-outstanding,43.939,43.798,43.5086,34.618,42.838,42.534,9.4884,1.828,1.949,1.693,1.452,
eps-basic-net-earnings-per-share,-0.51,-0.64,-0.41,0.51,-0.25,-0.32,-1.37,-6.57,-11.86,-5.64,-4.96,
eps-earnings-per-share-diluted,-0.51,-0.64,-0.41,0.51,-0.25,-0.32,-1.37,-6.57,-11.86,-5.64,-4.96,0.0
