,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
revenue,21.915,24.621,16.425,19.526,18.16,21.578,19.362,24.935,23.545,20.073,24.915,25.722,25.118,20.747,19.127,36.281,13.917,24.939,17.645,16.904,20.623,11.425,11.642,9.134,7.421,6.048,5.578,5.878,2.776,7.291,10.038,12.444,10.519,10.63,0.27,0.28,0.22,0.629,0.545,,,
cost-goods-sold,15.001,15.008,11.308,13.78,14.968,12.716,12.066,15.441,15.318,12.072,15.978,14.348,12.48,10.103,9.623,9.815,7.366,10.433,11.718,12.466,7.461,8.299,8.966,5.945,6.18,4.989,4.648,5.251,2.586,7.016,10.19,10.907,7.191,2.731,,,,,,,,
gross-profit,6.914,9.613,5.117,5.746,3.192,8.862,7.296,9.494,8.227,8.001,8.937,11.374,12.638,10.644,9.504,26.466,6.551,14.506,5.927,4.438,13.162,3.126,2.676,3.189,1.241,1.059,0.93,0.627,0.19,0.275,-0.152,1.537,3.328,7.899,0.27,0.28,0.22,0.629,0.545,,,
research-development-expenses,14.962,14.91,15.485,16.263,14.356,15.664,16.311,15.626,15.844,16.883,16.971,16.255,17.479,17.522,16.361,14.752,16.162,15.043,14.483,12.331,11.693,12.435,11.771,11.133,10.419,11.682,11.983,11.652,12.626,11.272,12.073,12.415,20.001,19.546,24.118,26.542,32.873,27.082,25.324,,21.121,
selling-general-administrative-expenses,20.066,19.083,19.766,20.106,13.506,14.943,14.934,14.397,13.952,15.505,15.265,12.993,11.894,11.192,11.708,12.776,10.818,10.821,10.772,10.001,9.882,8.993,9.15,9.06,10.757,9.374,9.554,10.669,10.143,11.558,15.285,11.811,12.764,11.016,11.119,10.327,8.043,6.222,5.495,,3.447,
other-operating-income-expenses,,,,,,,,,,,,,,,,,23.043,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,50.029,49.001,46.559,50.149,42.83,43.323,43.311,45.464,45.114,44.46,48.214,43.596,41.853,38.817,37.692,37.343,11.303,36.297,36.973,34.798,29.036,29.727,29.887,26.138,27.356,26.045,26.185,27.572,25.355,29.846,37.548,35.133,39.956,33.293,35.237,36.869,40.916,33.304,30.819,,24.568,
operating-income,-28.114,-24.38,-30.134,-30.623,-24.67,-21.745,-23.949,-20.529,-21.569,-24.387,-23.299,-17.874,-16.735,-18.07,-18.565,-1.062,2.614,-11.358,-19.328,-17.894,-8.413,-18.302,-18.245,-17.004,-19.935,-19.997,-20.607,-21.694,-22.579,-22.555,-27.51,-22.689,-29.437,-22.663,-34.967,-36.589,-40.696,-32.675,-30.274,,-24.568,
total-non-operating-income-expense,-1.009,-0.216,-0.19,-0.176,-0.374,-0.795,-0.23,-0.233,-0.452,-1.152,-0.568,-1.156,-0.759,-0.429,-0.787,-0.347,-0.793,-0.577,-0.845,-1.081,-0.75,-0.834,-0.641,-0.227,-0.552,-0.474,-0.497,0.025,-0.15,0.068,-0.07,-0.134,0.156,0.188,0.158,0.17,-0.012,-0.039,-0.051,,0.039,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
