,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,20.862,18.032,16.25,16.559,13.054,10.938,10.042,9.957,7.271,6.042,5.297,
cost-goods-sold,3.456,3.094,2.854,3.193,2.467,2.102,2.294,1.881,1.565,1.376,1.196,
gross-profit,17.406,14.938,13.396,13.366,10.587,8.836,7.748,8.076,5.706,4.666,4.101,
research-development-expenses,3.623,2.846,2.603,2.152,1.771,1.735,1.73,1.682,1.176,1.743,1.593,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,29.513,26.208,25.027,21.456,17.703,16.575,15.237,13.803,10.92,10.426,9.421,
operating-income,-8.651,-8.176,-8.777,-4.897,-4.649,-5.637,-5.195,-3.846,-3.649,-4.384,-4.124,
total-non-operating-income-expense,0.404,0.526,0.511,0.119,-0.044,-0.219,-1.306,-0.407,-0.374,-0.372,-0.355,
pre-tax-income,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-8.247,-7.65,-8.266,-4.778,-4.693,-5.856,-6.501,-4.251,-4.023,-4.756,-4.481,
ebitda,-8.702,-8.319,-8.873,-5.328,-4.432,-5.413,-4.892,-3.651,-3.489,-4.243,-4.02,
ebit,-8.651,-8.176,-8.777,-4.897,-4.649,-5.637,-5.195,-3.846,-3.649,-4.384,-4.124,
basic-shares-outstanding,23.94,23.754,23.442,14.58,21.362,13.544,1.287,1.177,1.1767,1.1501,1.1486,
shares-outstanding,23.94,23.754,23.442,14.58,21.362,13.544,1.287,1.177,1.1767,1.1501,1.1486,
eps-basic-net-earnings-per-share,-0.34,-0.32,-0.35,4.2,-0.22,-0.43,-5.05,-3.42,-3.42,-4.14,-3.9,
eps-earnings-per-share-diluted,-0.34,-0.32,-0.35,4.2,-0.22,-0.43,-5.05,-3.42,-3.42,-4.14,-3.9,0.0
