,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
revenue,1.046,2.474,1.136,1.608,3.148,3.05,3.478,2.584,2.26,4.942,3.321,9.131,7.221,4.451,4.295,4.086,3.505,1.786,1.201,1.614,1.246,1.368,1.594,,,
cost-goods-sold,,,,,,,,,,,,,,,,,0.4762,,,,,,,,,
gross-profit,1.046,2.474,1.136,1.608,3.148,3.05,3.478,2.584,2.26,4.942,3.321,9.131,7.221,4.451,4.295,4.086,3.0288,1.786,1.201,1.614,1.246,1.368,1.594,,,
research-development-expenses,23.554,24.154,20.537,18.717,20.541,18.493,17.058,18.209,20.103,16.866,16.994,19.979,16.604,19.221,16.706,22.7072,13.2779,11.74,11.4,12.96,12.62,10.98,8.52,,0.0,
selling-general-administrative-expenses,8.929,7.87,8.067,7.21,5.898,5.896,6.301,7.283,5.584,5.41,6.358,5.754,5.113,7.834,7.298,2.5331,5.3799,10.78,4.69,5.19,4.27,3.49,3.1,,,
other-operating-income-expenses,0.111,0.219,-0.036,0.113,0.067,0.136,0.282,0.263,14.152,-2.374,0.316,0.209,0.336,0.475,0.445,,-14.4718,,,,,,,,,
operating-expenses,32.372,31.805,28.64,25.814,26.372,24.253,23.077,25.229,11.535,24.65,23.036,25.524,21.381,26.58,23.559,9.5132,33.6058,22.52,16.09,18.15,16.89,14.47,11.62,,,
operating-income,-31.326,-29.331,-27.504,-24.206,-23.224,-21.203,-19.599,-22.645,-9.275,-19.708,-19.715,-16.393,-14.16,-22.129,-19.264,-5.4272,-30.1008,-20.734,-14.889,-16.536,-15.644,-13.102,-10.026,,,
total-non-operating-income-expense,7.722,-2.068,-0.268,2.312,1.157,0.972,0.718,-4.75,-1.248,-1.561,-0.557,2.414,-0.935,0.716,-2.478,-13.8518,1.3108,-0.16,0.59,-0.19,3.55,0.71,-0.7,,,
pre-tax-income,-23.604,-31.399,-27.772,-21.894,-22.067,-20.231,-18.881,-27.395,-10.523,-21.269,-20.272,-13.979,-15.095,-21.413,-21.742,-19.322,-28.79,-20.89,-14.26,-15.23,-12.02,-12.33,-10.73,,0.0,
total-provision-income-taxes,,,,-0.006,-0.032,0.361,-0.092,0.079,-0.278,,,0.744,0.177,-0.333,0.557,,-0.0334,0.0,0.0,-0.53,0.0,0.0,0.0,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
net-income,-23.604,-31.399,-27.772,-21.888,-22.035,-20.592,-18.789,-27.474,-10.245,-21.269,-20.272,-14.723,-15.272,-21.08,-22.299,-18.7234,-28.7566,-20.889,-13.714,-0.01,-11.275,-11.804,-10.669,,,
ebitda,-29.611,-27.683,-25.935,-22.238,-15.988,-19.542,-18.049,-21.138,-7.496,-17.245,-17.921,-14.847,-12.606,-20.62,-17.784,-2.6038,-28.6702,-19.674,-13.879,-15.636,-14.924,-12.692,-10.016,,,
ebit,-31.326,-29.331,-27.504,-24.206,-23.224,-21.203,-19.599,-22.645,-9.275,-19.708,-19.715,-16.393,-14.16,-22.129,-19.264,-5.4272,-30.1008,-20.734,-14.889,-16.536,-15.644,-13.102,-10.026,,,
basic-shares-outstanding,40.739,37.825,37.676,35.64,37.247,36.205,31.71,26.984,25.6326,25.5604,25.4436,25.0365,25.143,25.077,24.6966,22.0823,21.334,21.709,18.316,18.002,17.763,17.619,15.056,,,
shares-outstanding,40.739,37.825,37.676,35.64,37.247,36.205,31.71,26.984,25.6326,25.5604,25.4436,25.0365,25.143,25.077,24.6966,22.0823,21.334,21.709,18.316,18.002,17.763,17.619,15.056,,,
eps-basic-net-earnings-per-share,-0.58,-0.83,-0.74,-0.59,-0.59,-0.57,-0.59,-0.91,-0.4,-0.83,-0.8,-0.58,-0.61,-0.84,-0.9,-0.8083,-1.2017,-0.96,-0.75,,-0.63,-0.67,-0.71,,,
eps-earnings-per-share-diluted,-0.58,-0.83,-0.74,-0.59,-0.59,-0.57,-0.59,-0.91,-0.4,-0.83,-0.8,-0.58,-0.61,-0.84,-0.9,-0.8083,-1.2017,-0.96,-0.75,0.0,-0.63,-0.67,-0.71,0.0,0.0,0.0
