,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,22.447,13.503,20.771,13.157,10.707,25.185,15.676,7.409,1.9,1.483,1.274,16.303,1.3028,1.2886,1.2886,17.1978,1.3028,1.2886,2.2745,0.614,,,0.02,
cost-goods-sold,5.043,1.297,3.495,2.096,0.318,4.511,0.99,,,,,,,,,,,,,,,,,
gross-profit,17.404,12.206,17.276,11.061,10.389,20.674,14.686,7.409,1.9,1.483,1.274,16.303,1.3028,1.2886,1.2886,17.1978,1.3028,1.2886,2.2745,0.614,,,0.02,
research-development-expenses,44.655,42.244,35.831,36.792,32.829,25.524,30.109,30.095,39.341,32.989,32.735,26.1225,22.3841,19.6215,18.2519,16.5548,11.7965,9.344,8.3341,6.95,4.6521,2.1296,3.3877,
selling-general-administrative-expenses,41.407,36.407,38.291,32.352,29.305,29.749,33.489,36.341,26.641,26.729,21.413,16.4694,12.05,10.6768,8.8739,6.8725,6.4617,6.3331,3.6849,2.72,2.1069,2.0389,1.0161,
other-operating-income-expenses,,,,,,,,,,-15.696,,,,,,,,,,,,,,
operating-expenses,91.105,79.948,77.617,71.54,62.452,59.784,64.588,70.22,67.732,78.484,54.148,53.7239,34.4341,30.2983,27.1258,23.4273,18.2581,15.6771,12.019,9.67,6.7589,4.1685,4.4039,
operating-income,-68.658,-66.445,-56.846,-58.383,-51.745,-34.599,-48.912,-62.811,-65.832,-77.001,-52.874,-37.4209,-33.1313,-29.0097,-25.8371,-6.2295,-16.9553,-14.3885,-9.7445,-9.056,-6.7589,-4.1685,-4.3839,
total-non-operating-income-expense,2.082,2.248,2.491,-6.795,4.386,114.776,2.549,1.844,1.112,0.532,0.585,0.5832,0.5689,0.3335,0.2604,0.0746,0.0548,0.0516,0.011,0.0035,0.002,0.0001,,
pre-tax-income,-66.576,-64.197,-54.355,-65.178,-47.359,80.177,-46.363,-60.967,-64.72,-76.469,-52.289,-36.8378,-32.5624,-28.6761,-25.5767,-6.1549,-16.9006,-14.3368,-9.7335,-9.03,-6.7569,-4.1684,-4.3839,
total-provision-income-taxes,0.026,0.033,0.003,0.079,-0.002,0.012,0.01,0.854,0.292,-2.109,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-66.602,-64.23,-54.358,-65.257,-47.357,80.165,-46.373,-61.821,-65.012,-74.36,-52.289,-36.8378,-32.5624,-28.6761,-25.5767,-6.1549,-16.9006,-14.3368,-10.3683,-9.016,-6.7569,-4.1684,-4.3839,
ebitda,-66.137,-63.858,-54.414,-56.285,-50.05,-32.981,-47.405,-61.45,-64.559,-75.806,-51.843,-36.4004,-32.1737,-28.0979,-25.0931,-5.7421,-16.507,-13.9619,-9.374,-8.9118,-6.748,-4.1685,-4.3839,
ebit,-68.658,-66.445,-56.846,-58.383,-51.745,-34.599,-48.912,-62.811,-65.832,-77.001,-52.874,-37.4209,-33.1313,-29.0097,-25.8371,-6.2295,-16.9553,-14.3885,-9.7445,-9.056,-6.7589,-4.1685,-4.3839,
basic-shares-outstanding,38.748,38.687,37.907,37.367,37.499,37.254,37.046,33.242,34.258,30.968,30.772,28.804,30.368,27.457,26.807,22.71,24.138,24.08,17.9253,5.181,5.531,5.246,5.101,
shares-outstanding,38.748,38.687,37.907,37.367,37.499,38.703,37.046,33.242,34.258,30.968,30.772,28.804,30.368,27.457,26.807,22.71,24.138,24.08,17.9253,5.181,5.531,5.246,5.101,
eps-basic-net-earnings-per-share,-1.72,-1.66,-1.43,-1.75,-1.26,2.15,-1.25,-1.63,-1.9,-2.4,-1.7,-1.23,-1.07,-1.04,-0.95,-0.22,-0.7,-0.6,-0.58,-1.74,-1.22,-0.79,-0.86,
eps-earnings-per-share-diluted,-1.72,-1.66,-1.43,-1.67,-1.26,2.07,-1.25,-1.63,-1.9,-2.4,-1.7,-1.23,-1.07,-1.04,-0.95,-0.22,-0.7,-0.6,-0.58,-1.74,-1.22,-0.79,-0.86,0.0
