,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
revenue,111.684,83.433,37.098,,,,,0.0,,1.395,0.161,0.844,162.835,14.068,12.359,10.198,7.167,6.866,5.81,6.493,16.052,4.965,3.596,,0.506,
cost-goods-sold,6.447,0.601,2.225,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,105.237,82.832,34.873,,,,,0.0,,1.395,0.161,0.844,162.835,14.068,12.359,10.198,7.167,6.866,5.81,6.493,16.052,4.965,3.596,,0.506,
research-development-expenses,21.568,18.883,18.789,26.662,31.603,26.519,25.455,31.488,42.626,34.5,53.775,59.01,64.573,65.544,65.313,51.433,68.218,56.944,36.467,26.867,18.496,18.925,13.936,,4.934,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,59.843,55.94,53.697,60.502,56.972,44.91,42.032,46.466,56.615,58.033,72.578,74.304,78.218,76.804,76.711,62.405,78.384,65.761,42.558,33.053,22.475,22.903,17.357,,7.289,
operating-income,51.841,27.493,-16.599,-60.502,-56.972,-44.91,-42.032,-46.466,-56.615,-56.638,-72.417,-73.46,84.617,-62.736,-64.352,-52.207,-71.217,-58.895,-36.748,-26.56,-6.423,-17.938,-13.761,,-6.783,
total-non-operating-income-expense,-3.951,-3.875,-3.405,-2.094,-1.854,1.225,-2.27,-2.603,-2.378,1.236,-2.405,-2.484,-0.773,-7.414,-1.186,-0.373,-0.268,-0.139,-4.091,-2.463,-1.491,-7.132,-11.409,,-14.69,
pre-tax-income,47.89,23.618,-20.004,-62.596,-58.826,-43.685,-44.302,-49.069,-58.993,-55.402,-74.822,-75.944,83.844,-70.15,-65.538,-52.58,-71.485,-59.034,-40.839,-29.023,-7.914,-25.07,-25.17,,-21.473,
total-provision-income-taxes,0.847,0.051,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,47.043,23.567,-20.004,-62.596,-58.808,-43.638,-44.297,-49.067,-58.989,-55.336,-74.778,-75.921,83.939,-69.967,-65.388,-52.391,-71.334,-58.81,-40.725,-29.134,-7.872,-24.957,-25.17,,-21.473,
ebitda,52.807,28.04,-15.908,-59.889,-56.06,-44.122,-41.11,-45.54,-55.845,-55.782,-71.571,-72.663,85.37,-62.007,-63.635,-51.606,-70.581,-58.495,-36.516,-26.325,-6.231,-17.807,-13.645,,-6.783,
ebit,51.841,27.493,-16.599,-60.502,-56.972,-44.91,-42.032,-46.466,-56.615,-56.638,-72.417,-73.46,84.617,-62.736,-64.352,-52.207,-71.217,-58.895,-36.748,-26.56,-6.423,-17.938,-13.761,,-6.783,
basic-shares-outstanding,69.878,69.479,69.141,65.0348,67.849,63.961,60.122,53.1336,54.0709,51.292,48.712,41.9123,43.47,40.698,39.096,37.122,38.427,37.673,33.377,19.842,4.41,4.187,4.177,,3.444,
shares-outstanding,78.53,72.964,69.141,65.0348,67.849,63.961,60.122,53.1336,54.0709,51.292,48.712,41.9123,51.581,40.698,39.096,37.122,38.427,37.673,33.377,19.842,4.41,4.187,4.177,,3.444,
eps-basic-net-earnings-per-share,0.67,0.34,-0.29,-0.93,-0.87,-0.68,-0.74,-0.77,-1.09,-1.08,-1.54,-1.58,1.93,-1.72,-1.67,-1.37,-1.86,-1.56,-1.22,-1.47,-1.79,-5.96,-6.03,,-6.23,
eps-earnings-per-share-diluted,0.63,0.32,-0.29,-0.93,-0.87,-0.68,-0.74,-0.77,-1.09,-1.08,-1.54,-1.32,1.67,-1.72,-1.67,-1.37,-1.86,-1.56,-1.22,-1.47,-1.79,-5.96,-6.03,0.0,-6.23,0.0
