,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
revenue,1.309,1.488,1.077,0.494,0.201,0.012,,,0.128,
cost-goods-sold,0.632,0.772,0.548,0.245,0.106,0.005,,,0.118,
gross-profit,0.677,0.716,0.529,0.249,0.095,0.007,,,0.01,
research-development-expenses,4.855,4.874,4.219,4.783,3.898,6.178,4.543,,3.132,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,26.356,20.758,14.696,9.945,7.743,8.63,6.526,,4.721,
operating-income,-25.047,-19.27,-13.619,-9.451,-7.542,-8.618,-6.526,,-4.593,
total-non-operating-income-expense,0.041,0.21,0.502,-0.214,-0.024,-0.029,-0.078,,0.071,
pre-tax-income,-25.006,-19.06,-13.117,-9.665,-7.566,-8.647,-6.604,,-4.522,
total-provision-income-taxes,,0.001,,,,0.001,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-25.006,-19.061,-13.117,-9.665,-7.566,-8.648,-6.604,,-4.522,
ebitda,-24.512,-18.707,-13.178,-8.976,-7.279,-8.332,-6.266,,-4.593,
ebit,-25.047,-19.27,-13.619,-9.451,-7.542,-8.618,-6.526,,-4.593,
basic-shares-outstanding,28.0986,27.9454,27.8282,6.9978,2.8306,2.8193,2.8026,,2.7051,
shares-outstanding,28.0986,27.9454,27.8282,6.9978,2.8306,2.8193,2.8026,,2.7051,
eps-basic-net-earnings-per-share,-0.89,-0.68,-0.47,3.46,-2.67,-3.07,-2.36,,-1.67,
eps-earnings-per-share-diluted,-0.89,-0.68,-0.47,3.46,-2.67,-3.07,-2.36,0.0,-1.67,0.0
