,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-09-30
revenue,202.4,196.7,195.8,185.7,204.8,191.2,201.2,176.2,215.8,170.1,154.8,157.4,172.1,151.4,149.8,146.8,,
cost-goods-sold,131.3,136.0,131.4,125.7,145.5,128.2,131.1,114.7,138.2,110.6,97.2,98.6,102.9,88.4,90.7,89.7,,
gross-profit,71.1,60.7,64.4,60.0,59.3,63.0,70.1,61.5,77.6,59.5,57.6,58.8,69.1999,63.0,59.1,57.1,,
research-development-expenses,19.2,20.9,18.8,18.8,20.8,20.5,22.0,19.7,21.9,17.7,14.4,13.3,13.9,14.0,13.1,12.5,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,
operating-expenses,185.4,192.1,181.3,175.3,198.4,183.9,184.0,162.6,189.7,154.6,131.3,138.8,139.2,123.0,124.6,124.2,,
operating-income,17.0,4.6,14.5,10.4,6.4,7.3,17.2,13.6,26.1,15.5,23.5,18.6,32.8999,28.4,25.2,22.6,,
total-non-operating-income-expense,-5.7,-5.2,-6.7,-6.3,-6.1,-4.7,-1.5,-6.5,-7.8,0.3,-1.1,-0.3,-1.1,-1.3,-0.3,-1.4,,
pre-tax-income,11.3,-0.6,7.8,4.1,0.3,2.6,15.7,7.1,18.3,15.8,22.4,18.3,31.8,27.1,24.9,21.2,,
total-provision-income-taxes,2.0,0.7,1.9,1.1,-0.4,-1.3,3.4,-4.3,3.2,5.1,7.4,7.1,9.6,9.3,10.1,7.0,,
income-after-taxes,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,
net-income,9.2,-1.4,5.8,3.0,0.2,3.8,12.2,11.3,14.9,10.6,15.0,11.1,22.1,17.6,14.7,14.1,,
ebitda,,17.9,23.8,24.5,20.7,20.4,27.6,23.3,37.9,21.8,30.2,23.0,36.7999,32.5,28.5,26.6,,
ebit,17.0,4.6,14.5,10.4,6.4,7.3,17.2,13.6,26.1,15.5,23.5,18.6,32.9,28.4,25.2,22.6,,
basic-shares-outstanding,38.4,38.3,38.2,38.1,37.9,37.9,37.8,37.7,37.6,37.6,37.5,37.4,37.4,37.4,37.4,,,
shares-outstanding,38.9,38.3,38.5,38.3,38.4,38.4,38.4,38.2,38.0,38.0,37.8,37.7,37.7,37.7,37.7,,,
eps-basic-net-earnings-per-share,0.24,-0.04,0.15,0.08,0.01,0.1,0.32,0.3,0.39,0.28,0.4,0.3,0.97,0.47,0.39,,,
eps-earnings-per-share-diluted,0.24,-0.04,0.15,0.08,0.0,0.1,0.32,0.3,0.39,0.28,0.4,0.29,0.96,0.47,0.39,0.0,0.0,0.0
