,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
revenue,64.49,68.234,63.311,60.206,56.266,59.152,55.587,52.628,49.676,52.919,52.144,50.043,49.8,48.46,44.461,41.392,43.871,48.454,47.004,44.732,41.354,39.564,34.945,32.337,29.766,28.821,26.474,25.309,23.293,22.907,21.205,19.718,18.66,21.707,20.152,18.756,18.165,18.015,16.519,15.097,15.198,15.696,15.115,,11.646,,7.654,,,55.647,2.925,,3.679,4.045,2.877,,0.174,
cost-goods-sold,12.672,13.462,12.166,11.477,10.575,10.814,9.969,9.499,9.202,9.673,11.139,9.163,9.466,9.854,8.725,8.071,8.771,10.873,10.416,9.346,8.885,9.115,7.749,7.313,6.864,6.929,6.241,5.958,5.254,5.178,5.132,4.56,4.346,4.215,3.949,3.972,4.141,4.153,3.847,3.515,3.488,4.24,3.92,,3.881,,2.512,,,,,,,,,,,
gross-profit,51.818,54.772,51.145,48.729,45.691,48.338,45.618,43.129,40.474,43.246,41.005,40.88,40.334,38.606,35.736,33.321,35.1,37.581,36.588,35.386,32.469,30.449,27.196,25.024,22.902,21.892,20.233,19.351,18.039,17.729,16.073,15.158,14.314,17.492,16.203,14.784,14.024,13.862,12.672,11.582,11.71,11.456,11.195,,7.765,,5.142,,,55.647,2.925,,3.679,4.045,2.877,,0.174,
research-development-expenses,10.765,9.578,9.282,7.238,7.364,6.719,7.333,6.396,6.308,6.339,5.432,5.805,5.335,6.039,5.748,7.206,6.941,7.963,7.777,8.085,7.152,6.276,5.361,5.051,4.378,3.946,3.993,4.055,3.222,3.241,2.985,3.084,2.064,2.624,1.78,2.114,2.422,2.857,2.459,2.181,2.781,2.826,3.428,,4.955,14.444,4.338,,10.651,8.364,9.446,,7.177,9.141,8.97,,7.107,6.063
selling-general-administrative-expenses,46.752,43.995,41.356,41.107,41.242,37.847,37.796,37.008,35.918,35.905,37.332,33.993,36.866,37.551,42.338,41.258,41.395,38.171,39.453,32.553,33.507,33.727,31.428,27.468,25.371,24.627,21.65,20.418,20.023,18.474,16.809,15.733,15.35,15.774,16.415,14.687,15.496,15.297,16.382,15.912,14.856,14.196,14.253,,16.424,,10.095,,2.988,,3.536,,3.864,2.859,1.953,,1.156,
other-operating-income-expenses,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,70.423,66.982,62.804,59.822,59.234,55.38,55.098,52.903,51.428,51.917,53.903,48.961,51.667,53.432,67.187,56.535,57.107,57.007,57.646,49.984,49.544,49.118,44.538,39.832,36.613,35.502,31.884,30.431,28.499,26.893,24.926,23.377,21.76,22.613,22.144,20.773,22.059,22.307,22.688,21.608,21.125,21.262,21.601,,25.26,,16.945,,13.639,,12.982,,11.041,12.0,10.923,,8.263,
operating-income,-5.933,1.252,0.507,0.384,-2.968,3.772,0.489,-0.275,-1.752,1.002,-1.759,1.082,-1.867,-4.972,-22.726,-15.143,-13.236,-8.553,-10.642,-5.252,-8.19,-9.554,-9.593,-7.495,-6.847,-6.681,-5.41,-5.122,-5.206,-3.986,-3.721,-3.659,-3.1,-0.906,-1.992,-2.017,-3.894,-4.292,-6.169,-6.511,-5.927,-5.566,-6.486,,-13.614,-19.11,-9.291,,-13.639,55.647,-10.057,,-7.362,-7.955,-8.046,,-8.089,-7.286
total-non-operating-income-expense,0.191,0.255,0.251,0.141,0.113,-0.002,-0.091,-0.105,-0.192,-0.21,0.028,-0.015,0.033,0.123,0.021,0.003,-0.002,-0.002,-0.014,-0.021,-0.034,-0.074,-0.119,-1.163,-0.445,-0.16,-0.809,-0.645,-0.004,-0.619,-0.47,-0.476,-0.759,-1.577,-0.392,0.027,-0.374,-0.109,-0.349,-0.274,-0.273,2.928,2.657,,-0.085,,-1.32,,1.336,,1.505,,1.64,1.747,0.344,,0.027,
pre-tax-income,-5.742,1.507,0.758,0.525,-2.855,3.77,0.398,-0.38,-1.944,0.792,-1.731,1.067,-1.834,-4.849,-22.705,-15.14,-13.238,-8.555,-10.656,-5.273,-8.224,-9.628,-9.712,-8.658,-7.292,-6.841,-6.219,-5.767,-5.21,-4.605,-4.191,-4.135,-3.859,-2.483,-2.384,-1.99,-4.268,-4.401,-6.518,-6.785,-6.2,-2.638,-3.829,,-13.699,,-10.611,,-12.303,,-8.552,,-5.722,-6.208,-7.702,,-8.062,
