,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.49,-0.68,-1.27,4.58,-0.51,-1.11,-6.45,0.0,-8.25,-6.69,0.0
research-development-expenses,22.014,30.848,59.253,36.123,20.644,17.2,12.63,,14.008,9.272,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,30.446,39.289,67.647,44.134,26.159,21.527,16.34,,16.249,11.392,
operating-income,-30.446,-39.289,-67.647,-44.134,-26.159,-21.527,-16.34,,-16.249,-11.392,
total-non-operating-income-expense,1.386,1.724,1.809,1.726,1.622,1.066,0.305,,0.169,0.153,
pre-tax-income,-29.06,-37.565,-65.838,-42.408,-24.537,-20.461,-16.035,,-16.08,-11.239,
total-provision-income-taxes,-2.002,-0.374,-0.017,0.172,-0.131,-0.202,-0.053,,-0.051,-0.036,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-27.058,-37.191,-65.821,-42.58,-24.406,-20.259,-15.982,,-16.029,-11.203,
ebitda,-29.923,-38.781,-67.176,-43.88,-26.147,-21.515,-16.332,,-16.241,-11.392,
ebit,-30.446,-39.289,-67.647,-44.134,-26.159,-21.527,-16.34,,-16.249,-11.392,
basic-shares-outstanding,54.831,54.475,51.758,29.547,48.183,18.328,2.479,,1.9421,1.6735,
shares-outstanding,54.831,54.475,51.758,29.547,48.183,18.328,2.479,,1.9421,1.6735,
eps-basic-net-earnings-per-share,-0.49,-0.68,-1.27,4.58,-0.51,-1.11,-6.45,,-8.25,-6.69,
