,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
eps-earnings-per-share-diluted,-0.4,-0.38,-0.3,-0.26,-0.36,-0.34,-0.31,-0.36,-0.35,-0.37,-0.33,-0.33,-1.15,-0.23,-0.14,-0.18,-0.16,-0.14,-0.14,-0.17,-0.11,-0.09,-0.11,2.66,-0.66,-4.19,-1.28,4.11,-0.86,0.0,-7.39,-11.0,-7.0,-15.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1541,-0.0488,-0.2971,-0.4999
research-development-expenses,41.582,39.298,30.905,27.418,27.947,24.551,19.912,20.696,16.679,18.647,15.593,9.805,8.481,4.463,4.192,4.057,4.96,4.055,2.398,2.6983,0.354,0.494,0.3027,1.384,0.25,0.25,0.27,0.25,0.25,0.27,0.886,,,,,,,,,,,,,0.0117,,0.011,0.0076
selling-general-administrative-expenses,10.029,10.867,9.081,7.525,7.113,6.827,6.965,5.375,5.664,4.934,5.289,6.118,10.498,7.264,2.818,4.422,2.683,2.385,2.9,,,,,,,,,,,,,,,,,,,,,,0.0035,0.0033,0.0066,0.0023,0.0021,0.0037,0.0174
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,-2.449,-1.6162,-1.9569,-6.2828,-9.1591,-0.7793,-0.4349,-1.4724,-1.3776,-1.3764,-2.2501,-2.4292,-5.8141,-10.5612,-0.6583,-0.3246,-0.167,-0.0846,-0.0677,,,,,,,,
operating-expenses,51.611,50.165,39.986,34.943,35.06,31.378,26.877,26.071,22.343,23.581,20.882,15.923,18.979,11.727,7.01,8.479,7.643,6.44,5.298,4.8683,2.803,2.1102,2.2595,11.4978,9.4091,1.0293,0.7049,1.7224,1.6276,1.6464,3.1361,4.1847,5.8141,10.5612,0.6583,0.4961,0.167,0.0846,0.0677,0.0023,0.0035,0.0033,0.0066,0.0143,0.0025,0.015,0.0253
operating-income,-51.611,-50.165,-39.986,-34.943,-35.06,-31.378,-26.877,-26.071,-22.343,-23.581,-20.882,-15.923,-18.979,-11.727,-7.01,-8.479,-7.643,-6.44,-5.298,-4.8683,-2.803,-2.1102,-2.2595,-11.4978,-9.4091,-1.0293,-0.7049,-1.7224,-1.6276,-1.6464,-3.1361,-4.1847,-5.8141,-10.5612,-0.6583,-0.4961,-0.167,-0.0846,-0.0677,-0.0023,-0.0035,-0.0033,-0.0066,-0.0143,-0.0025,-0.015,-0.0253
total-non-operating-income-expense,2.124,2.614,3.036,2.368,1.23,0.718,0.362,0.217,0.194,0.204,0.198,0.234,0.221,0.164,0.126,0.119,0.008,0.073,,0.001,0.005,,,0.0006,,-2.4,-0.3416,5.1886,0.9537,1.3191,-2.6365,-4.1668,-0.0043,-0.3986,0.094,-0.2458,-0.5467,,,,,,,,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-49.487,-47.551,-36.95,-32.575,-33.83,-30.66,-26.515,-25.854,-22.149,-23.377,-20.684,-15.689,-68.212,-11.563,-6.884,-8.36,-7.635,-6.367,-5.298,-4.8673,-2.798,-2.1102,-2.2595,-19.9592,-9.4091,-3.4293,-1.0465,3.4662,-0.6739,-0.3273,-5.7727,-8.3516,-5.8185,-10.9597,-0.5643,-0.7419,-0.7138,-0.0846,-0.0677,-0.0023,-0.0035,-0.0033,-0.0066,-0.0143,-0.0025,-0.015,-0.0253
ebitda,-51.901,-51.074,-40.947,-35.635,-35.196,-31.154,-26.649,-25.829,-22.115,-23.329,-20.633,-15.638,-18.9,-11.456,-6.741,-8.171,-7.377,-6.2,-5.113,-4.8033,-2.7977,-2.109,-2.2429,-11.9414,-8.9615,-1.0281,-0.703,-1.7208,-1.1282,-1.6449,-3.1346,-1.8363,-3.1966,-10.5425,-0.6401,-0.44,-0.1647,-0.0846,-0.0677,-0.002,-0.0031,-0.003,-0.0063,-0.014,-0.0021,-0.0147,-0.025
