,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
revenue,1301.197,1287.624,1256.808,1360.628,1373.334,1416.078,1342.484,1155.069,1124.957,1126.464,1078.74,1144.839,1181.173,1088.506,995.87,986.824,946.913,808.011,624.883,612.075,595.529,541.675,465.677,,398.627,,
cost-goods-sold,1237.812,1214.897,1177.588,1266.771,1279.976,1317.662,1252.106,1097.777,1059.867,1059.75,993.691,1120.272,1102.661,1005.236,916.632,910.1591,871.15,738.342,583.741,571.1779,555.364,512.107,436.168,,375.497,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,1469.054,1436.583,1260.456,1654.317,1363.395,1408.304,1333.793,1152.203,1122.649,1121.621,1070.192,1138.034,1179.799,1074.652,970.826,979.8231,920.01,800.816,620.045,613.4038,589.67,539.592,459.707,,394.828,,
operating-income,-167.8571,-148.959,-3.6481,-293.6893,9.9391,7.774,8.691,2.8661,2.3081,4.843,8.548,6.8057,1.3739,13.854,25.044,7.0009,26.903,7.195,4.838,-1.3289,5.8589,2.083,5.97,,3.799,,
total-non-operating-income-expense,-11.51,-10.069,-10.034,-10.125,-9.891,-9.998,-10.009,-4.581,-2.009,-1.897,-2.016,-6.337,-1.782,-1.416,-1.327,-1.435,-1.452,-1.828,-0.216,-4.355,1.109,0.332,-0.463,,-0.791,,
pre-tax-income,-179.367,-159.028,-13.682,-303.814,0.048,-2.224,-1.318,-1.715,0.299,2.946,6.532,0.468,-0.408,12.438,23.717,5.566,25.451,5.367,4.622,-5.684,6.968,2.415,5.507,,3.008,,
total-provision-income-taxes,-2.087,0.434,0.619,-5.79,-0.121,1.74,-0.868,-8.227,-0.662,-0.544,2.307,1.752,-3.236,4.145,8.534,2.262,9.768,2.254,1.95,-2.329,2.427,0.74,3.817,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-177.28,-159.462,-14.301,-302.316,0.169,-3.964,-0.45,6.536,1.016,3.591,4.367,-1.098,5.408,8.534,15.429,3.567,15.961,3.39,2.858,-2.442,3.796,1.376,1.588,,3.008,,
ebitda,-27.5421,-5.044,18.7079,-43.1283,35.2771,33.6031,33.774,22.3821,19.4831,21.679,24.242,21.0637,15.3669,26.42,35.4479,17.3169,37.145,15.56,7.719,1.5691,8.7389,3.414,7.366,,3.799,,
ebit,-167.8571,-148.959,-3.6481,-293.6893,9.9391,7.774,8.691,2.8658,2.3081,4.843,8.548,6.8053,1.3739,13.854,25.044,7.001,26.903,7.195,4.838,-1.3287,5.8589,2.083,5.97,,3.799,,
basic-shares-outstanding,75.509,74.731,74.461,74.245,74.386,74.159,73.996,68.13,68.371,67.528,66.887,65.97,66.511,66.0852,64.539,60.73,63.89,62.611,51.8135,36.0126,31.644,30.749,32.044,,33.142,,
shares-outstanding,75.509,74.731,74.461,74.245,74.742,74.159,73.996,68.78,68.77,68.212,67.78,68.048,68.36,68.0344,67.845,63.097,65.513,64.795,54.7609,38.554,33.67,33.304,34.936,,33.936,,
eps-basic-net-earnings-per-share,-2.35,-2.13,-0.19,-4.01,0.0,-0.05,-0.01,0.1,0.01,0.05,0.07,-0.02,0.08,0.13,0.24,0.06,0.25,0.05,0.06,-0.09,0.12,0.04,0.05,,0.09,,
eps-earnings-per-share-diluted,-2.35,-2.13,-0.19,-4.01,0.0,-0.05,-0.01,0.11,0.01,0.05,0.06,-0.02,0.08,0.13,0.23,0.07,0.24,0.05,0.05,-0.09,0.11,0.04,0.05,0.0,0.09,0.0,0.0
