,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28
revenue,303.897,340.377,214.094,153.037,151.467,151.865,149.93,139.355,137.703,138.914,140.97,124.934,125.049,125.003,126.012,35.269,113.536,113.425,189.862,-137.783,185.656,180.613,176.777,169.235,166.615,162.27,165.165,175.179,166.559,170.214,165.218,179.994,176.206,169.596,162.969,195.324,170.487,175.523,178.999,175.2121,181.642,177.836,182.736,,185.403,187.448,,193.044,191.439,180.94,178.966,175.819,,167.9,160.281,117.055,,106.82,100.021,90.592,,78.357,75.337
cost-goods-sold,178.64,194.758,140.338,119.224,103.678,104.416,105.396,99.596,94.539,99.071,102.399,87.711,89.153,88.879,91.377,0.346,78.954,77.307,161.453,-171.174,148.95,146.476,148.148,141.553,131.109,133.468,141.257,137.558,126.782,129.305,140.235,133.219,129.588,126.009,121.908,123.174,119.686,121.985,128.868,129.901,132.498,127.762,132.838,,129.048,125.628,,128.069,129.014,128.187,125.357,124.186,,115.697,109.02,77.549,,73.582,70.859,63.845,,50.931,48.132
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,73.677,84.27,51.335,0.101,11.186,12.362,11.464,9.986,7.838,8.176,8.361,9.554,10.406,10.107,9.411,0.77,6.419,12.375,15.982,-17.011,15.756,16.899,16.431,17.388,16.44,14.279,13.098,17.433,14.727,14.989,13.739,15.11,14.185,17.706,17.842,19.472,17.42,18.703,17.235,16.485,17.816,18.449,18.785,,17.945,17.493,,18.972,20.474,18.691,16.846,16.848,,18.931,16.476,12.584,,10.878,10.919,10.123,,7.136,7.287
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,3.453,,,-9.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,262.298,290.464,196.846,120.536,116.068,118.031,117.983,113.067,103.211,107.984,112.284,99.761,102.291,100.865,102.699,-7.689,87.239,91.549,190.078,-224.853,178.084,176.911,187.278,172.2321,160.501,160.762,167.888,170.265,154.768,157.095,166.147,353.298,156.24,156.158,152.183,165.993,149.878,154.029,159.657,159.52,162.27,158.16,163.873,,159.16,156.07,,160.096,162.478,158.687,152.808,151.492,,144.767,135.764,96.951,,91.055,87.603,79.631,,63.957,60.912
operating-income,41.599,49.913,17.248,32.5011,35.399,33.834,31.947,26.288,34.492,30.93,28.686,25.173,22.758,24.138,23.313,42.958,26.297,21.876,-0.216,87.07,7.572,3.702,-10.501,-2.9971,6.114,1.508,-2.723,4.9139,11.791,13.119,-0.929,-173.304,19.966,13.438,10.786,29.331,20.609,21.494,19.342,15.6921,19.372,19.676,18.863,,26.243,31.378,,32.948,28.961,22.253,26.158,24.327,,23.133,24.517,20.104,,15.765,12.418,10.961,,14.4,14.425
total-non-operating-income-expense,-23.006,-23.661,-7.666,-0.784,-1.013,-3.482,-3.454,-3.446,-4.203,-4.13,-3.834,-4.204,-4.833,-4.176,-4.105,-4.414,-4.914,-4.178,-4.49,-3.976,-4.574,-4.516,-4.383,-4.594,-5.006,-3.158,-3.321,-3.326,-3.249,-4.387,-3.187,-3.384,-3.221,-3.17,-3.418,-3.643,-3.487,-2.449,-3.422,-3.627,-3.888,-4.142,-41.435,,-5.096,-5.366,,-5.275,-5.237,-4.887,-4.993,-5.341,,-5.988,-6.251,-0.295,,-0.284,-0.257,-0.255,,-0.289,-0.472
pre-tax-income,18.593,26.252,9.582,31.717,34.386,30.352,28.493,22.842,30.289,26.8,24.852,20.969,17.925,19.962,19.208,38.544,21.383,17.698,-4.706,83.094,2.998,-0.814,-14.884,-7.591,1.108,-1.65,-6.044,1.588,8.542,8.732,-4.116,-176.688,16.745,10.268,7.368,25.688,17.122,19.045,15.92,12.065,15.484,15.534,-22.572,,21.147,26.012,,27.673,23.724,17.366,21.165,18.986,,17.145,18.266,19.809,,15.481,12.161,10.706,,14.111,13.953
total-provision-income-taxes,4.673,8.115,5.368,3.191,9.029,7.669,7.157,14.219,10.403,9.56,9.371,8.847,13.126,,,15.713,8.423,6.942,-1.793,32.118,1.025,-0.297,-5.288,-2.301,-0.691,-0.549,-2.095,0.984,3.514,3.675,-1.451,0.382,7.281,4.49,3.233,10.134,6.598,7.207,6.506,4.556,6.682,6.658,-7.759,,8.566,10.389,,11.348,9.75,7.163,8.711,7.803,,6.353,7.242,7.975,,6.146,4.828,4.25,,5.575,5.512
