,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.47,-0.44,-0.47,6.5,-0.34,-4.17,-4.19,0.0,-3.6,-3.18,0.0
research-development-expenses,16.067,14.111,15.098,11.031,8.706,7.149,6.401,,5.333,3.758,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,23.584,20.057,20.927,15.513,11.975,9.524,8.709,,6.233,4.598,
operating-income,-23.584,-20.057,-20.927,-15.513,-11.975,-9.524,-8.709,,-6.233,-4.598,
total-non-operating-income-expense,1.852,0.985,0.974,0.985,0.827,0.147,0.224,,-0.653,-0.094,
pre-tax-income,-21.732,-19.072,-19.953,-14.528,-11.148,-9.377,-8.485,,-6.886,-4.692,
total-provision-income-taxes,,,,,,,,,-0.966,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-21.732,-19.072,-19.953,-14.528,-11.148,-9.377,-8.485,,-5.92,-4.692,
ebitda,-23.952,-20.21,-21.372,-16.13,-12.456,-9.555,-8.648,,-5.747,-4.598,
ebit,-23.584,-20.057,-20.927,-15.513,-11.975,-9.524,-8.709,,-6.233,-4.598,
basic-shares-outstanding,46.28,43.115,42.62,19.833,32.609,2.248,2.024,,1.643,1.477,
shares-outstanding,46.28,43.115,42.62,19.833,32.609,2.248,2.024,,1.643,1.477,
eps-basic-net-earnings-per-share,-0.47,-0.44,-0.47,6.5,-0.34,-4.17,-4.19,,-3.6,-3.18,
