,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-06-30,2011-06-30
revenue,664.7,725.7,617.5,623.0,551.8,685.2999,627.9,606.3,543.9,616.8998,532.6,483.7,442.2,532.2,438.0,454.9,423.0,510.1001,446.6,455.8,418.3,519.6,453.1,440.7,414.3,,,,
cost-goods-sold,487.0,469.2001,418.8,421.6,403.3,451.9001,436.2,418.9,403.8,401.7001,365.2,335.8,318.1,344.4,311.8,302.8,301.5,328.4,294.4,299.7,293.0,329.3,301.4,303.3,295.1,,,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
selling-general-administrative-expenses,142.8,143.4,129.9,123.2,115.5,124.9,117.6,114.8,107.5,107.3,100.9,96.2,98.2,89.4,93.4,93.0,82.3,86.9,80.9,88.1,81.4,78.6,87.6,87.5,81.1,,,,
other-operating-income-expenses,0.2,-2.4,0.1,0.1,-2.9,-4.3,-0.2,-4.2,,-7.5,-1.8,-0.5,,-1.9,0.3,0.1,-1.2,-0.9,-0.3,-3.5,,-2.8,-0.4,,,,,,
operating-expenses,630.3,616.2001,551.7,544.8,531.4,588.6,555.4,538.0,512.5,520.0001,468.0,435.8,417.4,441.3,406.7,396.3,386.0,420.9001,380.8,393.4,375.8,418.4998,392.9,396.2,379.2,,,,
operating-income,34.4,109.4999,65.8001,78.2,20.4,96.7,72.5,68.3,31.4,96.8997,64.6,47.9,24.8,90.9,31.3,58.6,37.0,89.2,65.8,62.4,42.5,101.1002,60.2,44.5,35.1,,,,
total-non-operating-income-expense,-41.2,-29.7,-23.2,-26.9,-33.8,-7.3,-39.8,-40.3,-29.5,-27.7,-29.9,-21.0,-20.0,-13.3,-17.5,-18.8,-23.3,-26.5,-23.8,-20.3,-76.8,-47.9,-45.6,-40.1,-39.9,,,,
pre-tax-income,-6.8,79.8,42.6,51.3,-13.4,89.4,32.7,28.0,1.9,69.2,34.7,26.9,4.8,77.6,13.8,39.8,13.7,62.7,42.0,42.1,-34.3,53.2,14.6,4.4,-4.8,,0.0,,
total-provision-income-taxes,-6.9,8.7,10.9,2.3,1.0,6.7,13.7,49.9,-1.9,7.4,8.7,9.5,0.2,19.4,3.1,9.2,2.0,-90.8,11.2,-4.1,-14.0,26.2,6.6,23.3,-6.6,,0.0,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
income-from-continuous-operations,0.1,71.1,31.7,49.0,-14.4,82.7,19.0,-21.9,3.8,61.8,26.0,17.4,4.6,58.2,10.7,30.6,11.7,153.5,30.8,46.2,-20.3,27.0,8.0,-18.9,1.8,,0.0,,
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,-0.1,,-0.2,0.4,0.0,-1.7,-0.6,-0.4,,0.0,,
net-income,-8.0,71.1,31.7,49.0,-14.4,82.7,19.0,-21.9,3.8,61.8,26.0,17.4,4.6,58.2,10.7,30.7,11.9,153.7,31.5,46.5,-19.5,27.2,6.7,-19.2,1.5,,,,
ebitda,96.5,171.2999,133.2,133.7,78.5,150.3999,125.3,116.3,71.7,136.7997,102.4,86.6,61.7,127.3,67.2,95.0,73.6,126.6,101.2,99.0,89.9,140.5002,97.8,84.8,74.7,,,,
ebit,34.4,109.4999,65.8001,78.2,20.4,96.6999,72.5,68.3,31.4,96.8998,64.6,47.9,24.8,90.9,31.3,58.6,37.0,89.2,65.8,62.4,42.5,101.1001,60.2,44.5,35.1,,,,
basic-shares-outstanding,145.663,144.246,145.145,145.058,142.149,131.226,133.124,132.983,125.713,124.954,124.952,124.89,124.819,124.788,124.81,124.818,124.753,119.576,124.234,124.103,105.535,75.045,75.048,75.039,75.015,,,,
shares-outstanding,145.663,145.954,146.758,146.66,142.149,133.201,135.109,132.983,127.785,126.738,126.799,126.415,126.26,125.871,125.773,125.827,126.19,121.349,126.265,125.954,105.535,76.124,76.107,75.039,76.05,,,,
eps-basic-net-earnings-per-share,-0.05,0.46,0.22,0.34,-0.1,0.63,0.14,-0.16,0.03,0.49,0.21,0.14,0.04,0.45,0.09,0.25,0.1,1.33,0.25,0.37,-0.18,0.37,0.09,-0.26,0.02,,,,
eps-earnings-per-share-diluted,-0.05,0.45,0.22,0.33,-0.1,0.62,0.14,-0.16,0.03,0.48,0.21,0.14,0.04,0.47,0.09,0.24,0.09,1.31,0.25,0.37,-0.18,0.36,0.09,-0.26,0.02,0.0,0.0,0.0,0.0
