,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-10-31,2005-09-30,2005-07-31,2005-06-30,2005-04-30,2005-03-31,2005-01-31
revenue,1263.1,1203.3,1140.4,1128.8,1026.5,1045.0,930.9,909.7001,859.1,912.7,869.6,831.1001,799.0,753.0,701.0,700.8201,666.637,636.21,600.333,599.743,555.146,512.495,566.616,441.9089,400.405,370.091,338.941,320.526,294.136,274.719,244.733,227.559,204.047,185.699,166.126,155.976,141.569,125.834,117.578,110.649,102.628,92.256,81.267,77.399,76.5,59.559,45.641,33.858,22.11,9.756,6.317,0.188,0.263,0.339,0.768,,0.46,0.384,0.203,0.167,0.151,0.565,0.563
cost-goods-sold,95.2,99.2,85.8,96.8,90.6,95.3,91.6,144.6,157.0,83.6,69.0,68.3,71.0,60.0,59.0,57.637,54.057,52.007,69.399,49.577,51.858,39.626,32.939,51.552,51.358,39.377,35.269,33.147,-20.191,31.613,28.268,28.798,23.369,21.745,19.228,20.222,16.495,13.721,13.999,12.892,11.895,10.313,9.959,6.812,8.948,7.142,5.464,3.39,2.154,1.067,0.085,,,,,,,,,,,,
gross-profit,1167.9,1104.1,1054.6,1032.0,935.9,949.7,839.3,765.1001,702.1,829.1,800.6,762.8001,728.0,693.0,642.0,643.1831,612.58,584.203,530.934,550.166,503.288,472.869,533.677,390.3569,349.047,330.714,303.672,287.379,314.327,243.106,216.465,198.761,180.678,163.954,146.898,135.754,125.074,112.113,103.579,97.757,90.733,81.943,71.308,70.587,67.552,52.417,40.177,30.468,19.956,8.689,6.232,0.188,0.263,0.339,0.768,,0.46,0.384,0.203,0.167,0.151,0.565,0.563
research-development-expenses,232.9,187.6,195.9,205.6,174.8,173.4,176.6,265.0,195.7,198.2,219.5,206.2,195.0,180.0,176.0,191.063,165.664,131.693,221.08,129.328,100.661,92.554,191.457,85.785,88.209,68.563,74.536,63.409,54.28,59.635,45.408,34.398,36.567,35.646,30.81,27.177,25.153,23.69,22.374,23.215,21.323,18.288,19.089,15.273,14.874,16.825,15.609,15.641,16.906,15.195,21.219,17.344,21.205,23.462,21.214,,30.274,31.788,27.616,29.239,25.021,20.277,20.088
selling-general-administrative-expenses,299.3,299.3,281.5,318.7,258.7,277.3,257.1,296.4001,270.6,265.6,261.8,258.0,230.0,232.0,233.0,241.581,212.52,221.383,187.116,183.567,157.665,159.477,129.291,134.819,122.886,123.189,108.826,112.624,89.957,94.855,87.242,86.566,77.572,78.18,65.858,62.825,57.208,56.098,50.635,51.887,41.523,42.705,36.652,38.791,32.064,32.907,29.781,28.572,24.944,22.788,19.838,23.73,12.121,11.421,8.146,,6.484,6.415,6.215,5.632,4.777,4.769,4.28
other-operating-income-expenses,-29.8,-6.1,28.7,-5.6,-53.5,-4.7,-52.7,-9.2,-3.7,-55.6,-3.5,-89.7,-41.0,-5.0,15.0,-18.493,-29.684,-4.044,-11.979,-28.536,,,-3.464,,,,,,-26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,733.1,670.7,623.6,1085.1,667.9,1445.1,663.5001,801.1002,779.0001,686.0,657.6,703.7,620.0,558.0,535.0,603.4769,512.069,455.128,496.626,395.7539,318.487,293.646,357.113,303.837,265.13,232.4,221.969,212.65,151.417,191.014,174.695,152.189,137.848,136.675,125.893,110.946,98.856,93.509,87.008,87.994,74.741,71.306,65.7,60.876,55.886,56.874,50.854,47.603,44.004,39.05,41.142,41.074,33.326,34.883,29.36,,36.758,38.203,33.831,34.871,29.798,25.046,24.368
operating-income,530.0,532.6001,516.8,43.7001,358.6,-400.1,267.4,108.5999,80.0999,226.7,212.0,127.4001,179.0,195.0,166.0,97.3431,154.568,181.082,103.707,203.989,236.659,218.849,209.503,138.0719,135.275,137.691,116.972,107.876,142.719,83.705,70.038,75.37,66.199,49.024,40.233,45.03,42.713,32.325,30.57,22.655,27.887,20.95,15.567,16.523,20.614,2.685,-5.213,-13.745,-21.894,-29.294,-34.825,-40.886,-33.063,-34.544,-28.592,,-36.298,-37.819,-33.628,-34.704,-29.647,-24.481,-23.805
total-non-operating-income-expense,5.5,-33.1,25.0,-76.6,-16.5,-18.5,84.2,-19.3,-21.9,-20.4,-18.0,-23.2,-20.0,-25.0,-23.0,-22.839,-15.209,-3.79,3.238,1.245,-0.45,-0.203,2.408,-0.095,-0.987,-0.428,-0.231,-0.606,-1.954,-1.983,-2.229,-1.292,-0.522,0.063,0.593,-0.782,-0.106,-0.242,-0.497,-0.061,-0.205,-3.056,-0.423,0.224,-0.51,-0.467,0.874,0.93,1.731,2.02,2.042,1.533,1.101,1.289,1.275,,1.099,0.882,0.623,-0.518,-3.055,-2.329,-0.753
pre-tax-income,535.5,499.5,541.8,-32.9,342.1,-418.6,351.6,89.3,58.2,206.3,194.0,104.2,159.0,170.0,143.0,74.504,139.359,177.292,106.945,205.234,236.209,218.646,211.911,137.977,134.288,137.263,116.741,107.27,140.765,81.722,67.809,74.078,65.677,49.087,40.826,44.248,42.607,32.083,30.073,22.594,27.682,17.894,15.144,16.747,20.104,2.218,-4.339,-12.815,-20.163,-27.274,-32.783,-39.353,-31.962,-33.255,-27.317,,-35.199,-36.937,-33.005,-35.222,-32.702,-26.81,-24.558
total-provision-income-taxes,67.9,39.7,-46.1,12.1,11.2,38.8,102.5,59.3,-19.8,41.1,23.9,10.8,65.0,50.0,51.0,7.885,323.116,7.077,15.622,51.814,58.478,52.151,52.557,156.969,40.503,41.378,34.524,26.298,48.586,45.464,22.396,25.908,0.107,14.342,13.996,17.798,14.734,10.31,9.139,-214.533,0.951,1.092,0.638,1.412,0.415,-0.156,-0.09,-0.487,-0.078,-0.09,-0.09,-0.103,-0.09,-0.09,-0.09,,-0.125,-0.363,-0.363,-0.112,-0.252,-0.229,-0.088
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,467.6,459.8,587.9,-45.0,330.9,-457.4,249.1,30.0,78.0,165.2,170.1,93.4,94.0,120.0,92.0,66.619,-183.757,170.215,91.323,153.42,177.731,166.495,159.354,-18.992,93.785,95.885,82.217,80.972,92.179,36.258,45.413,48.17,65.57,34.745,26.83,26.45,27.873,21.773,20.934,237.127,26.731,16.802,14.506,15.335,19.689,2.374,-4.249,-12.328,-20.085,-27.184,-32.693,-39.25,-31.872,-33.165,-27.227,,-35.074,-36.574,-32.642,-35.11,-32.45,-26.581,-24.47
