,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
eps-earnings-per-share-diluted,-0.25,-0.37,-0.29,-0.28,-0.26,-0.22,-0.21,0.14,-1.26,-0.22,-0.14,0.0,-8.48
research-development-expenses,3.885,4.216,3.167,2.802,1.914,1.525,1.52,1.088,1.355,0.446,0.319,,0.241
selling-general-administrative-expenses,,,,,,,,,,,,,
operating-expenses,5.342,5.89,4.694,4.218,2.972,2.449,2.277,1.499,2.093,0.715,0.465,,0.322
operating-income,-5.342,-5.89,-4.694,-4.218,-2.972,-2.449,-2.277,-1.499,-2.093,-0.715,-0.465,,-0.322
total-non-operating-income-expense,1.07,0.542,0.583,0.51,0.217,0.173,0.127,0.105,-3.18,-0.044,-0.029,,
pre-tax-income,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,
net-income,-4.272,-5.348,-4.111,-3.708,-2.755,-2.276,-2.15,-1.394,-5.273,-0.759,-0.494,,-0.322
ebitda,-5.083,-5.65,-4.495,-4.157,-2.934,-2.425,-2.259,-1.485,-2.088,-0.712,-0.464,,-0.322
ebit,-5.342,-5.89,-4.694,-4.218,-2.972,-2.449,-2.277,-1.499,-2.093,-0.715,-0.465,,-0.322
basic-shares-outstanding,17.291,14.523,14.418,11.203,10.624,10.31,10.307,5.361,4.183,3.491,3.491,,0.038
shares-outstanding,17.291,14.523,14.418,11.203,10.624,10.31,10.307,5.361,4.183,3.491,3.491,,0.038
eps-basic-net-earnings-per-share,-0.25,-0.37,-0.29,-0.28,-0.26,-0.22,-0.21,0.14,-1.26,-0.22,-0.14,,-8.48
