,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,3.423,1.664,1.354,1.143,4.037,3.383,3.36,4.023,4.68,130.405,4.65,4.51,0.636,1.272,-0.631,1.338,,,,,,,,
research-development-expenses,19.447,15.594,12.373,8.871,6.211,5.109,5.198,6.512,6.682,6.816,4.38,5.523,7.806,2.088,0.516,-30.8144,0.6826,16.377,16.182,15.653,16.208,18.761,17.583,19.981,17.623,17.876,16.38,14.351,11.743,11.252,12.066,10.86,10.751,10.417,9.436,9.346,11.023,9.688,10.195,9.233,9.084,10.098,22.639,23.031,24.058,18.342,16.15,13.326,11.542,13.613,13.544,10.488,12.561,13.056,14.398
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,24.195,22.704,18.119,14.454,11.333,7.826,7.069,8.911,8.637,8.439,6.075,7.755,14.091,2.639,0.738,-37.4831,0.88,19.504,20.332,19.894,19.449,21.701,22.907,23.444,21.794,22.063,20.258,17.703,14.539,14.134,14.712,13.662,13.882,13.363,12.109,12.402,13.614,12.404,13.281,11.66,12.233,13.103,27.945,26.501,27.723,22.316,19.783,17.087,15.394,17.466,17.012,13.004,14.577,14.982,16.588
operating-income,-24.195,-22.704,-18.119,-14.454,-11.333,-7.826,-7.069,-8.911,-8.637,-8.439,-6.075,-7.755,-14.091,-2.639,-0.738,37.4831,-0.88,-19.504,-20.332,-19.894,-19.449,-21.701,-22.907,-23.444,-21.794,-22.063,-20.258,-17.703,-14.539,-14.134,-14.565,-10.239,-12.218,-12.009,-10.966,-8.365,-10.231,-9.044,-9.258,-6.98,118.172,-8.453,-23.435,-25.865,-26.451,-22.947,-18.445,-17.087,-15.394,-17.466,-17.012,-13.004,-14.577,-14.982,-16.588
total-non-operating-income-expense,2.766,3.005,3.039,2.979,2.821,1.366,0.705,0.466,0.274,0.092,0.076,0.006,0.042,-0.238,-0.975,-2.0211,-0.9198,-0.296,-0.375,-0.458,-0.517,-0.585,-0.65,-0.718,-0.721,-0.724,-0.47,-0.42,-0.457,-0.486,-0.486,-0.504,-0.516,-0.493,-0.435,-0.458,-0.031,-0.03,-0.05,-0.057,-0.053,-0.042,-0.064,-0.088,0.13,0.253,0.795,0.82,0.519,0.725,0.657,0.518,0.65,0.336,0.377
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
net-income,-21.429,-19.699,-15.08,-11.475,-8.512,-6.46,-6.364,-8.445,-8.363,-8.347,-5.999,-7.749,-14.049,-2.877,-1.713,35.462,-1.7998,-19.8,-20.707,-20.352,-19.966,-22.286,-23.557,-24.162,-22.515,-22.787,-20.728,-18.123,-14.996,-14.62,-15.051,-10.743,-12.734,-12.502,-11.401,-8.823,-10.262,-9.074,-9.308,-7.037,118.119,-8.495,-23.499,-25.953,-26.321,-22.694,-17.65,-15.524,-14.875,-16.741,-74.94,-13.3,-14.734,-14.891,-16.211
ebitda,-24.167,-22.676,-18.091,-14.429,-11.309,-7.802,-7.046,-8.851,-8.628,-8.439,-6.075,-7.755,-14.091,-2.639,-0.738,37.4831,-0.88,-19.336,-20.163,-19.725,-19.282,-21.532,-22.739,-23.301,-21.646,-21.938,-20.158,-17.588,-14.369,-13.911,-14.335,-9.948,-11.868,-11.625,-10.527,-7.902,-9.758,-8.562,-8.743,-6.465,118.776,-7.802,-22.742,-25.183,-25.722,-22.319,-17.767,-16.208,-14.568,-16.618,-16.214,-12.182,-13.67,-13.984,-15.665
ebit,-24.195,-22.704,-18.119,-14.454,-11.333,-7.826,-7.069,-8.911,-8.637,-8.439,-6.075,-7.755,-14.091,-2.639,-0.738,37.4831,-0.88,-19.504,-20.332,-19.894,-19.449,-21.701,-22.907,-23.444,-21.794,-22.063,-20.258,-17.703,-14.539,-14.134,-14.565,-10.239,-12.218,-12.009,-10.966,-8.365,-10.231,-9.044,-9.258,-6.98,118.172,-8.453,-23.435,-25.865,-26.451,-22.947,-18.445,-16.344,-15.394,-17.466,-17.012,-13.004,-14.577,-14.982,-16.588
basic-shares-outstanding,15.415,15.369,15.364,14.797,15.308,14.384,14.128,12.245,12.379,12.039,11.956,5.205,8.847,0.176,0.176,0.171,0.172,3.7837,3.0996,2.8168,3.0252,2.6897,2.4435,2.0299,1.9747,1.9744,1.9731,1.6992,1.7349,1.6488,1.6121,1.3498,1.413,1.3684,1.2015,1.1544,1.155,1.1538,1.1283,0.9692,0.9691,0.9689,0.9687,0.9648,0.9648,0.9648,0.9647,0.9285,0.9627,0.9626,0.8228,0.634,0.6357,0.6356,0.6355
shares-outstanding,15.415,15.369,15.364,14.797,15.308,14.384,14.128,12.245,12.379,12.039,11.956,5.205,8.847,0.176,0.176,0.171,0.172,3.7837,3.0996,2.8168,3.0252,2.6897,2.4435,2.0299,1.9747,1.9744,1.9731,1.6992,1.7349,1.6488,1.6121,1.3498,1.413,1.3684,1.2015,1.1544,1.155,1.1538,1.1283,0.9758,0.9697,0.9689,0.9687,0.9648,0.9648,0.9648,0.9647,0.9285,0.9627,0.9626,0.8228,0.634,0.6357,0.6356,0.6355
eps-basic-net-earnings-per-share,-1.39,-1.28,-0.98,-0.76,-0.56,-0.45,-0.45,-0.67,-0.68,-0.69,-0.5,22.57,-1.59,-16.33,-9.72,-17.6819,-10.46,-5.2448,-6.6434,-5.5944,-6.6434,-8.3916,-9.7902,-10.8392,-11.5385,-11.5385,-10.4895,-10.1399,-8.7413,-8.7413,-9.4406,-7.3427,-9.0909,-9.0909,-9.4406,-7.6923,-8.7413,-7.6923,-8.3916,-7.6923,122.028,-8.7413,-24.1259,-27.2727,-27.2727,-23.4266,-18.1818,-7.3427,-15.3846,-17.4825,-91.2587,-20.979,-23.0769,-23.4266,-25.5245
eps-earnings-per-share-diluted,-1.39,-1.28,-0.98,-0.76,-0.56,-0.45,-0.45,-0.67,-0.68,-0.69,-0.5,22.57,-1.59,-16.33,-9.72,-17.6819,-10.46,-5.2448,-6.6434,-5.5944,-6.6434,-8.3916,-9.7902,-10.8392,-11.5385,-11.5385,-10.4895,-10.1399,-8.7413,-8.7413,-9.4406,-7.3427,-9.0909,-9.0909,-9.4406,-7.6923,-8.7413,-7.6923,-8.3916,-7.6923,121.6783,-8.7413,-24.1259,-27.2727,-27.2727,-23.4266,-18.1818,-7.3427,-15.3846,-17.4825,-91.2587,-20.979,-23.0769,-23.4266,-25.5245
