,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
revenue,,,,,,,,,,,,,
gross-profit,13.604,4.197,4.205,125.676,1.195,1.648,0.641,,,,,,
research-development-expenses,52.544,51.884,37.403,39.909,30.321,52.134,20.819,18.48,18.515,19.004,18.47,,
selling-general-administrative-expenses,,,,,,,,,,,,,
operating-expenses,63.759,66.96,46.713,50.954,39.159,59.03,26.389,23.56,22.288,22.568,21.744,,
operating-income,-50.155,-62.763,-42.508,74.722,-37.964,-57.382,-25.748,-23.56,-22.288,-22.568,-21.744,,
total-non-operating-income-expense,3.782,4.113,3.516,2.811,2.593,2.658,2.07,0.665,0.444,0.434,0.424,,
pre-tax-income,-46.373,-58.65,-38.992,77.533,-35.371,-54.724,-23.678,-22.895,-21.844,-22.134,-21.32,,
total-provision-income-taxes,-0.113,-0.313,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,,
net-income,-46.26,-58.337,-38.992,77.533,-35.371,-54.724,-23.678,-22.887,-21.844,-22.134,-21.32,,
ebitda,-49.563,-62.537,-41.422,76.26,-36.409,-56.232,-25.281,-22.904,-21.296,-21.344,-20.786,,
ebit,-50.155,-62.763,-42.508,74.722,-37.964,-57.382,-25.748,-23.56,-22.288,-22.568,-21.744,,
basic-shares-outstanding,95.859,95.495,94.985,92.622,93.665,92.9,89.561,30.744,10.231,9.67,9.017,,
shares-outstanding,95.859,95.495,94.985,92.622,93.665,92.9,89.561,30.744,10.231,9.67,9.017,,
eps-basic-net-earnings-per-share,-0.48,-0.61,-0.41,0.84,-0.38,-0.59,-0.26,-0.74,-2.14,-2.29,-2.36,,
eps-earnings-per-share-diluted,-0.48,-0.61,-0.41,0.84,-0.38,-0.59,-0.26,-0.74,-2.14,-2.29,-2.36,0.0,0.0
