,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
revenue,100.162,93.571,82.148,107.944,95.63,96.08,87.635,97.963,82.256,78.016,68.439,70.531,60.922,55.4,41.651,33.124,15.402,11.418,9.662,9.715,8.668,7.526,6.664,,6.198,
cost-goods-sold,30.222,29.628,28.939,31.79,28.382,28.159,25.634,28.451,24.316,24.143,22.071,21.692,19.235,18.842,15.664,12.771,5.968,5.508,3.873,3.02,2.737,2.522,2.999,,2.47,
gross-profit,69.94,63.943,53.209,76.154,67.248,67.921,62.001,69.512,57.94,53.873,46.368,48.839,41.687,36.558,25.987,20.353,9.434,5.91,5.789,6.695,5.931,5.004,3.665,,3.728,
research-development-expenses,13.019,14.93,14.135,13.48,12.478,11.416,11.085,9.943,9.381,9.537,8.699,11.276,7.923,8.169,6.361,5.874,5.247,5.263,4.998,4.742,5.236,5.15,4.696,,4.586,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,116.146,120.131,124.402,116.547,104.867,104.281,103.337,100.135,86.674,87.954,81.49,76.8,62.794,61.323,50.668,46.268,33.111,30.593,22.001,16.821,15.166,14.987,13.905,,11.56,
operating-income,-15.984,-26.56,-42.254,-8.603,-9.237,-8.201,-15.702,-2.172,-4.418,-9.938,-13.051,-6.269,-1.872,-5.923,-9.017,-13.144,-17.709,-19.175,-12.339,-7.106,-6.498,-7.461,-7.241,,-5.362,
total-non-operating-income-expense,-1.443,-1.103,-1.482,-1.513,-1.477,-2.036,-1.668,-1.747,-1.438,-1.291,-1.195,-2.973,-1.566,-2.598,0.063,-0.447,-1.476,-0.396,-1.579,-1.1,-1.25,0.176,0.278,,0.477,
pre-tax-income,-17.427,-27.663,-43.736,-10.116,-10.714,-10.237,-17.37,-3.919,-5.856,-11.229,-14.246,-9.242,-3.438,-8.521,-8.954,-13.591,-19.185,-19.571,-13.918,-8.206,-7.748,-7.285,-6.963,,-4.885,
total-provision-income-taxes,0.42,0.358,0.34,-0.509,0.551,0.383,0.343,0.392,0.374,0.381,0.261,0.583,0.448,0.258,0.334,0.6,0.269,0.155,0.142,0.104,0.137,0.144,0.093,,0.131,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-17.847,-28.021,-44.076,-9.607,-11.265,-10.62,-17.713,-4.311,-6.23,-11.61,-14.507,-9.825,-3.886,-8.779,-9.288,-14.191,-19.454,-19.726,-14.06,-8.326,-7.929,-7.473,-7.099,,-5.057,
ebitda,-14.502,-25.224,-41.137,-8.255,-8.48,-7.449,-14.929,-1.387,-3.827,-9.364,-12.61,-5.869,-1.347,-5.662,-8.717,-12.951,-17.703,-19.193,-12.364,-7.256,-6.391,-7.358,-7.123,,-5.362,
ebit,-15.984,-26.56,-42.254,-8.603,-9.237,-8.201,-15.702,-2.172,-4.418,-9.938,-13.051,-6.269,-1.872,-5.923,-9.017,-13.144,-17.709,-19.175,-12.339,-7.106,-6.498,-7.461,-7.241,,-5.362,
basic-shares-outstanding,30.93,30.678,30.364,30.052,30.123,30.029,29.836,29.424,29.514,29.351,29.159,28.485,28.543,28.381,28.194,26.582,27.861,25.564,24.849,4.4407,1.33,1.136,1.076,,0.913,
shares-outstanding,30.93,30.678,30.364,30.052,30.123,30.029,29.836,29.424,29.514,29.351,29.159,28.485,28.543,28.381,28.194,26.582,27.861,25.564,24.849,4.4407,1.33,1.136,1.076,,0.913,
eps-basic-net-earnings-per-share,-0.58,-0.91,-1.45,-0.33,-0.37,-0.35,-0.59,-0.14,-0.21,-0.4,-0.5,-0.34,-0.14,-0.31,-0.33,-0.5,-0.7,-0.77,-0.57,12.2,-5.96,-6.58,-6.6,,-5.54,
eps-earnings-per-share-diluted,-0.58,-0.91,-1.45,-0.33,-0.37,-0.35,-0.59,-0.14,-0.21,-0.4,-0.5,-0.34,-0.14,-0.31,-0.33,-0.5,-0.7,-0.77,-0.57,12.2,-5.96,-6.58,-6.6,0.0,-5.54,0.0
