,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
revenue,16.182,16.317,14.991,15.624,13.381,13.663,12.712,,11.683,
cost-goods-sold,1.63,1.588,1.526,1.382,1.221,1.182,1.048,,1.328,
gross-profit,14.552,14.729,13.465,14.242,12.16,12.481,11.664,,10.355,
research-development-expenses,1.874,1.946,1.683,1.501,1.373,1.296,1.206,,1.466,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,26.763,24.455,23.79,19.931,16.425,15.36,15.629,,16.722,
operating-income,-10.581,-8.138,-8.799,-4.307,-3.044,-1.697,-2.917,,-5.039,
total-non-operating-income-expense,-0.725,-0.516,-0.546,-1.006,-1.748,-1.45,-1.284,,-0.644,
pre-tax-income,,,,,,,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-11.306,-8.654,-9.345,-5.313,-4.792,-3.147,-4.201,,-5.683,
ebitda,-10.342,-7.871,-8.541,-4.056,-2.8,-1.444,-2.684,,-5.039,
ebit,-10.581,-8.138,-8.799,-4.307,-3.044,-1.697,-2.917,,-5.039,
basic-shares-outstanding,24.803,24.578,24.391,7.95,3.713,3.608,3.594,,3.476,
shares-outstanding,24.803,24.578,24.391,7.95,3.713,3.608,3.594,,3.476,
eps-basic-net-earnings-per-share,-0.46,-0.35,-0.38,1.13,-1.29,-0.87,-1.17,,-1.64,
eps-earnings-per-share-diluted,-0.46,-0.35,-0.38,1.13,-1.29,-0.87,-1.17,0.0,-1.64,0.0
