,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
revenue,29.856,26.753,21.779,22.017,4.608,1.655,1.588,13.76,21.658,17.151,12.257,12.905,11.289,10.004,7.419,6.675,3.259,3.187,0.388,0.18,0.214,0.045,0.1,0.169,0.196,0.14,1.095,1.583,1.417,1.526,1.496,1.143,0.987,1.155,1.239,0.976,0.254,0.497,0.378,0.434,0.442,0.371,0.197,,0.501
cost-goods-sold,0.278,0.055,0.131,0.157,0.036,0.116,0.203,0.466,0.184,0.157,0.271,0.38,0.378,0.327,0.327,0.417,0.248,0.365,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,29.578,26.698,21.648,21.86,4.572,1.539,1.385,13.294,21.474,16.994,11.986,12.525,10.911,9.677,7.092,6.258,3.011,2.822,0.377,0.18,0.214,0.045,0.1,0.169,0.196,0.14,1.095,1.583,1.417,1.526,1.496,1.143,0.987,1.155,1.239,0.976,0.254,0.497,0.378,0.434,0.442,0.371,0.197,,0.501
research-development-expenses,23.746,19.108,26.255,25.446,26.862,19.412,18.14,15.387,14.835,13.137,12.24,12.542,12.492,10.231,15.434,14.897,13.264,10.9,9.318,11.75,11.772,12.407,12.017,10.186,9.42,9.564,7.127,9.354,7.764,7.558,7.246,8.895,5.321,4.077,5.425,6.947,5.316,6.12,5.082,4.638,3.692,4.577,4.022,,4.737
selling-general-administrative-expenses,16.933,16.928,14.632,14.888,13.152,12.744,10.934,12.028,11.749,15.796,12.471,11.84,10.457,10.375,11.11,9.401,9.048,7.889,8.989,8.405,5.574,4.855,3.767,3.885,4.21,3.736,3.988,3.715,2.736,2.212,2.322,2.095,1.83,2.027,2.264,2.586,2.428,2.011,1.721,1.111,1.277,1.475,1.41,,3.428
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.953,,,,,,,,,,,,,,,,
operating-expenses,40.957,36.091,41.018,40.491,40.05,32.272,29.277,27.881,26.768,29.09,24.982,24.762,23.327,20.933,26.871,24.715,22.56,19.154,18.318,20.155,17.346,17.262,15.784,14.071,13.63,13.3,11.115,9.116,14.453,9.77,9.568,10.99,7.151,6.104,7.689,9.533,7.744,8.131,6.803,5.749,4.969,6.052,5.432,,8.165
operating-income,-11.101,-9.338,-19.239,-18.474,-35.442,-30.617,-27.689,-14.121,-5.11,-11.939,-12.725,-11.857,-12.038,-10.929,-19.452,-18.04,-19.301,-15.967,-17.93,-19.975,-17.132,-17.217,-15.684,-13.902,-13.434,-13.16,-10.02,-7.533,-13.036,-8.244,-8.072,-9.847,-6.164,-4.949,-6.45,-8.557,-7.49,-7.634,-6.425,-5.315,-4.527,-5.681,-5.235,,-7.664
total-non-operating-income-expense,-5.362,-5.115,-5.106,-17.99,-4.03,-3.079,-2.365,-2.43,-2.372,-2.42,-2.364,-7.775,-1.924,-1.683,-1.087,-1.786,-0.62,-0.713,-0.739,-0.738,-1.195,-0.774,-0.958,12.057,-0.436,-0.432,-0.469,-0.201,-0.24,-0.295,-0.823,-0.354,-0.348,-0.342,-0.092,1.326,-0.065,-0.17,-0.236,-0.267,0.611,-0.428,-0.247,,0.284
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-16.463,-14.453,-24.345,-23.535,-39.472,-33.696,-30.054,-16.551,-7.482,-14.359,-15.089,-19.632,-13.962,-12.612,-20.539,-19.826,-19.921,-16.68,-18.669,-20.713,-18.327,-17.991,-16.642,-1.845,-13.87,-13.592,-10.489,-7.734,-13.276,-8.539,-8.895,-10.201,-6.512,-5.291,-6.542,-7.231,-7.555,-7.804,-6.661,-5.582,-3.916,-6.109,-5.482,,-7.38
ebitda,-10.666,-8.888,-18.862,-18.166,-35.217,-30.411,-27.466,-13.948,-4.966,-11.82,-12.61,-11.768,-11.949,-10.86,-19.399,-17.992,-19.247,-15.915,-17.875,-19.904,-17.05,-17.135,-15.602,-13.822,-13.357,-13.082,-9.953,-7.445,-12.969,-8.172,-7.979,-9.748,-6.055,-4.89,-6.282,-8.493,-7.343,-7.497,-6.301,-5.212,-4.424,-5.558,-5.113,,-7.664
ebit,-11.101,-9.338,-19.239,-18.474,-35.442,-30.617,-27.689,-14.121,-5.11,-11.939,-12.725,-11.857,-12.038,-10.929,-19.452,-18.04,-19.301,-15.967,-17.93,-19.975,-17.132,-17.217,-15.684,-13.902,-13.434,-13.16,-10.02,-7.533,-13.036,-8.244,-8.072,-9.847,-6.164,-4.949,-6.45,-8.557,-7.49,-7.634,-6.425,-5.315,-4.527,-5.681,-5.235,,-7.664
basic-shares-outstanding,49.373,49.084,49.014,48.583,48.647,48.384,48.284,45.539,46.262,44.037,43.829,40.446,41.059,39.179,38.317,37.56,37.923,37.847,36.484,33.234,34.006,33.933,30.897,28.56,29.844,28.2,25.908,24.156,25.835,22.467,22.435,22.212,22.246,22.168,22.057,21.421,21.488,21.381,21.294,7.219,2.93,2.93,2.929,,2.91
shares-outstanding,49.373,49.084,49.014,48.583,48.647,48.384,48.284,45.539,46.262,44.037,43.829,40.446,41.059,39.179,38.317,37.56,37.923,37.847,36.484,33.234,34.006,33.933,30.897,28.56,29.844,28.2,25.908,24.156,25.835,22.467,22.435,22.212,22.246,22.168,22.057,21.421,21.488,21.381,21.294,7.219,2.93,2.93,2.929,,2.91
eps-basic-net-earnings-per-share,-0.33,-0.29,-0.5,-0.48,-0.81,-0.7,-0.62,-0.34,-0.16,-0.33,-0.34,-0.45,-0.34,-0.32,-0.54,-0.52,-0.53,-0.44,-0.51,-0.61,-0.54,-0.53,-0.54,-0.05,-0.46,-0.48,-0.4,-0.3,-0.51,-0.38,-0.4,-0.46,-0.29,-0.24,-0.3,-0.35,-0.35,-0.36,-0.31,2.38,-1.34,-2.09,-1.87,,-2.54
eps-earnings-per-share-diluted,-0.33,-0.29,-0.5,-0.48,-0.81,-0.7,-0.62,-0.34,-0.16,-0.33,-0.34,-0.45,-0.34,-0.32,-0.54,-0.52,-0.53,-0.44,-0.51,-0.61,-0.54,-0.53,-0.54,-0.05,-0.46,-0.48,-0.4,-0.3,-0.51,-0.38,-0.4,-0.46,-0.29,-0.24,-0.3,-0.35,-0.35,-0.36,-0.31,2.38,-1.34,-2.09,-1.87,0.0,-2.54
