,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
revenue,14.7,7.881,0.884,40.777,5.306,40.031,132.391,2.04,1.336,6.562,0.455,1.696,0.125,2.375,0.393,4.441,1.14,1.363,0.644,,0.483,
cost-goods-sold,2.494,1.927,0.029,2.843,0.517,3.872,2.408,-0.382,0.683,1.317,0.091,0.33,0.035,0.498,0.096,0.883,0.257,0.31,0.053,,0.012,
gross-profit,12.206,5.954,0.855,37.934,4.789,36.159,129.983,2.422,0.653,5.245,0.364,1.366,0.09,1.877,0.297,3.558,0.883,1.053,0.591,,0.471,
research-development-expenses,35.692,29.483,25.203,24.329,18.508,21.486,19.55,14.17,12.518,13.917,16.619,16.059,12.56,10.68,6.183,4.812,5.664,4.012,2.791,,1.085,
selling-general-administrative-expenses,12.402,13.405,11.558,11.144,9.008,8.318,8.38,4.808,9.444,6.355,6.622,5.742,6.2,6.169,5.479,4.232,2.567,3.397,1.716,,1.07,
other-operating-income-expenses,-0.008,0.062,,-0.011,0.002,-0.005,-0.028,-0.042,,-0.029,-0.045,-0.034,0.002,0.02,0.114,-0.015,0.001,0.06,-0.077,,-0.017,
operating-expenses,50.596,44.753,36.79,38.327,28.031,33.681,30.366,18.638,22.645,21.618,23.377,22.165,18.793,17.327,11.644,9.942,8.487,7.659,4.637,,2.184,
operating-income,-35.896,-36.872,-35.906,2.45,-22.725,6.35,102.025,-16.598,-21.309,-15.056,-22.922,-20.469,-18.668,-14.952,-11.251,-5.501,-7.347,-6.296,-3.993,,-1.701,
total-non-operating-income-expense,1.147,35.286,3.608,3.477,2.231,8.094,2.214,0.601,0.603,0.583,0.929,0.426,0.514,0.515,0.483,0.323,0.015,0.006,-0.018,,-0.092,
pre-tax-income,-34.749,-1.586,-32.298,5.927,-20.494,14.444,104.239,-15.997,-20.706,-14.473,-21.993,-20.043,-18.154,-14.437,-10.768,-5.178,-7.332,-6.29,-4.011,,-1.793,
total-provision-income-taxes,-0.165,-0.129,-0.07,1.621,-1.292,3.85,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,
net-income,-34.584,-1.457,-32.228,4.306,-19.202,10.594,104.239,-15.997,-20.706,-14.473,-21.993,-19.608,-18.154,-14.437,-10.768,-5.178,-7.332,-8.792,-2.497,,-1.919,
ebitda,-34.327,-35.543,-34.66,3.627,-21.613,7.586,103.237,-15.47,-20.138,-13.877,-21.899,-19.687,-17.993,-14.38,-10.732,-5.154,-7.318,-6.296,-3.993,,-1.701,
ebit,-35.896,-36.872,-35.906,2.45,-22.725,6.35,102.025,-16.598,-21.309,-15.056,-22.922,-20.469,-18.668,-14.952,-11.251,-5.501,-7.347,-6.296,-3.993,,-1.701,
basic-shares-outstanding,36.813,36.669,36.366,33.427,33.988,32.082,31.632,29.878,30.94,30.662,26.673,26.409,26.469,26.362,26.327,9.173,4.809,2.712,2.645,,2.643,
shares-outstanding,36.813,36.669,36.366,36.648,33.988,35.272,34.275,29.878,30.94,30.662,26.673,26.409,26.469,26.362,26.327,9.173,4.809,2.712,2.645,,2.643,
eps-basic-net-earnings-per-share,-0.94,-0.04,-0.89,-0.08,-0.56,0.33,3.3,-0.49,-0.67,-0.47,-0.82,-0.73,-0.69,-0.55,-0.41,3.11,-1.52,-3.24,-0.94,,-0.73,
eps-earnings-per-share-diluted,-0.94,-0.04,-0.89,-0.05,-0.56,0.3,3.04,-0.49,-0.67,-0.47,-0.82,-0.73,-0.69,-0.55,-0.41,3.11,-1.52,-3.24,-0.94,0.0,-0.73,0.0
