,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,0.01,0.049,1.005,0.013,0.011,0.002,10.479,0.012,143.844,0.015,0.02,0.021,0.026,0.071,0.056,10.305,1.709,53.409,1.306,1.31,4.418,1.235,1.613,1.413,0.681,17.441,5.873,,
research-development-expenses,13.511,14.496,15.79,14.6,11.031,8.862,8.656,7.565,7.136,7.285,8.237,8.66,8.054,9.816,10.453,6.386,7.135,8.42,6.944,7.068,8.569,6.243,5.594,5.35,5.668,5.753,5.039,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,18.253,19.474,21.399,20.076,17.351,14.376,14.286,12.749,12.011,12.992,13.49,12.173,11.494,13.644,14.03,9.642,10.403,11.719,10.177,10.055,12.026,8.961,8.132,7.02,7.797,8.026,7.003,,
operating-income,-18.243,-19.425,-20.394,-20.063,-17.34,-14.374,-3.807,-12.737,131.833,-12.977,-13.47,-12.152,-11.468,-13.573,-13.974,0.663,-8.694,41.69,-8.871,-8.745,-7.608,-7.726,-6.519,-5.607,-7.116,9.415,-1.13,,
total-non-operating-income-expense,1.058,0.757,-1.432,-0.771,-0.029,1.329,-0.656,4.194,-1.591,-0.05,0.137,0.109,0.112,0.132,0.094,0.044,-0.021,-0.077,-0.131,-0.182,-0.224,-0.264,-0.431,-0.336,-0.011,-0.65,-0.649,,
pre-tax-income,-17.185,-18.668,-21.826,-20.834,-17.369,-13.045,-4.463,-8.543,130.242,-13.027,-13.333,-12.043,-11.356,-13.441,-13.88,0.707,-8.715,41.613,-9.002,-8.927,-7.832,-7.99,-6.95,-5.92,-7.127,8.765,-1.779,,
total-provision-income-taxes,,,,0.015,0.018,0.28,,-2.477,2.177,,,,,,,0.023,-0.161,0.567,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-17.185,-18.668,-21.826,-20.849,-17.387,-13.325,-4.463,-5.769,127.324,-13.027,-13.333,-12.043,-11.356,-13.441,-13.88,0.684,-8.554,41.046,-9.002,-8.927,-7.832,-7.99,-7.005,-5.915,-7.227,0.0,-1.877,,
ebitda,-18.129,-19.332,-20.244,-20.04,-17.281,-14.385,-3.803,-12.576,132.138,-12.738,-13.235,-11.891,-11.186,-13.3,-13.708,0.956,-8.366,42.042,-8.549,-8.458,-7.052,-7.23,-6.204,-5.592,-6.655,9.656,-0.887,,
ebit,-18.243,-19.425,-20.394,-20.063,-17.34,-14.374,-3.807,-12.737,131.833,-12.977,-13.47,-12.152,-11.468,-13.573,-13.974,0.663,-8.694,41.69,-8.871,-8.745,-7.608,-7.726,-6.519,-5.607,-7.116,9.415,-1.13,,
basic-shares-outstanding,23.807,23.79,23.508,23.37,23.421,23.402,23.223,22.641,22.694,22.579,22.377,22.233,22.229,22.217,22.198,21.152,21.949,21.762,18.726,15.842,18.098,17.937,9.188,1.275,1.293,1.29,1.29,,
shares-outstanding,23.807,23.79,23.508,23.37,23.421,23.402,23.223,23.442,23.421,22.579,22.377,22.233,22.229,22.217,22.198,22.267,21.949,22.85,18.726,15.842,18.098,17.937,9.188,1.275,1.293,2.638,1.29,,
eps-basic-net-earnings-per-share,-0.72,-0.78,-0.93,-0.9,-0.74,-0.57,-0.19,-0.23,5.61,-0.58,-0.6,-0.54,-0.51,-0.6,-0.63,0.12,-0.39,1.89,-0.48,-0.36,-0.43,-0.45,-0.76,-4.64,-5.59,,-1.46,,
eps-earnings-per-share-diluted,-0.72,-0.78,-0.93,-0.9,-0.74,-0.57,-0.19,-0.2,5.44,-0.58,-0.6,-0.54,-0.51,-0.6,-0.63,0.16,-0.39,1.8,-0.48,-0.36,-0.43,-0.45,-0.76,-4.64,-5.59,0.0,-1.46,0.0,0.0
