,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31
revenue,771.3,781.6,731.1,799.3002,761.1,770.2,736.2,,697.1,,
cost-goods-sold,360.4,356.0,343.8,412.5,369.8,431.5,360.0,,376.2,,
gross-profit,410.9,425.6,387.3,386.8002,391.3,338.7,376.2,,320.9,,
research-development-expenses,69.9,68.8,64.1,61.1,58.9,61.4,65.2,,61.9,,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,750.5,706.8,662.9,754.7999,668.8,801.4,656.8,,708.1,,
operating-income,20.8,74.8,68.2,44.5003,92.2999,-31.2,79.4,,-11.0001,,
total-non-operating-income-expense,-33.3,-24.6,-23.4,-46.7,-13.5,-8.8,-1.9,,1.9,,
pre-tax-income,-12.5,50.2,44.8,-2.2,78.8,-40.0,77.5,,-9.1,,
total-provision-income-taxes,-22.5,14.3,13.3,-18.6,18.6,22.8,4.8,,11.6,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,10.0,35.9,31.5,16.4,60.2,-62.8,72.7,,-20.7,,
ebitda,99.5,144.1,151.3,118.2003,164.9999,44.1,153.7,,-11.0001,,
ebit,20.8,74.8,68.2,44.5001,92.2999,-31.2,79.4,,-11.0001,,
basic-shares-outstanding,371.6,365.7,365.7,313.7,301.2,293.3,293.3,,365.6,,
shares-outstanding,373.2,367.0,366.0,313.7,301.2,293.3,293.3,,365.6,,
eps-basic-net-earnings-per-share,0.03,0.1,0.09,0.04,0.2,-0.21,0.25,,-0.06,,
eps-earnings-per-share-diluted,0.03,0.1,0.09,0.04,0.2,-0.21,0.25,0.0,-0.06,0.0,0.0
