,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,0.205,0.167,0.186,0.194,0.255,0.279,0.227,0.229,0.219,26.812,0.259,0.171,0.286,0.333,0.265,0.307,0.429,0.278,0.593,2.013,1.486,15.121,32.234,0.167,0.171,0.167,0.171,0.575,0.944,0.735,0.404,,
research-development-expenses,12.486,9.583,13.296,16.51,18.515,31.452,34.706,33.502,41.315,34.032,25.698,39.844,26.838,32.359,20.493,17.89,17.185,12.791,10.573,10.107,10.388,8.615,9.342,5.6,6.348,8.147,5.957,9.84,7.53,8.019,8.757,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,21.177,18.664,23.14,22.949,24.578,63.348,48.935,47.546,53.753,44.944,36.53,49.448,42.974,40.493,27.675,24.519,23.09,18.313,15.622,15.118,14.618,13.552,14.215,10.869,9.737,11.359,9.138,12.81,9.612,10.446,11.215,,
operating-income,-20.972,-18.497,-22.954,-22.755,-24.323,-63.069,-48.708,-47.317,-53.534,-18.132,-36.271,-49.277,-42.688,-40.16,-27.41,-24.212,-22.661,-18.035,-15.029,-13.105,-13.132,1.569,18.019,-10.702,-9.566,-11.192,-8.967,-12.235,-8.668,-9.711,-10.811,,
total-non-operating-income-expense,1.992,2.531,2.287,0.845,0.726,1.241,-0.072,-0.154,-0.565,-0.856,-0.774,0.727,-0.13,-0.096,0.07,0.057,-0.077,-0.047,0.093,0.118,0.191,0.017,-0.016,-0.204,0.014,0.014,0.022,0.005,,,,,
pre-tax-income,-18.98,-15.966,-20.667,-21.91,-23.597,-61.828,-48.78,-47.471,-54.099,-18.988,-37.045,-48.55,-42.818,-40.256,-27.34,-24.155,-22.738,-18.082,-14.936,-12.987,-12.941,1.586,18.003,-10.906,-9.552,-11.178,-8.945,-12.22,-8.668,-9.711,-10.811,,
total-provision-income-taxes,0.468,-0.156,0.198,0.551,0.962,-1.946,-0.037,0.287,-1.705,-1.287,-1.661,0.353,0.421,0.189,0.181,0.002,0.238,0.195,0.266,0.123,0.241,0.296,0.151,0.148,0.137,0.124,0.006,0.006,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-19.448,-15.81,-20.865,-22.461,-24.559,-59.882,-48.743,-47.758,-52.394,-17.701,-35.384,-48.903,-43.239,-40.445,-27.521,-24.157,-22.976,-18.277,-15.202,-13.11,-13.182,1.29,17.852,-11.054,-9.689,-11.302,-8.951,-12.221,-8.668,-9.711,-10.811,,
ebitda,-19.26,-15.507,-22.569,-21.929,-23.529,-62.27,-47.911,-46.535,-52.767,-17.373,-35.512,-48.359,-41.858,-39.732,-27.159,-23.994,-22.461,-17.84,-14.836,-12.911,-12.94,1.751,18.194,-10.47,-9.422,-11.045,-8.83,-12.081,-8.59,-9.596,-10.698,,
ebit,-20.972,-18.497,-22.954,-22.755,-24.323,-63.069,-48.708,-47.317,-53.534,-18.132,-36.271,-49.277,-42.688,-40.16,-27.41,-24.212,-22.661,-18.035,-15.029,-13.105,-13.132,1.569,18.019,-10.702,-9.566,-11.192,-8.967,-12.235,-8.668,-9.711,-10.811,,
basic-shares-outstanding,39.897,39.872,39.864,39.559,39.85,39.824,38.684,37.654,38.292,38.073,35.758,34.351,34.413,34.358,34.026,30.326,31.441,30.792,27.401,24.672,27.37,21.959,21.884,18.615,17.679,17.679,17.679,14.886,14.497,14.497,14.497,,
shares-outstanding,39.897,39.872,39.864,39.559,39.85,39.824,38.684,37.654,38.292,38.073,35.758,34.351,34.413,34.358,34.026,30.326,31.441,30.792,27.401,24.672,27.37,22.898,22.942,18.615,17.679,17.679,17.679,14.886,14.497,14.497,14.497,,
eps-basic-net-earnings-per-share,-0.49,-0.4,-0.52,-0.55,-0.62,-1.5,-1.26,-1.25,-1.37,-0.46,-0.99,-1.41,-1.26,-1.18,-0.81,-0.79,-0.73,-0.59,-0.55,-0.69,-0.48,0.06,0.82,-0.5,-0.55,-0.64,-0.51,-0.82,-0.6,-0.67,-0.75,,
eps-earnings-per-share-diluted,-0.49,-0.4,-0.52,-0.55,-0.62,-1.5,-1.26,-1.25,-1.37,-0.46,-0.99,-1.41,-1.26,-1.18,-0.81,-0.79,-0.73,-0.59,-0.55,-0.65,-0.48,0.06,0.78,-0.5,-0.55,-0.64,-0.51,-0.82,-0.6,-0.67,-0.75,0.0,0.0
