,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,,,,,,,,,,,,
gross-profit,0.505,,0.367,0.781,0.548,0.657,0.442,0.535,0.64,0.832,0.045,
research-development-expenses,11.823,10.285,7.255,7.651,6.886,5.222,4.72,2.57,2.523,2.083,2.065,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,15.734,13.345,10.411,10.212,8.618,6.34,5.968,3.049,3.014,2.475,2.654,
operating-income,-15.229,-13.345,-10.044,-9.431,-8.07,-5.683,-5.526,-2.514,-2.374,-1.643,-2.609,
total-non-operating-income-expense,0.799,0.918,1.028,0.936,0.482,0.115,0.062,-0.02,-0.008,-0.005,0.003,
pre-tax-income,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-14.43,-12.427,-9.016,-8.495,-7.588,-5.568,-5.464,-2.537,-2.382,-1.648,-2.606,
ebitda,-15.321,-13.457,-10.191,-9.223,-7.931,-5.607,-5.478,-2.474,-2.346,-1.618,-2.582,
ebit,-15.229,-13.345,-10.044,-9.431,-8.07,-5.683,-5.526,-2.514,-2.374,-1.643,-2.609,
basic-shares-outstanding,24.208,24.161,24.095,12.142,20.016,2.307,1.87,1.371,1.43,1.348,1.198,
shares-outstanding,24.208,24.161,24.095,12.142,20.016,2.307,1.87,1.371,1.43,1.348,1.198,
eps-basic-net-earnings-per-share,-0.6,-0.51,-0.37,3.48,-0.38,-2.41,-2.92,-1.61,-1.67,-1.22,-2.18,
eps-earnings-per-share-diluted,-0.6,-0.51,-0.37,3.48,-0.38,-2.41,-2.92,-1.61,-1.67,-1.22,-2.18,0.0
