,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-10-31,2015-09-30,2015-07-31,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
revenue,268.61,277.169,250.801,296.983,272.082,287.498,250.398,278.356,251.253,255.843,226.825,61.574,295.268,321.047,286.969,,67.5208,67.521,81.0108,81.011,,74.072,72.0652,73.4172,72.004,,68.1914,70.1011,68.8724,,62.7,62.9557,60.3212,,54.5366,53.6951,52.6621,,47.0815,47.4616,44.7988,,40.8213,40.7182,38.5012,,35.26,36.032,33.7319,,29.3159,28.9467,29.0755,,31.6643,34.1408,33.7315,,31.3042,29.0703,27.0195,,26.2125
cost-goods-sold,89.204,80.055,87.201,92.91,97.734,93.535,88.313,106.13,89.394,85.746,79.176,42.461,107.143,131.502,124.273,,9.536,9.536,9.4331,9.433,,7.595,6.5399,6.7659,6.4104,,6.4601,6.9261,6.544,,5.3672,5.1698,5.0112,,4.0995,4.1607,6.922,,5.8074,5.5513,5.4622,,4.9526,5.1177,5.3401,,4.9344,5.1778,4.8168,,5.0707,4.5761,5.5518,,4.9274,3.8039,3.8013,,3.8828,3.8065,3.7812,,3.7536
gross-profit,179.406,197.114,163.6,204.073,174.348,193.963,162.085,172.226,161.859,170.097,147.649,19.113,188.125,189.545,162.696,,57.9847,57.985,71.5777,71.578,,66.477,65.5254,66.6513,65.5936,,61.7313,63.175,62.3283,,57.3328,57.7858,55.31,,50.4371,49.5344,45.74,,41.2741,41.9103,39.3366,,35.8686,35.6005,33.1611,,30.3255,30.8542,28.9151,,24.2453,24.3706,23.5237,,26.7369,30.3369,29.9302,,27.4214,25.2638,23.2382,,22.4589
research-development-expenses,45.904,34.544,43.575,37.64,42.417,34.215,31.752,32.394,22.903,33.833,20.386,-11.998,32.175,30.211,31.69,,15.249,14.739,10.0613,9.804,,10.689,10.5303,10.8169,10.5628,,11.2019,11.6535,11.9752,,10.2443,10.0424,9.7193,,9.0977,8.8874,8.2214,,7.4948,7.0259,6.4689,,5.6129,5.1452,5.0301,,5.1296,4.8062,4.6082,,5.0172,5.8861,6.3077,,7.4318,6.9744,6.9536,,7.6003,7.5484,6.4253,,4.5353
selling-general-administrative-expenses,123.015,127.213,125.704,122.231,115.136,123.439,104.161,101.295,97.201,94.264,87.34,9.42,109.233,120.645,115.866,,41.1857,41.186,33.7058,33.706,,29.69,31.3286,29.5728,33.0276,,29.4273,29.6339,29.3063,,26.6469,27.5695,28.3233,,24.9411,25.5802,26.0084,,22.0781,22.1195,21.1765,,21.2248,21.372,21.6189,,20.2134,21.5314,21.5248,,18.963,22.0928,25.1251,,37.9659,35.6187,31.3859,,34.6445,38.5937,36.3778,,18.9636
other-operating-income-expenses,27.118,-4.378,-3.251,-298.413,-12.659,-4.409,-2.96,-7.82,-2.01,-3.512,-2.186,0.16,-7.576,-6.2,-6.761,,-27.9021,-27.902,-6.5488,-6.549,,-8.692,,,0.0,,,,-7.4428,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,242.849,307.045,271.58,573.4351,277.839,265.891,237.868,259.413,221.231,228.068,207.078,36.9571,272.283,299.096,323.074,,93.8727,93.873,59.749,59.749,,57.351,48.3988,47.1555,50.0008,,47.0894,48.2135,55.2683,,42.2585,42.7817,43.0538,,38.1383,38.6283,41.1519,,35.3803,34.6966,33.1076,,31.7903,31.6349,31.9891,,30.2774,31.5154,30.9497,,29.0509,32.555,36.9846,,50.325,46.3971,42.1408,,46.1275,49.9487,46.5844,,27.2526
operating-income,25.761,-29.876,-20.779,-276.452,-5.757,21.607,12.53,18.943,30.022,27.775,19.747,24.6169,22.985,21.951,-36.105,,-26.352,-26.352,21.2619,21.262,,16.721,23.6664,26.2617,22.0032,,21.1021,21.8876,13.604,,20.4416,20.174,17.2674,,16.3982,15.0667,11.5102,,11.7012,12.7649,11.6912,,9.0309,9.0832,6.5121,,4.9826,4.5165,2.7822,,0.2651,-3.6083,-7.9091,,-18.6608,-12.2563,-8.4093,,-14.8233,-20.8784,-19.5649,,-1.0401
total-non-operating-income-expense,-4.296,-5.681,-0.684,-2.902,-3.176,-2.844,9.547,-11.05,-0.695,35.265,1.131,-2.234,-1.694,-1.04,-2.814,,-0.1951,-0.195,-2.0434,-2.044,,0.143,0.2539,0.036,0.2091,,0.0042,0.0047,-0.0873,,-0.1054,1.1549,-4.0131,,-0.2552,-0.339,0.1066,,-0.0562,-0.2796,-0.0847,,0.0846,0.5977,1.5568,,5.0851,3.955,-0.6361,,-1.2533,-0.4537,-0.2374,,-0.7033,-0.1965,-0.1045,,-0.0066,0.3633,0.1709,,0.2277
pre-tax-income,21.465,-35.557,-21.463,-279.354,-8.933,18.763,22.077,7.893,29.327,63.04,20.878,22.383,21.291,20.911,-38.919,,-26.547,-26.547,19.2185,19.218,,16.864,23.9204,26.2977,22.2123,,21.1062,21.8924,13.5168,,20.3319,21.3288,13.2543,,16.1431,14.7278,11.6167,,11.645,12.4854,11.6065,,9.1156,9.6809,8.0689,,10.0677,8.4715,2.146,,-0.9883,-4.062,-8.1465,,-19.364,-12.4528,-8.5137,,-14.8299,-20.515,-19.394,,-0.8123
total-provision-income-taxes,-10.653,-6.164,-6.614,-69.832,-2.66,-1.03,3.893,39.135,1.905,3.259,5.655,-11.778,9.731,8.418,-1.258,,-1.4557,-1.456,6.7993,6.799,,6.35,7.3789,9.0245,8.6935,,7.2064,8.0039,4.8428,,7.1484,7.7619,5.1792,,6.6409,5.7,4.7322,,4.4531,-12.4559,4.4432,,0.2666,-40.4632,0.2035,,0.2731,0.1213,0.0932,,0.009,0.0153,0.0169,,0.0213,0.0409,0.0197,,0.0018,0.0362,0.02,,0.005
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,32.118,-29.393,-14.849,-209.539,-6.273,19.528,17.822,-31.456,27.015,45.679,13.227,34.864,-1.569,8.957,-40.378,,-25.0914,-25.091,12.4192,12.419,,10.514,16.5415,17.2732,13.5188,,13.8999,13.8885,8.6739,,13.1835,13.5669,8.075,,9.5022,9.0278,6.8846,,7.192,24.9413,7.1633,,8.849,50.1441,7.8655,,9.7946,8.3502,2.0528,,-0.9973,-4.0773,-8.1635,,-19.3853,-12.4937,-8.5334,,-14.8317,-20.5512,-19.414,,-0.8173
income-from-discontinued-operations,,0.178,,-1.022,-0.904,-4.462,-4.549,-80.232,0.815,1.819,-1.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,32.118,-29.215,-14.849,-210.561,-7.177,15.066,13.273,-111.688,27.83,47.498,11.271,-29.799,-1.569,8.957,-40.378,,-25.0914,-25.091,12.4192,12.419,,10.514,16.5415,17.2732,13.5188,,13.8999,13.8885,8.6739,,13.1835,13.5669,8.075,,9.5022,9.0278,6.8846,,7.192,24.9412,7.1633,,8.849,50.1441,7.8655,,9.7946,8.3502,2.0528,,-0.9973,-4.0773,-8.1635,,-19.3853,-12.4937,-8.5334,,-14.8317,-20.5512,-19.414,,-0.8173
ebitda,47.39,-4.752,-2.505,-250.328,11.03,42.891,31.645,46.506,58.315,59.933,46.452,73.0139,53.928,45.204,-9.035,,-22.7683,-28.3424,19.2714,21.1663,,20.3047,27.2501,29.272,22.0032,,24.1124,24.2082,13.604,,22.7621,21.7446,17.2674,,17.9689,16.2877,11.5102,,12.9222,13.5577,11.6912,,9.8237,9.6027,6.5121,,5.502,7.6482,2.7822,,3.3967,-1.5105,-7.9091,,-16.5629,-9.5915,-8.4093,,-12.1586,-17.8093,-19.5649,,2.029
ebit,25.761,-29.876,-20.779,-276.452,-5.757,21.607,12.53,18.943,30.022,27.775,19.747,24.6169,22.985,21.951,-36.105,,-26.352,-26.352,21.2619,21.262,,16.721,23.6664,26.2617,22.0032,,21.1021,21.8876,13.604,,20.4416,20.174,17.2674,,16.3982,15.0667,11.5102,,11.7012,12.7649,11.6912,,9.0309,9.0832,6.5121,,4.9826,4.5165,2.7822,,0.2651,-3.6083,-7.9091,,-18.6608,-12.2563,-8.4093,,-14.8233,-20.8784,-19.5649,,-1.0401
basic-shares-outstanding,48.395,48.342,48.246,48.497,48.637,48.487,48.324,48.157,48.181,48.14,48.067,48.86,49.075,49.056,48.918,,26.025,26.025,25.996,25.996,,26.024,26.267,26.575,26.674,,26.965,27.274,27.513,,27.737,27.649,27.493,,27.56,27.883,28.224,,28.122,27.947,27.771,,27.7638,27.749,27.532,,26.699,26.681,26.421,,26.719,26.529,26.354,,25.4785,25.418,25.3145,,24.8723,25.0639,24.8297,,23.9338
shares-outstanding,48.82,48.342,48.246,48.497,48.637,49.338,49.187,48.501,48.534,48.303,48.178,49.014,49.075,49.162,48.918,,26.025,26.025,26.228,26.228,,26.269,26.479,26.792,26.915,,27.279,27.579,27.845,,28.124,28.063,27.937,,28.035,28.322,28.724,,28.753,28.42,28.213,,28.1451,28.877,27.748,,27.026,27.517,26.799,,26.719,26.529,26.354,,25.4785,25.418,25.3145,,24.8723,25.0639,24.8297,,23.9338
eps-basic-net-earnings-per-share,0.66,-0.6,-0.31,-4.34,-0.15,0.31,0.27,-2.32,0.58,0.99,0.23,-0.61,-0.03,0.18,-0.83,,-0.96,-0.96,0.48,0.48,,0.4,0.63,0.65,0.51,,0.52,0.51,0.32,,0.48,0.49,0.29,,0.34,0.32,0.24,,0.26,0.89,0.26,,0.32,1.81,0.29,,0.37,0.31,0.08,,-0.04,-0.15,-0.31,,-0.76,-0.49,-0.34,,-0.6,-0.82,-0.78,,-0.03
eps-earnings-per-share-diluted,0.66,-0.6,-0.31,-4.34,-0.15,0.31,0.27,-2.3,0.57,0.98,0.23,-0.6,-0.03,0.18,-0.83,0.0,-0.96,-0.96,0.47,0.47,0.0,0.4,0.62,0.64,0.5,0.0,0.51,0.5,0.31,0.0,0.47,0.48,0.29,0.0,0.34,0.32,0.24,0.0,0.25,0.88,0.25,0.0,0.29,1.73,0.23,0.0,0.15,0.14,0.08,0.0,-0.04,-0.15,-0.31,0.0,-0.76,-0.49,-0.34,0.0,-0.6,-0.82,-0.78,0.0,-0.03
