,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
revenue,24.056,26.659,26.673,32.783,24.666,26.3,24.723,29.529,22.313,23.985,20.474,24.231,18.468,19.317,16.692,18.791,14.232,15.198,13.372,13.425,9.1,8.565,7.497,6.972,4.279,3.936,2.744,
cost-goods-sold,4.876,5.046,4.645,6.371,5.202,5.558,5.482,5.123,3.808,3.684,2.884,3.888,2.788,3.117,3.21,3.715,2.877,2.904,2.792,2.967,2.576,2.32,2.36,2.58,1.438,2.202,1.949,
gross-profit,19.18,21.613,22.028,26.412,19.464,20.742,19.241,24.406,18.505,20.301,17.59,20.343,15.68,16.2,13.482,15.076,11.355,12.294,10.58,10.458,6.524,6.245,5.137,4.392,2.841,1.734,0.795,
research-development-expenses,6.145,6.041,6.266,5.743,4.872,4.374,4.273,5.618,4.346,4.176,4.22,5.57,4.237,4.588,4.495,4.445,4.799,4.038,3.326,2.619,2.758,2.377,2.577,2.77,2.077,2.421,2.256,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,37.45,38.698,38.118,38.436,32.834,30.937,31.271,33.039,26.9,26.542,27.423,29.291,24.93,25.5,25.098,24.64,24.096,21.059,18.738,17.081,15.001,12.988,11.595,11.44,8.215,8.71,7.555,
operating-income,-13.394,-12.039,-11.445,-5.653,-8.168,-4.637,-6.548,-3.51,-4.587,-2.557,-6.949,-5.06,-6.462,-6.183,-8.406,-5.849,-9.864,-5.861,-5.366,-3.656,-5.901,-4.423,-4.098,-4.468,-3.936,-4.774,-4.811,
total-non-operating-income-expense,0.546,0.655,0.64,0.623,0.572,0.477,0.412,0.358,0.326,0.288,0.268,0.244,0.236,0.224,0.185,0.104,0.126,0.048,0.028,-0.03,0.016,0.041,-0.311,-0.192,-0.163,-0.111,0.058,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-12.848,-11.384,-10.805,-5.03,-7.596,-4.16,-6.136,-3.152,-4.261,-2.269,-6.681,-4.816,-6.226,-5.959,-8.221,-5.745,-9.738,-5.813,-5.338,-3.686,-5.885,-4.382,-4.409,-4.632,-4.099,-4.885,-4.753,
ebitda,-12.639,-11.482,-10.968,-5.391,-8.018,-4.385,-6.217,-3.112,-4.176,-2.215,-6.617,-4.742,-6.179,-5.848,-8.028,-5.369,-9.359,-5.574,-5.13,-3.355,-5.736,-4.277,-3.963,-4.342,-3.808,-4.652,-4.687,
ebit,-13.394,-12.039,-11.445,-5.653,-8.168,-4.637,-6.548,-3.51,-4.587,-2.557,-6.949,-5.06,-6.462,-6.183,-8.406,-5.849,-9.864,-5.861,-5.366,-3.656,-5.901,-4.423,-4.098,-4.468,-3.936,-4.774,-4.811,
basic-shares-outstanding,31.483,31.362,30.918,30.313,30.475,30.264,29.878,29.119,29.269,28.95,28.708,28.42,28.479,28.379,28.207,26.159,27.979,25.015,23.488,11.384,18.217,1.86,1.773,1.755,1.718,1.323,1.039,
shares-outstanding,31.483,31.362,30.918,30.313,30.475,30.264,29.878,29.119,29.269,28.95,28.708,28.42,28.479,28.379,28.207,26.159,27.979,25.015,23.488,11.384,18.217,1.86,1.773,1.755,1.718,1.323,1.039,
eps-basic-net-earnings-per-share,-0.41,-0.36,-0.35,-0.16,-0.25,-0.14,-0.21,-0.1,-0.15,-0.08,-0.23,-0.17,-0.22,-0.21,-0.29,-0.21,-0.35,-0.23,-0.23,3.56,-0.32,-2.36,-2.49,-2.64,-2.39,-3.69,-4.57,
eps-earnings-per-share-diluted,-0.41,-0.36,-0.35,-0.16,-0.25,-0.14,-0.21,-0.1,-0.15,-0.08,-0.23,-0.17,-0.22,-0.21,-0.29,-0.21,-0.35,-0.23,-0.23,3.56,-0.32,-2.36,-2.49,-2.64,-2.39,-3.69,-4.57,0.0
