,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
revenue,48.768,44.13,34.046,32.644,20.596,21.309,16.696,14.729,10.874,7.158,4.169,2.831,2.127,,,,,,,,0.293,0.475,0.456,0.324,0.039,,,0.0,,10.637,7.774,5.63,5.798,4.04,5.966,,,,,49.478,4.913,5.361,4.606,4.347,3.653,3.807,3.16,,,,,,
cost-goods-sold,5.596,5.367,4.055,4.344,4.31,3.135,2.615,2.61,1.79,1.061,0.775,0.489,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,43.172,38.763,29.991,28.3,16.286,18.174,14.081,12.119,9.084,6.097,3.394,2.342,1.783,,,,,,,,0.293,0.475,0.456,0.324,0.039,,,0.0,,10.637,7.774,5.63,5.798,4.04,5.966,,,,,49.478,4.913,5.361,4.606,4.347,3.653,3.807,3.16,,,,,,
research-development-expenses,58.892,70.981,64.593,57.217,138.227,34.66,40.798,45.808,40.641,31.985,30.876,30.63,32.457,18.281,23.425,22.625,20.971,17.234,16.113,15.605,12.049,9.978,9.992,9.12,10.11,10.725,11.989,11.047,11.499,13.723,14.004,14.402,13.711,11.618,11.125,13.154,8.862,8.137,8.889,10.127,12.609,13.47,11.875,13.775,8.2,8.848,6.941,9.669,7.537,6.783,7.085,6.725,6.691
selling-general-administrative-expenses,39.68,42.578,44.303,38.765,31.867,29.172,27.396,28.581,21.647,19.311,19.132,18.681,17.469,19.3,15.701,17.192,15.372,8.278,6.427,5.518,5.27,4.753,5.176,4.605,4.635,4.83,4.823,4.455,4.995,5.819,4.095,3.917,4.841,6.72,4.402,3.823,3.892,4.02,3.925,4.338,5.217,5.223,5.195,4.991,4.371,5.118,5.186,5.285,3.954,3.189,2.85,3.783,2.563
other-operating-income-expenses,-0.789,-0.48,-1.383,-0.6,-1.3,-0.3,-1.1,-4.3,-221.177,-1.05,-4.578,2.468,4.11,-10.186,-3.152,-1.025,-1.3,-1.052,-1.0,-0.5,0.6,0.305,-0.505,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,106.073,120.56,115.325,102.127,176.777,68.24,72.878,82.406,286.106,54.219,56.184,48.238,47.067,48.542,43.001,41.391,38.045,26.943,24.058,21.998,17.109,14.741,16.077,16.114,15.174,16.005,17.251,15.923,16.916,19.984,18.519,18.66,18.932,18.764,15.965,17.459,13.265,12.686,13.35,16.534,18.387,19.212,17.575,19.224,12.953,14.298,12.448,15.267,11.806,10.284,10.232,10.753,9.471
operating-income,-57.305,-76.43,-81.279,-69.483,-156.181,-46.931,-56.182,-67.677,-275.232,-47.061,-52.015,-45.407,-44.94,-48.542,-43.001,-41.391,-38.045,-26.943,-24.058,-21.998,-16.816,-14.266,-15.621,-15.79,-15.135,-16.005,-17.251,-15.923,-16.916,-9.347,-10.745,-13.03,-13.134,-14.724,-9.999,-17.459,-13.265,-12.686,-13.35,32.944,-13.474,-13.851,-12.969,-14.877,-9.3,-10.491,-9.288,-15.267,-11.806,-10.284,-10.232,-10.753,-9.471
total-non-operating-income-expense,-4.755,-7.404,-38.852,-7.59,-3.033,-14.563,4.874,-2.072,-1.117,-1.026,-2.921,-16.273,-1.967,-2.961,-0.69,-1.506,0.245,-0.19,-0.23,-0.335,-0.333,-0.348,-0.322,0.041,0.546,0.656,-0.207,2.663,0.626,0.004,-2.392,0.739,3.375,2.083,-3.351,0.31,-2.092,1.371,0.174,0.013,0.045,0.228,0.497,0.727,0.97,1.272,1.632,1.71,1.503,0.888,0.537,-0.89,0.847
pre-tax-income,-62.06,-83.834,-120.131,-77.073,-159.214,-61.494,-51.308,-69.749,-276.349,-48.087,-54.936,-61.68,-46.907,-51.503,-43.691,-42.897,-37.8,-27.133,-24.288,-22.333,-17.149,-14.614,-15.943,-15.749,-14.589,-15.349,-17.458,-13.26,-16.29,-9.343,-13.137,-12.291,-9.759,-12.641,-13.35,-16.227,-15.357,-11.315,-13.176,32.957,-13.429,-13.623,-12.472,-14.15,-8.33,-9.219,-7.656,-11.773,-10.303,-9.396,-9.695,-11.643,-8.624
