,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30,2005-02-28
revenue,1393.343,1361.364,1324.631,1264.683,1267.401,1296.21,1252.964,1094.249,1077.014,1102.465,1091.517,977.7042,1053.795,1097.631,1088.33,1039.205,1021.123,887.065,795.343,771.6083,758.069,772.762,762.578,746.175,722.845,756.673,749.955,741.0861,713.669,750.193,744.021,718.441,694.131,698.749,693.186,637.3501,588.25,579.877,584.813,573.5431,545.621,559.535,561.172,547.0991,519.179,538.806,548.278,517.968,500.385,506.484,466.829,445.742,443.872,482.141,479.743,460.658,473.704,
cost-goods-sold,1183.111,1150.15,1132.092,1093.45,1087.062,1094.731,1065.813,946.898,939.079,920.194,929.138,910.4249,915.703,916.985,922.262,902.328,900.949,743.879,664.385,656.303,644.392,642.881,638.764,627.5611,617.281,625.73,624.904,620.278,598.984,612.669,611.619,599.6591,581.829,569.666,557.416,541.0189,498.739,470.044,472.377,466.664,448.702,453.011,451.394,448.819,441.395,449.356,452.271,441.639,429.831,410.952,377.627,364.865,362.07,372.5,385.197,363.48,371.559,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,34.385,31.339,28.677,30.317,29.975,29.194,31.782,30.632,27.065,28.275,28.075,25.701,27.088,25.87,28.268,24.135,22.201,24.041,21.675,28.028,19.719,19.377,18.123,23.856,17.74,17.927,17.398,16.286,17.13,18.554,14.224,14.698,14.975,16.115,16.566,20.302,19.228,9.802,12.789,12.131,34.618,12.885,12.775,9.68,11.538,12.654,11.651,7.016,12.081,12.182,11.584,10.003,9.762,11.549,12.2,27.221,13.075,
other-operating-income-expenses,,,,,,,,,,,,,-17.677,-17.517,-16.397,-16.129,-18.287,-12.286,-12.67,-12.11,-10.357,-11.115,-11.018,-9.994,-9.262,-8.846,-9.321,-7.452,-11.199,-10.029,-10.375,-11.345,-11.709,-13.943,-14.35,-9.698,-11.317,-10.845,-9.287,-7.194,-11.72,-10.312,-11.646,-12.504,-12.24,-10.445,-12.615,-12.366,-10.782,-8.835,-5.589,-0.044,-5.333,-8.433,-5.0,-4.378,-5.308,
operating-expenses,1270.437,1236.482,1212.907,1176.4,1167.564,1175.649,1144.366,1017.897,1004.916,986.802,999.752,921.9589,997.633,996.577,1001.444,976.905,972.9089,802.0541,716.078,713.7863,692.052,690.569,684.134,677.9312,660.446,668.41,667.425,660.1631,642.85,656.68,652.417,644.4532,626.0579,617.723,605.554,588.3919,546.2961,507.301,512.164,503.6239,512.716,494.147,493.546,489.6139,483.021,490.385,493.934,476.276,469.093,445.908,406.504,386.6249,389.559,404.148,413.292,406.907,402.098,
operating-income,122.906,124.882,111.724,88.2828,99.837,120.561,108.598,76.352,72.0981,115.663,91.765,55.7453,56.1621,101.054,86.8859,62.3001,48.2141,85.0109,79.265,57.822,66.017,82.1931,78.444,68.2438,62.3989,88.263,82.53,80.923,70.819,93.513,91.604,73.9877,68.0731,81.026,87.632,48.9582,41.9539,72.576,72.649,69.9192,32.905,65.388,67.626,57.4852,36.1581,48.4211,54.344,41.692,31.292,60.576,60.325,59.1171,54.313,77.993,66.451,53.751,71.606,
total-non-operating-income-expense,-66.029,-44.07,-39.913,-47.411,-43.098,-38.896,-52.322,-33.071,-33.257,-31.989,-55.1,-31.385,-51.095,-26.751,-9.882,-29.065,2.943,-21.44,-18.796,-18.505,-19.765,-20.424,-21.985,-19.721,-21.431,-38.616,-23.867,-21.334,-29.472,-21.046,-21.457,-22.492,-22.362,-56.454,-25.681,-25.425,-27.715,-29.097,-29.908,-34.18,-32.32,-30.068,-22.866,-35.183,-36.06,-36.475,-36.793,-34.973,-37.129,-35.693,-30.424,-31.656,-33.052,-32.78,-33.05,-29.645,-29.246,
pre-tax-income,56.877,80.812,71.811,40.872,56.739,81.665,56.276,43.281,38.841,83.674,36.665,24.36,5.067,74.303,77.004,33.235,51.157,63.571,60.469,39.317,46.252,61.769,56.459,48.523,40.968,49.647,58.663,59.589,41.347,72.467,70.147,51.496,45.711,24.572,61.951,23.533,14.239,43.479,42.741,35.739,0.585,35.32,44.76,22.302,0.098,11.946,17.551,6.719,-5.837,24.883,29.901,27.461,21.261,45.213,33.401,24.106,42.36,
total-provision-income-taxes,12.847,20.826,18.467,11.15,14.06,21.106,12.294,-77.777,14.017,32.374,13.202,3.879,1.075,33.45,17.06,7.388,18.347,23.517,23.184,11.799,17.956,23.775,22.092,17.401,15.761,19.769,21.861,18.242,16.189,27.651,27.575,14.159,19.33,10.915,26.564,1.639,5.574,17.306,17.109,4.44,-0.804,15.137,18.743,12.201,-0.111,5.431,8.542,-1.568,-2.731,10.568,12.43,1.632,8.717,17.942,15.23,9.8,17.049,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,44.03,59.986,53.344,29.722,42.679,60.559,43.982,121.058,24.824,51.3,23.463,20.481,3.992,40.853,59.944,25.847,32.81,40.054,37.285,27.518,28.296,37.994,34.367,31.122,25.207,29.878,36.802,41.347,25.158,44.816,42.572,37.337,26.381,13.657,35.387,21.894,8.665,26.173,25.632,31.299,1.389,20.183,26.017,10.101,0.209,6.515,9.009,8.287,-3.106,14.315,17.471,25.829,12.544,27.271,18.171,14.306,25.311,
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,10.018,1.061,1.634,
net-income,30.732,44.816,40.834,24.673,32.917,46.511,33.739,100.797,18.462,42.055,15.87,20.172,6.471,33.935,54.833,30.3,29.406,36.94,34.09,27.401,26.53,34.422,32.274,28.268,22.775,27.187,33.71,38.639,23.703,42.465,40.909,36.418,25.318,11.594,33.311,20.746,7.984,24.416,24.176,28.57,-6.084,13.284,16.521,2.662,-7.113,-0.442,2.616,-1.252,-9.146,8.418,11.712,4.212,12.544,27.271,28.189,15.367,26.945,
ebitda,178.99,182.97,167.093,144.1828,153.723,175.635,158.505,119.303,113.4421,156.548,137.726,96.9803,98.0951,140.645,125.0939,99.4101,82.3531,109.0089,98.542,77.069,85.403,101.187,96.724,86.6898,80.4809,106.454,100.636,99.142,88.339,110.695,109.56,99.4747,85.9271,99.48,105.361,73.9782,59.4439,89.654,90.81,87.9962,51.005,83.742,85.757,76.4872,54.3831,66.7201,72.096,57.295,48.025,74.843,72.344,71.1381,67.004,89.949,77.803,66.176,82.509,
ebit,122.906,124.882,111.724,88.2827,99.837,120.561,108.598,76.3519,72.0981,115.663,91.765,55.745,56.1621,101.054,86.8859,62.3001,48.2141,85.0109,79.265,57.8218,66.017,82.1931,78.444,68.2438,62.3989,88.263,82.53,80.9229,70.819,93.513,91.604,73.9879,68.0731,81.026,87.632,48.958,41.9539,72.576,72.649,69.9193,32.905,65.388,67.626,57.4851,36.1581,48.4211,54.344,41.692,31.292,60.576,60.325,59.1171,54.313,77.993,66.451,53.751,71.606,
basic-shares-outstanding,129.988,130.525,130.821,130.172,130.387,129.83,129.691,128.955,129.142,128.624,128.464,127.813,127.848,127.626,127.5,127.478,127.386,127.674,127.565,129.026,126.639,127.038,135.54,136.879,136.646,136.609,137.389,138.767,137.551,138.456,141.426,150.501,151.47,152.603,152.838,159.184,159.717,159.709,159.67,85.587,62.078,60.632,60.386,59.566,59.769,198.038,196.503,57.086,191.543,188.982,186.463,,,,,,,
shares-outstanding,130.007,130.562,130.861,130.256,130.447,129.924,129.816,129.126,129.322,128.777,128.628,127.968,127.989,127.82,127.581,127.752,127.649,128.009,127.872,129.465,127.029,127.541,135.953,137.047,136.793,136.743,137.598,139.042,137.888,138.685,141.64,150.725,151.676,152.881,153.056,159.442,159.955,159.975,160.021,86.045,62.078,61.114,60.869,59.566,59.769,198.038,196.503,57.086,191.543,188.982,186.463,,,,,,,
eps-basic-net-earnings-per-share,0.23,0.33,0.3,0.18,0.24,0.35,0.25,0.75,0.14,0.32,0.12,0.15,0.05,0.26,0.42,0.23,0.22,0.28,0.27,0.2,0.2,0.27,0.24,0.2,0.17,0.2,0.25,0.28,0.17,0.31,0.29,0.24,0.17,0.08,0.22,0.14,0.05,0.15,0.15,0.23,-0.09,0.2,0.27,0.06,-0.11,0.0,0.01,0.11,-0.04,0.04,0.06,,,,,,,
eps-earnings-per-share-diluted,0.23,0.33,0.3,0.18,0.24,0.35,0.25,0.75,0.14,0.32,0.12,0.14,0.05,0.26,0.42,0.22,0.22,0.28,0.27,0.2,0.2,0.27,0.24,0.21,0.17,0.2,0.24,0.28,0.17,0.31,0.29,0.24,0.17,0.08,0.22,0.13,0.05,0.15,0.15,0.24,-0.09,0.19,0.27,0.06,-0.11,0.0,0.01,0.11,-0.04,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
