,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
revenue,13.167,2.311,,,,,,,,,,,
cost-goods-sold,3.718,0.66,,,,,,,,,,,
gross-profit,9.449,1.651,,,,,,,,,,,
research-development-expenses,0.693,0.509,2.353,1.184,1.977,1.648,1.678,1.21,1.465,1.365,2.651,,
selling-general-administrative-expenses,30.897,34.892,17.519,12.222,7.209,6.248,3.467,1.659,1.151,0.803,1.215,,
other-operating-income-expenses,-1.795,-1.269,-4.913,0.9,-2.3,-8.2,-0.9,,,,,,
operating-expenses,38.305,38.308,25.269,12.508,11.489,16.1,6.045,2.877,2.616,2.275,3.977,,
operating-income,-25.138,-35.997,-25.269,-12.508,-11.489,-16.1,-6.045,-2.877,-2.616,-2.275,-3.977,,
total-non-operating-income-expense,-1.995,-1.797,-0.229,0.09,-0.322,-0.321,-0.107,-0.001,-0.002,-0.001,-0.001,,
pre-tax-income,-27.133,-37.794,-25.498,-12.418,-11.811,-16.421,-6.152,-2.881,-2.618,-2.276,-3.978,,
total-provision-income-taxes,-0.149,-0.227,-14.523,0.024,0.019,0.012,0.01,-7.301,0.016,0.02,0.02,,
income-after-taxes,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,,
net-income,-26.984,-37.567,-10.975,-12.442,-11.83,-16.433,-6.162,4.4,-2.634,-2.296,-3.998,,
ebitda,-23.459,-34.573,-24.405,-13.255,-11.165,-15.775,-5.938,-2.885,-2.616,-2.168,-3.866,,
ebit,-25.138,-35.997,-25.269,-12.508,-11.489,-16.1,-6.045,-2.877,-2.616,-2.275,-3.977,,
basic-shares-outstanding,27.471,27.409,27.33,24.402,24.769,23.688,20.226,17.6,16.527,16.527,16.527,,
shares-outstanding,27.471,27.409,27.33,24.402,24.769,23.688,20.226,17.6,16.527,16.527,16.527,,
eps-basic-net-earnings-per-share,-0.98,-1.37,-0.4,-0.45,-0.48,-0.69,-0.3,0.25,-0.16,-0.14,-0.24,,
eps-earnings-per-share-diluted,-0.98,-1.37,-0.4,-0.45,-0.48,-0.69,-0.3,0.24,-0.16,-0.14,-0.24,0.0,0.0
