,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
revenue,3.57,0.873,0.465,0.273,,90.0,,,,,,,,,,,,,,,,,,,,,
cost-goods-sold,0.137,0.044,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,3.433,0.829,0.465,0.273,,90.0,,,,,,,,,,,,,,,,,,,,,
research-development-expenses,102.108,89.059,86.398,88.805,75.052,68.98,49.27,50.891,58.286,55.9,45.2,42.004,29.075,26.096,23.581,20.376,17.478,18.603,12.9,8.945,6.601,4.381,4.173,,3.408,3.854,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,190.747,177.33,170.317,164.5,128.745,112.147,78.119,70.448,74.373,70.854,57.48,56.379,38.064,35.006,30.714,28.612,24.082,25.059,16.897,12.362,9.47,6.188,5.79,,4.519,4.655,
operating-income,-187.177,-176.457,-169.852,-164.227,-128.745,-22.147,-78.119,-70.448,-74.373,-70.854,-57.48,-56.379,-38.064,-35.006,-30.714,-28.612,-24.082,-25.059,-16.897,-12.362,-9.47,-6.188,-5.79,,-4.519,-4.655,
total-non-operating-income-expense,7.219,8.236,6.446,5.839,5.827,5.169,3.521,1.027,0.654,0.652,0.702,0.478,0.268,0.259,0.171,0.05,0.047,0.032,0.026,-0.001,0.004,-0.004,,,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-179.958,-168.221,-163.406,-158.388,-122.918,-16.978,-74.598,-69.421,-73.719,-70.202,-56.778,-55.901,-37.796,-34.747,-30.543,-28.562,-24.035,-25.027,-16.871,-12.361,-9.859,-7.769,-6.116,,-4.519,-4.655,
ebitda,-187.935,-178.603,-171.759,-166.855,-131.205,-24.707,-79.22,-70.549,-74.299,-70.752,-57.317,-56.098,-37.907,-34.918,-30.673,-28.58,-24.053,-25.027,-16.875,-12.346,-9.457,-6.177,-5.779,,-4.508,-4.655,
ebit,-187.177,-176.457,-169.852,-164.227,-128.745,-22.147,-78.119,-70.448,-74.373,-70.854,-57.48,-56.379,-38.064,-35.006,-30.714,-28.612,-24.082,-25.059,-16.897,-12.362,-9.47,-6.188,-5.79,,-4.519,-4.655,
basic-shares-outstanding,51.705,51.258,48.492,46.121,46.708,46.542,44.325,38.114,37.471,37.361,37.269,33.493,32.976,32.062,31.643,27.778,28.738,27.86,25.656,21.574,19.582,1.701,1.653,,1.515,1.464,
shares-outstanding,51.705,51.258,48.492,46.121,46.708,46.542,44.325,38.114,37.471,37.361,37.269,33.493,32.976,32.062,31.643,27.778,28.738,27.86,25.656,21.574,19.582,1.701,1.653,,1.515,1.464,
eps-basic-net-earnings-per-share,-3.48,-3.28,-3.37,-3.41,-2.63,-0.36,-1.68,-1.72,-1.97,-1.88,-1.52,-1.55,-1.15,-1.08,-0.97,-1.0,-0.84,-0.9,-0.66,7.1,-0.5,-4.57,-3.7,,-2.98,-3.18,
eps-earnings-per-share-diluted,-3.48,-3.28,-3.37,-3.41,-2.63,-0.36,-1.68,-1.72,-1.97,-1.88,-1.52,-1.55,-1.15,-1.08,-0.97,-1.0,-0.84,-0.9,-0.66,7.1,-0.5,-4.57,-3.7,0.0,-2.98,-3.18,0.0
