,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-06-30
revenue,302.41,316.234,422.875,421.857,292.602,-42.643,425.338,411.398,390.564,14.6631,379.803,358.5,313.272,301.421,298.669,291.669,270.835,266.553,261.723,249.445,229.308,235.466,225.598,208.909,240.576,240.601,223.698,206.425,198.566,,
cost-goods-sold,91.011,98.499,203.983,198.723,83.139,-253.454,203.548,200.527,191.376,-183.052,177.248,176.014,138.503,123.243,112.093,112.597,109.123,109.542,102.815,94.532,90.021,86.238,81.124,72.737,67.526,63.42,61.593,58.176,54.232,,
gross-profit,211.399,217.735,218.892,223.134,209.463,210.811,221.79,210.871,199.188,197.715,202.555,182.486,174.769,178.178,186.576,179.072,161.712,157.011,158.908,154.913,139.287,149.228,144.474,136.172,173.05,177.181,162.105,148.249,144.334,,
research-development-expenses,0.379,0.296,0.296,0.292,0.34,0.318,0.292,0.324,0.489,0.779,0.755,0.767,0.806,0.865,1.18,0.424,0.456,0.552,0.596,0.716,1.073,0.675,0.82,1.042,0.852,1.59,1.789,2.372,3.638,,
selling-general-administrative-expenses,113.929,118.787,118.503,110.112,101.517,93.303,109.007,108.62,114.321,98.953,108.668,95.927,92.238,120.309,101.898,99.284,86.938,88.6,86.847,85.391,71.166,85.325,73.327,73.126,62.643,71.18,59.965,61.436,55.732,,
other-operating-income-expenses,,,,,,,,177.174,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,218.363,231.08,337.015,323.026,197.973,-148.628,326.728,146.114,320.084,-77.085,300.751,283.859,240.756,248.595,223.911,221.576,202.564,201.232,192.812,183.78,163.163,173.142,156.073,147.66,131.622,136.58,123.732,122.368,113.987,,
operating-income,84.047,85.154,85.86,98.831,94.629,105.985,98.61,265.284,70.48,91.7481,79.052,74.641,72.516,52.826,74.758,70.093,68.271,65.321,68.911,65.665,66.145,62.324,69.525,61.249,108.954,104.021,99.966,84.057,84.579,,
total-non-operating-income-expense,-3.494,-7.254,-0.966,7.784,0.061,-2.946,-8.773,-14.007,2.9,-3.917,-0.399,208.972,8.915,5.994,6.342,3.576,3.022,-9.025,5.144,4.413,4.553,7.556,41.868,4.512,4.338,3.22,2.431,3.49,3.005,,
pre-tax-income,80.553,77.9,84.894,106.615,94.69,103.039,89.837,251.277,73.38,87.831,78.653,283.613,81.431,58.82,81.1,73.669,71.293,56.296,74.055,70.078,70.698,69.88,111.393,65.761,113.292,107.3,102.397,87.547,87.584,,
total-provision-income-taxes,9.614,7.671,11.092,1.804,11.318,1.966,13.288,231.508,12.764,13.844,7.315,37.429,23.336,8.464,9.543,12.674,19.04,24.235,2.026,4.27,5.811,3.248,9.413,14.284,0.764,3.8,1.255,2.166,2.517,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,70.939,70.229,73.802,104.811,83.372,101.073,76.549,19.769,60.616,73.987,71.338,246.184,58.095,50.356,71.557,60.995,52.253,32.061,72.029,65.808,64.887,66.632,101.98,51.477,112.528,-0.797,101.142,85.381,85.067,,
income-from-discontinued-operations,0.39,-46.736,,,-1.399,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,723.731,-287.308,265.808,693.889,-681.333,-323.211,-103.537,281.2,336.43,-313.727,-80.601,400.275,70.302,101.645,299.948,-54.383,471.154,-84.076,-374.853,-32.979,-373.384,491.3889,509.239,-3713.408,-0.476,-0.797,4.229,1.991,2.256,,
ebitda,121.626,119.366,122.085,135.328,127.859,135.052,131.076,296.411,100.885,117.9901,108.234,99.99,95.743,75.75,96.608,91.563,86.183,79.938,83.002,80.068,77.356,73.037,79.723,71.204,117.911,113.609,107.14,91.055,91.359,,
ebit,84.047,85.154,85.86,98.831,94.629,105.985,98.61,265.284,70.48,91.7481,79.052,74.641,72.516,52.826,74.758,70.093,68.271,65.321,68.911,65.665,66.145,62.324,69.525,61.249,108.954,104.021,99.966,84.057,84.579,,
basic-shares-outstanding,62.785,61.725,62.02,59.876,53.221,53.518,53.529,55.209,52.909,49.654,50.525,49.445,47.214,42.368,44.716,41.575,37.735,35.681,37.316,35.589,32.376,25.633,32.375,32.375,5.627,5.733,5.757,6.04,6.09,,
shares-outstanding,126.632,61.725,129.072,133.672,53.221,137.34,53.529,139.237,140.046,50.374,50.525,141.308,142.962,145.308,145.018,41.575,145.56,35.681,37.316,35.589,32.376,25.633,32.556,32.375,5.627,5.733,5.757,6.04,6.09,,
eps-basic-net-earnings-per-share,11.53,-4.65,4.29,11.59,-12.8,-5.95,-1.93,5.09,6.36,-6.45,-1.6,8.1,1.49,1.43,6.71,-1.31,12.49,-1.74,-10.05,-0.93,-11.53,-6.8,15.73,-114.7,-0.08,-0.14,0.73,0.33,0.37,,
eps-earnings-per-share-diluted,0.49,-4.65,0.48,0.69,-12.8,2.93,-1.93,0.06,0.3,1.35,-1.6,1.5,0.26,1.61,0.43,-1.31,0.24,-1.74,-10.05,-0.93,-11.53,-6.71,15.64,-114.7,-0.08,-0.14,0.73,0.33,0.37,0.0,0.0
