,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
revenue,311.8,243.2,190.6,270.8,173.6,220.2,117.8,193.836,149.434,100.772,116.858,151.681,142.914,91.241,102.964,141.208,158.378,126.112,63.633,102.303,137.954,110.325,53.884,98.107,89.102,82.436,43.1,94.606,66.592,70.379,50.311,107.948,58.762,88.141,18.533,103.247,73.986,62.138,46.8,53.804,43.272,73.191,64.519,35.75,56.599,43.485,42.72,89.637,43.644,23.186,26.448,86.889,42.174,11.446,12.223
cost-goods-sold,108.0,100.8,91.8,113.4,69.3,85.3,54.3,62.251,44.503,34.624,46.322,33.274,39.56,29.465,24.001,26.232,35.24,27.266,18.748,16.036,32.423,34.507,18.997,19.421,20.063,16.945,5.698,15.15,10.23,13.186,7.511,14.328,10.706,16.069,1.068,16.998,11.532,11.076,7.508,11.782,8.684,10.428,15.368,6.87,10.519,8.682,8.01,17.544,11.407,5.842,5.516,12.48,7.275,1.509,2.861
gross-profit,203.8,142.4,98.8,157.4001,104.3,134.9,63.5,131.585,104.931,66.148,70.536,118.407,103.354,61.776,78.963,114.976,123.138,98.846,44.885,86.267,105.531,75.818,34.887,78.686,69.039,65.491,37.402,79.456,56.362,57.193,42.8,93.62,48.056,72.072,17.465,86.249,62.454,51.062,39.292,42.022,34.588,62.763,49.151,28.88,46.08,34.803,34.71,72.093,32.237,17.344,20.932,74.409,34.899,9.937,9.362
research-development-expenses,53.4,63.9,46.1,52.0,37.0,24.7,29.1,28.514,22.659,25.751,20.476,25.726,27.188,27.893,26.093,5.364,34.179,40.941,38.702,-7.143,44.207,37.401,30.256,29.994,28.937,30.278,30.724,35.945,27.39,30.645,26.246,29.376,29.216,31.481,34.759,29.615,21.156,18.602,19.922,19.226,18.772,20.68,15.91,14.162,16.627,17.206,11.475,12.269,12.777,13.342,15.57,16.261,13.544,6.701,8.995
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,241.1,250.2,217.8,259.6,152.3,153.4,127.3,140.744,101.665,92.243,101.948,100.774,107.436,93.283,81.807,55.995,95.219,104.66,91.943,26.551,106.922,102.463,79.342,74.814,70.955,67.724,56.45,70.571,56.775,61.726,62.849,61.958,57.354,67.934,54.039,68.284,53.381,47.327,43.622,49.679,47.223,50.481,47.253,34.894,41.261,40.927,31.545,46.478,39.222,31.843,32.279,42.99,32.453,17.64,21.621
operating-income,70.7,-7.0,-27.2,11.2001,21.3,66.8,-9.5,53.092,47.769,8.529,14.91,50.907,35.478,-2.042,21.157,85.213,63.159,21.452,-28.31,75.752,31.032,7.862,-25.458,23.293,18.147,14.712,-13.35,24.035,9.817,8.653,-12.538,45.99,1.408,20.207,-35.506,34.963,20.605,14.811,3.178,4.125,-3.951,22.71,17.266,0.856,15.338,2.558,11.175,43.159,4.422,-8.657,-5.831,43.899,9.721,-6.194,-9.398
total-non-operating-income-expense,-11.8,-8.1,-10.6,-7.6,0.2,-1.0,0.1,-1.172,-1.455,-1.808,-1.265,-1.805,-1.925,-1.267,-1.303,-1.455,-1.012,-1.852,-1.479,-0.312,-1.331,-0.368,-2.983,0.365,0.146,0.025,0.029,0.247,0.039,0.936,0.876,-0.228,0.059,-0.021,0.034,0.019,-0.965,0.38,0.375,0.372,0.428,0.289,0.272,0.309,0.477,0.65,0.65,0.839,0.451,0.579,1.025,0.069,-0.3,0.178,0.04
pre-tax-income,58.9,-15.1,-37.8,3.6,21.5,65.8,-9.4,51.92,46.314,6.721,13.645,49.102,33.553,-3.309,19.854,83.758,62.147,19.6,-29.789,75.44,29.701,7.494,-28.441,23.658,18.293,14.737,-13.321,24.282,9.856,9.589,-11.662,45.762,1.467,20.186,-35.472,34.982,19.64,15.191,3.553,4.497,-3.523,22.999,17.538,1.165,15.815,3.208,11.825,43.998,4.873,-8.078,-4.806,43.968,9.421,-6.016,-9.358
total-provision-income-taxes,15.7,-5.6,-11.8,7.0,0.6,15.7,-4.5,17.972,12.763,2.105,3.16,16.837,13.165,-1.267,7.965,27.01,20.059,5.5,-8.269,27.799,7.869,2.465,-8.205,8.441,4.802,4.381,-4.516,9.283,4.236,4.043,-3.64,18.862,1.604,7.663,-12.299,11.094,7.696,5.757,1.635,0.836,-2.984,9.748,7.366,0.004,5.857,1.393,4.801,16.256,2.028,-3.117,-2.116,17.839,5.067,-2.962,-4.722
